player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
448540,Serhou Guirassy,9789,Borussia Dortmund,3,forward,46.06,3.2,3.0,52.260000000000005,90.0,3,2,9.0,61.260000000000005
1117069,Georges Mikautadze,10205,Villarreal,3,forward,37.06,3.2,3.0,43.260000000000005,90.0,2,3,6.0,49.260000000000005
1407468,Santiago Mouriño,10205,Villarreal,1,defender,41.175000000000004,3.0,3.0,47.175000000000004,90.0,2,3,-5.0,42.175000000000004
664970,Waldemar Anton,9789,Borussia Dortmund,1,defender,32.169999999999995,3.0,3.0,38.169999999999995,90.0,3,2,0.0,38.169999999999995
671865,Santi Comesaña,10205,Villarreal,2,midfielder,28.503999999999994,3.0,3.0,34.50399999999999,90.0,2,3,3.0,37.50399999999999
215151,Marcel Sabitzer,9789,Borussia Dortmund,2,midfielder,26.942,1.9,2.5,31.342,75.0,1,1,5.0,36.342
844544,Pape Gueye,10205,Villarreal,2,midfielder,26.822,1.9,3.0,31.721999999999998,90.0,2,3,3.0,34.721999999999994
1479742,Joane Gadou,9789,Borussia Dortmund,1,defender,29.439999999999994,1.8,3.0,34.239999999999995,90.0,3,2,0.0,34.239999999999995
1050158,Fábio Silva,9789,Borussia Dortmund,3,forward,21.76,5.0,0.5,27.26,15.0,2,1,6.0,33.260000000000005
1026135,Tajon Buchanan,10205,Villarreal,2,midfielder,25.846,-0.30000000000000027,2.5,28.046,75.0,1,1,5.0,33.046
1531887,Pau Navarro,10205,Villarreal,1,defender,24.37,3.0,2.7666666666666666,30.136666666666667,83.0,1,2,0.0,30.136666666666667
966019,Felix Nmecha,9789,Borussia Dortmund,2,midfielder,18.354,1.9,2.5,22.753999999999998,75.0,1,1,5.0,27.753999999999998
792429,Joey Veerman,9789,Borussia Dortmund,2,midfielder,14.584000000000001,1.9,3.0,19.484,90.0,3,2,7.0,26.484
1209228,Daniel Svensson,9789,Borussia Dortmund,2,midfielder,10.726,3.0,3.0,16.726,90.0,3,2,7.0,23.726
1254234,Ethan Nwaneri,9789,Borussia Dortmund,2,midfielder,12.503999999999998,1.9,1.8333333333333333,16.237333333333332,55.0,2,1,7.0,23.237333333333332
1059657,Sergi Cardona,10205,Villarreal,1,defender,9.065,1.8,1.5,12.365,46.0,0,0,10.0,22.365000000000002
1216798,Nathan Saliba,10205,Villarreal,2,midfielder,12.855999999999998,1.9,1.9666666666666666,16.722666666666665,59.0,0,1,3.0,19.722666666666665
1047667,Maximilian Beier,9789,Borussia Dortmund,2,midfielder,7.778000000000002,1.9,2.7333333333333334,12.411333333333335,82.0,2,1,7.0,19.411333333333335
659272,Julian Ryerson,9789,Borussia Dortmund,2,midfielder,8.474,0.7999999999999998,3.0,12.274000000000001,90.0,3,2,7.0,19.274
1338740,Tani Oluwaseyi,10205,Villarreal,3,forward,10.049999999999999,4.1,1.9666666666666666,16.116666666666664,59.0,0,1,0.0,16.116666666666664
575735,Nicolas Pépé,10205,Villarreal,2,midfielder,6.152,3.0,1.0333333333333332,10.185333333333334,31.0,2,2,2.5,12.685333333333334
1287373,Jobe Bellingham,9789,Borussia Dortmund,2,midfielder,5.636,1.9,0.5,8.036,15.0,2,1,4.5,12.536
246438,Gerard Moreno,10205,Villarreal,3,forward,2.77,5.0,0.23333333333333334,8.003333333333332,7.0,1,1,3.0,11.003333333333332
1750565,Kauã Prates,9789,Borussia Dortmund,1,defender,5.785,3.0,0.26666666666666666,9.051666666666668,8.0,1,1,0.0,9.051666666666668
1338696,Alex Freeman,10205,Villarreal,1,defender,14.18,3.0,1.5,18.68,44.0,2,3,-10.0,8.68
1184694,Alberto Moleiro,10205,Villarreal,2,midfielder,1.1919999999999997,3.0,1.0333333333333332,5.225333333333333,31.0,2,2,2.5,7.725333333333333
1343750,Renato Veiga,10205,Villarreal,1,defender,5.4350000000000005,3.0,3.0,11.435,90.0,2,3,-5.0,6.4350000000000005
1536436,Konstantinos Karetsas,9789,Borussia Dortmund,3,forward,1.0100000000000002,4.1,0.9,6.01,27.0,0,0,0.0,6.01
1089685,Carney Chukwuemeka,9789,Borussia Dortmund,2,midfielder,-2.4379999999999997,3.0,0.26666666666666666,0.8286666666666669,8.0,1,1,2.5,3.328666666666667
1695966,Alassane Diatta,10205,Villarreal,2,midfielder,-0.16600000000000004,0.7999999999999998,0.5,1.134,15.0,1,2,0.5,1.634
922877,Logan Costa,10205,Villarreal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1845173,Luca Reggiani,9789,Borussia Dortmund,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1761151,Samuele Inácio,9789,Borussia Dortmund,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1841906,Carlos Maciá,10205,Villarreal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
479020,Ayoze Pérez,10205,Villarreal,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1311915,Ilias Akhomach,10205,Villarreal,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1692797,Mathis Albert,9789,Borussia Dortmund,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
