player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
João Gomes,1174672,Aston Villa,midfielder,45.92,7.0,0.0,53
Pau Torres,792645,Aston Villa,defender,49.95,0.0,0.0,50
Nicolas Jackson,1197347,Aston Villa,forward,40.55,9.0,0.0,50
John McGinn,356406,Aston Villa,midfielder,42.24,7.0,0.0,49
Nicolò Tresoldi,1334552,Club Brugge,forward,42.33,6.0,0.0,48
Boubacar Kamara,816325,Aston Villa,midfielder,33.70466666666666,7.0,0.0,41
Han-Beom Lee,1232253,Club Brugge,defender,43.77,-5.0,0.0,39
Hugo Siquet,1202888,Club Brugge,defender,28.130000000000003,5.0,0.0,33
Joaquin Seys,1489449,Club Brugge,defender,37.83500000000001,-5.0,0.0,33
Aaron Wan-Bissaka,760320,Aston Villa,defender,32.58166666666667,0.0,0.0,33
Brandon Mechele,445873,Club Brugge,defender,36.505,-5.0,0.0,32
Freddie Potts,1206287,Club Brugge,midfielder,23.268666666666668,3.0,0.0,26
Carlos Forbs,1186529,Club Brugge,midfielder,23.166,3.0,0.0,26
Jan Virgili,1690093,Club Brugge,midfielder,22.542666666666666,3.0,0.0,26
Emiliano Buendía,610184,Aston Villa,midfielder,18.448666666666664,7.0,0.0,25
Hugo Vetlesen,837064,Club Brugge,midfielder,22.38866666666667,3.0,0.0,25
George Hemmings,1607333,Aston Villa,midfielder,14.492,7.0,0.0,21
Hans Vanaken,203666,Club Brugge,midfielder,18.274666666666665,3.0,0.0,21
Ian Maatsen,966026,Aston Villa,defender,19.19,0.0,0.0,19
Victor Nilsson Lindelöf,258269,Aston Villa,defender,16.985,0.0,0.0,17
Félix Lemaréchal,1284071,Club Brugge,midfielder,10.921333333333331,2.5,0.0,13
Ross Barkley,215384,Aston Villa,midfielder,10.631333333333332,2.5,0.0,13
Alysson Edward,1656860,Aston Villa,forward,12.263333333333334,0.0,0.0,12
Lamare Bogarde,1190033,Aston Villa,midfielder,8.319333333333333,2.5,0.0,11
Mamadou Diakhon,1484998,Club Brugge,forward,9.753333333333332,0.0,0.0,10
Kyriani Sabbe,1227590,Club Brugge,defender,12.665,-5.0,0.0,8
Romeo Vermant,1178453,Club Brugge,forward,6.3133333333333335,0.0,0.0,6
Cheveyo Tsawa,1612843,Club Brugge,midfielder,2.791333333333333,2.5,0.0,5
Tammy Abraham,749661,Aston Villa,forward,2.25,0.0,0.0,2
Tyrone Mings,419664,Aston Villa,defender,0.0,0.0,0.0,0
Matteo Ruggeri,1051097,Aston Villa,defender,0.0,0.0,0.0,0
Jorne Spileers,1233418,Club Brugge,defender,0.0,0.0,0.0,0
Samba Coulibaly,1830647,Club Brugge,defender,0.0,0.0,0.0,0
Lynnt Audoor,1178442,Club Brugge,midfielder,0.0,0.0,0.0,0
Alejandro Garnacho,1203665,Aston Villa,forward,0.0,0.0,0.0,0
Ibrahim Mbaye,1593857,Aston Villa,forward,0.0,0.0,0.0,0
Andrej Vasović,1691828,Club Brugge,forward,0.0,0.0,0.0,0
Wisdom Mike,1692886,Club Brugge,forward,0.0,0.0,0.0,0
Aston Villa Keepers,10252,Aston Villa,goalkeeper,29.7,6.0,0.0,36
Club Brugge Keepers,8342,Club Brugge,goalkeeper,24.94,0.0,0.0,25
