player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Luis Suárez,792303,Sporting Lisbon,forward,40.06666666666667,9.0,0.0,49
Sergi Altimira,1310480,Sporting Lisbon,midfielder,34.394000000000005,9.0,0.0,43
Lucas Torreira,592909,Galatasaray,midfielder,36.27333333333334,1.0,0.0,37
Rodrigo Zalazar,1070776,Sporting Lisbon,midfielder,28.13,9.0,0.0,37
Eduardo Quaresma,1156380,Sporting Lisbon,defender,31.59,5.0,0.0,37
Gonçalo Inácio,1165710,Sporting Lisbon,defender,29.785,5.0,0.0,35
Geny Catamo,1088753,Sporting Lisbon,midfielder,22.1,9.0,0.0,31
Rafael Leão,848844,Galatasaray,forward,24.52666666666666,0.0,0.0,25
Gabriel Sara,902710,Galatasaray,midfielder,23.5,1.0,0.0,24
Issa Doumbia,1339345,Sporting Lisbon,midfielder,14.538666666666668,9.0,0.0,24
Davinson Sánchez,643533,Galatasaray,defender,27.45,-5.0,0.0,22
Yunus Akgün,845991,Galatasaray,midfielder,18.886000000000003,1.0,0.0,20
Georgios Vagiannidis,1119687,Sporting Lisbon,defender,14.794999999999998,5.0,0.0,20
Luís Guilherme,1458757,Sporting Lisbon,forward,8.87,9.0,0.0,18
Aleksey Batrakov,1504343,Galatasaray,midfielder,15.691333333333333,1.0,0.0,17
Barış Alper Yılmaz,890232,Galatasaray,forward,13.04,3.0,0.0,16
Roland Sallai,583601,Galatasaray,defender,20.51,-5.0,0.0,16
Leroy Sané,530859,Galatasaray,midfielder,12.467333333333334,3.0,0.0,15
Maxi Araújo,1031656,Sporting Lisbon,defender,9.915,5.0,0.0,15
Ismail Jakobs,906945,Galatasaray,defender,19.79,-5.0,0.0,15
Flávio Gonçalves,1691190,Sporting Lisbon,forward,12.53,0.0,0.0,13
Iván Fresneda,1325998,Sporting Lisbon,defender,7.380000000000001,5.0,0.0,12
Fotis Ioannidis,899701,Sporting Lisbon,forward,12.053333333333333,0.0,0.0,12
Silas Andersen,1425101,Sporting Lisbon,midfielder,9.315333333333331,2.5,0.0,12
Lesley Ugochukwu,1200631,Galatasaray,midfielder,6.850666666666667,2.5,0.0,9
Deniz Gül,1406300,Galatasaray,forward,9.326666666666668,0.0,0.0,9
Eren Elmalı,1041660,Galatasaray,defender,13.775000000000002,-5.0,0.0,9
Zeno Debast,1232172,Sporting Lisbon,defender,3.37,5.0,0.0,8
Ilkay Gündogan,178818,Galatasaray,midfielder,3.948,2.5,0.0,6
Renato Nhaga,1741323,Galatasaray,midfielder,3.744,2.5,0.0,6
Abdülkerim Bardakci,291399,Galatasaray,defender,0.0,0.0,0.0,0
El Chadaille Bitshiabu,1173788,Galatasaray,defender,0.0,0.0,0.0,0
Rodrigo Dias,1703622,Sporting Lisbon,defender,0.0,0.0,0.0,0
Nestory Irankunda,1327214,Sporting Lisbon,midfielder,0.0,0.0,0.0,0
Pedro Lima,1459257,Sporting Lisbon,midfielder,0.0,0.0,0.0,0
Eduardo Felicíssimo,1648470,Sporting Lisbon,midfielder,0.0,0.0,0.0,0
Rafael Nel,1525416,Sporting Lisbon,forward,0.0,0.0,0.0,0
Jesse Derry,1526704,Sporting Lisbon,forward,0.0,0.0,0.0,0
Berat Luş,1682656,Galatasaray,forward,0.0,0.0,0.0,0
Sporting Lisbon Keepers,9768,Sporting Lisbon,goalkeeper,19.24,12.0,0.0,31
Galatasaray Keepers,8637,Galatasaray,goalkeeper,16.36,0.0,0.0,16
