player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
737066,Erling Haaland,8456,Manchester City,3,forward,37.58,5.0,3.0,45.58,90.0,2,0,6.0,51.58
1137705,Enzo Fernández,8456,Manchester City,2,midfielder,34.486000000000004,1.9,3.0,39.386,90.0,2,0,9.0,48.386
844425,Marc Guéhi,8456,Manchester City,1,defender,25.95,3.0,3.0,31.95,90.0,2,0,10.0,41.95
614006,Rúben Dias,8456,Manchester City,1,defender,21.155,1.8,3.0,25.955000000000002,90.0,2,0,10.0,35.955
1070712,Joško Gvardiol,8456,Manchester City,1,defender,16.560000000000002,1.8,1.6,19.960000000000004,48.0,1,0,10.0,29.960000000000004
933845,Rayan Aït-Nouri,8456,Manchester City,1,defender,21.21,3.0,0.5,24.71,15.0,1,0,5.0,29.71
1089691,Elliot Anderson,8456,Manchester City,2,midfielder,21.166,3.0,0.9333333333333333,25.099333333333334,28.0,1,0,4.5,29.599333333333334
1561552,Ayyoub Bouaddi,8456,Manchester City,2,midfielder,16.887999999999998,1.9,2.5,21.287999999999997,75.0,1,0,7.0,28.287999999999997
1104053,Rayan Cherki,8456,Manchester City,2,midfielder,18.056,0.7999999999999998,2.0666666666666664,20.922666666666668,62.0,1,0,7.0,27.922666666666668
815006,Phil Foden,8456,Manchester City,2,midfielder,17.31,0.7999999999999998,2.5,20.61,75.0,1,0,7.0,27.61
933576,Antoine Semenyo,8456,Manchester City,3,forward,18.950000000000003,3.2,2.0666666666666664,24.21666666666667,62.0,1,0,3.0,27.21666666666667
1021834,Jakub Kiwior,9773,FC Porto,1,defender,20.450000000000003,3.0,3.0,26.450000000000003,90.0,0,2,0.0,26.450000000000003
955529,Matheus Nunes,8456,Manchester City,1,defender,10.030000000000001,1.8,3.0,14.830000000000002,90.0,2,0,10.0,24.830000000000002
1116734,Gabriel Veiga,9773,FC Porto,2,midfielder,14.370000000000001,3.0,2.7666666666666666,20.136666666666667,83.0,0,1,3.0,23.136666666666667
1404949,Martim Fernandes,9773,FC Porto,1,defender,8.88,3.0,2.433333333333333,14.313333333333334,73.0,0,1,5.0,19.313333333333333
1387439,Alberto Costa,9773,FC Porto,1,defender,12.685,3.0,3.0,18.685000000000002,90.0,0,2,0.0,18.685000000000002
902383,Nehuén Pérez,9773,FC Porto,1,defender,12.334999999999999,3.0,3.0,18.335,90.0,0,2,0.0,18.335
1186684,Alan Varela,9773,FC Porto,2,midfielder,9.260000000000002,3.0,2.2666666666666666,14.526666666666667,68.0,0,1,3.0,17.526666666666667
850356,Pepê,9773,FC Porto,3,forward,11.3,3.2,3.0,17.5,90.0,0,2,0.0,17.5
1362998,Abdukodir Khusanov,8456,Manchester City,1,defender,6.959999999999999,3.0,1.4,11.36,42.0,1,0,5.0,16.36
388523,André Silva,9773,FC Porto,3,forward,9.789999999999997,4.1,2.433333333333333,16.32333333333333,73.0,0,1,0.0,16.32333333333333
965764,Iliman Ndiaye,8456,Manchester City,3,forward,7.9,4.1,0.9333333333333333,12.933333333333334,28.0,1,0,3.0,15.933333333333334
954092,Santiago Giménez,9773,FC Porto,3,forward,10.489999999999998,4.1,0.5666666666666667,15.156666666666665,17.0,0,1,0.0,15.156666666666665
239219,Mateo Kovačić,8456,Manchester City,2,midfielder,6.056000000000001,3.0,0.5,9.556000000000001,15.0,1,0,4.5,14.056000000000001
664226,Pablo Rosario,9773,FC Porto,2,midfielder,2.85,3.0,3.0,8.85,90.0,0,2,1.0,9.85
1083204,Borja Sainz,9773,FC Porto,3,forward,4.02,5.0,0.7333333333333333,9.753333333333332,22.0,0,1,0.0,9.753333333333332
1580427,William Gomes,9773,FC Porto,3,forward,2.58,3.2,2.2666666666666666,8.046666666666667,68.0,0,1,0.0,8.046666666666667
919374,Francisco Moura,9773,FC Porto,1,defender,3.4899999999999998,3.0,0.5666666666666667,7.056666666666667,17.0,0,1,0.0,7.056666666666667
602211,Seko Fofana,9773,FC Porto,2,midfielder,0.09199999999999997,3.0,0.23333333333333334,3.3253333333333335,7.0,0,1,0.5,3.8253333333333335
623698,In-Beom Hwang,9773,FC Porto,2,midfielder,0.3540000000000001,1.9,0.7333333333333333,2.9873333333333334,22.0,0,1,0.5,3.4873333333333334
1288450,Rico Lewis,8456,Manchester City,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1559903,Luis Gomes,9773,FC Porto,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1580952,Vitor Reis,8456,Manchester City,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1636513,Souza,9773,FC Porto,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1623135,João Teixeira,9773,FC Porto,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1759539,Tiago Silva,9773,FC Porto,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1680328,Ryan McAidoo,8456,Manchester City,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1721789,Allan,8456,Manchester City,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1766344,Duarte Cunha,9773,FC Porto,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
