player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
195305,Marc Bartra,8603,Real Betis,1,defender,48.52,3.0,3.0,54.52,90.0,3,2,0.0,54.52
683450,Pablo Fornals,8603,Real Betis,2,midfielder,39.152,0.7999999999999998,3.0,42.952,90.0,3,2,7.0,49.952
1186553,Alexsandro Ribeiro,8639,Lille,1,defender,45.06999999999999,3.0,3.0,51.06999999999999,90.0,2,3,-5.0,46.06999999999999
967622,Antony,8603,Real Betis,2,midfielder,25.778,1.9,3.0,30.677999999999997,90.0,3,2,7.0,37.678
942365,Troy Parrott,8603,Real Betis,3,forward,21.400000000000002,4.1,3.0,28.5,90.0,3,2,9.0,37.5
500520,Nabil Bentaleb,8639,Lille,2,midfielder,20.720000000000002,3.0,1.5,25.220000000000002,46.0,2,1,7.0,32.22
191315,Isco,8603,Real Betis,2,midfielder,19.306,1.9,2.033333333333333,23.239333333333335,61.0,3,2,7.0,30.239333333333335
942393,Ayase Ueda,8639,Lille,3,forward,15.74,5.0,2.5666666666666664,23.30666666666667,77.0,2,3,6.0,29.30666666666667
1397857,Tiago Santos,8639,Lille,1,defender,27.14,3.0,3.0,33.14,90.0,2,3,-5.0,28.14
1072200,Rodrigo Riquelme,8603,Real Betis,2,midfielder,16.136000000000003,0.7999999999999998,2.7,19.636000000000003,81.0,3,2,7.0,26.636000000000003
148830,Benjamin André,8639,Lille,2,midfielder,19.922,0.7999999999999998,2.533333333333333,23.255333333333333,76.0,2,3,3.0,26.255333333333333
1436133,Facundo Bernal,8603,Real Betis,2,midfielder,11.479999999999999,3.0,2.2333333333333334,16.71333333333333,67.0,3,2,7.0,23.71333333333333
1426809,Ethan Mbappé,8639,Lille,2,midfielder,14.535999999999998,3.0,1.8666666666666667,19.402666666666665,90.0,2,3,3.0,22.402666666666665
427438,Héctor Bellerín,8603,Real Betis,1,defender,14.78,3.0,3.0,20.78,90.0,3,2,0.0,20.78
1338016,Valentín Gómez,8603,Real Betis,1,defender,10.82,3.0,0.9666666666666667,14.786666666666667,29.0,0,0,5.0,19.78666666666667
743192,Júnior Firpo,8603,Real Betis,1,defender,14.86,1.8,2.7,19.36,81.0,3,2,0.0,19.36
1188375,Natan,8603,Real Betis,1,defender,12.92,3.0,2.033333333333333,17.953333333333333,61.0,3,2,0.0,17.953333333333333
708435,Gaëtan Perrin,8639,Lille,2,midfielder,9.724,3.0,2.033333333333333,14.757333333333333,61.0,2,3,3.0,17.757333333333335
1315711,Nelson Deossa,8603,Real Betis,2,midfielder,10.462000000000002,3.0,0.3,13.762000000000002,9.0,0,0,2.5,16.262
1428153,Ngal Ayel Mukau,8639,Lille,2,midfielder,11.807999999999998,3.0,1.5,16.308,44.0,0,2,-1.5,14.808
815465,Romain Perraud,8639,Lille,1,defender,12.115,3.0,2.933333333333333,18.048333333333332,88.0,2,3,-5.0,13.048333333333332
1044470,Hákon Arnar Haraldsson,8639,Lille,2,midfielder,4.052,1.9,3.0,8.952,90.0,2,3,3.0,11.952
1252070,Nathan Ngoy,8639,Lille,1,defender,10.594999999999999,3.0,3.0,16.595,90.0,2,3,-5.0,11.594999999999999
895954,Álvaro Fidalgo,8603,Real Betis,2,midfielder,3.4720000000000004,3.0,0.9666666666666667,7.438666666666667,29.0,0,0,2.5,9.938666666666666
640220,Marc Roca,8603,Real Betis,2,midfielder,3.5540000000000003,3.0,0.7666666666666666,7.320666666666667,23.0,0,0,2.5,9.820666666666668
1347229,Başar Önal,8639,Lille,2,midfielder,3.326,3.0,0.06666666666666667,6.392666666666667,2.0,0,0,2.5,8.892666666666667
1070404,Maurits Kjærgaard,8639,Lille,2,midfielder,3.3840000000000003,1.9,0.4666666666666667,5.7506666666666675,14.0,0,0,2.5,8.250666666666667
1079539,Dilane Bakwa,8639,Lille,3,forward,1.72,5.0,0.9666666666666667,7.6866666666666665,29.0,0,0,0.0,7.6866666666666665
750028,Fran García,8603,Real Betis,1,defender,-0.46499999999999997,1.8,0.3,1.635,9.0,0,0,5.0,6.635
46469,Olivier Giroud,8639,Lille,3,forward,-0.72,5.0,0.43333333333333335,4.713333333333334,13.0,0,0,0.0,4.713333333333334
622137,Calvin Verdonk,8639,Lille,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1070617,Tanguy Nianzou,8639,Lille,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1580522,Ángel Ortiz,8603,Real Betis,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1660370,Loun Srdanovic,8639,Lille,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1680590,Isaac Cossier,8639,Lille,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
531629,Dani Ceballos,8603,Real Betis,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
604126,Giovani Lo Celso,8603,Real Betis,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
852071,Juan Hernández,8603,Real Betis,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
988160,Osame Sahraoui,8639,Lille,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1684579,Soriba Diaoune,8639,Lille,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1793845,José Antonio Morante,8603,Real Betis,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
