player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1744791,Samuel Isife,7787,Slavia Prague,2,midfielder,39.632,3.0,2.8,45.431999999999995,84.0,1,1,5.0,50.431999999999995
1685514,Kyllian Antonio,8588,Lens,1,defender,42.99,3.0,3.0,48.99,90.0,3,2,0.0,48.99
254308,Florian Thauvin,8588,Lens,2,midfielder,35.79600000000001,3.0,3.0,41.79600000000001,90.0,3,2,7.0,48.79600000000001
1634789,Andrija Bulatović,8588,Lens,2,midfielder,35.666,3.0,3.0,41.666,90.0,3,2,7.0,48.666
660326,Matthieu Udol,8588,Lens,2,midfielder,30.263999999999996,3.0,3.0,36.263999999999996,90.0,3,2,7.0,43.263999999999996
1270718,Danijel Šturm,7787,Slavia Prague,2,midfielder,35.898,-0.30000000000000027,3.0,38.598000000000006,90.0,2,3,3.0,41.598000000000006
1288146,Stepán Chaloupek,7787,Slavia Prague,1,defender,40.08,3.0,3.0,46.08,90.0,2,3,-5.0,41.08
806551,Michal Sadílek,7787,Slavia Prague,2,midfielder,31.162000000000003,3.0,3.0,37.162000000000006,90.0,2,3,3.0,40.162000000000006
979540,Tomás Vlček,7787,Slavia Prague,1,defender,36.11,3.0,3.0,42.11,90.0,2,3,-5.0,37.11
637746,Odsonne Édouard,8588,Lens,3,forward,19.880000000000003,5.0,0.9333333333333333,25.813333333333336,28.0,3,1,9.0,34.81333333333333
1980586,Mezian Soares,8588,Lens,2,midfielder,24.23,3.0,0.9666666666666667,28.196666666666665,28.0,3,1,6.5,34.696666666666665
561046,Ruben Aguilar,8588,Lens,2,midfielder,24.188,3.0,0.9333333333333333,28.121333333333332,28.0,3,1,6.5,34.62133333333333
1782189,Oskar Kubiak,7787,Slavia Prague,2,midfielder,19.16,3.0,2.533333333333333,24.693333333333335,76.0,1,1,5.0,29.693333333333335
688830,Amadou Haidara,8588,Lens,2,midfielder,15.398000000000001,3.0,2.5,20.898000000000003,75.0,1,1,5.0,25.898000000000003
1406645,Ismaëlo Ganiou,8588,Lens,1,defender,17.86,3.0,3.0,23.86,90.0,3,2,0.0,23.86
1189856,Abdallah Sima,8588,Lens,2,midfielder,13.745999999999999,1.9,2.5,18.146,75.0,1,1,5.0,23.146
1395322,Wiktor Nowak,7787,Slavia Prague,2,midfielder,12.751999999999999,1.9,2.7333333333333334,17.38533333333333,83.0,1,1,5.0,22.38533333333333
1327747,Emmanuel Ayaosi,7787,Slavia Prague,3,forward,8.330000000000002,5.0,3.0,16.330000000000002,90.0,2,3,6.0,22.330000000000002
954190,Michał Skóras,8588,Lens,2,midfielder,14.225999999999999,3.0,2.0666666666666664,19.292666666666666,62.0,0,1,3.0,22.292666666666666
1085401,David Zima,7787,Slavia Prague,1,defender,3.225,3.0,1.5,7.725,46.0,0,0,10.0,17.725
1727044,Souleymane Sagnan,8588,Lens,1,defender,6.6,3.0,2.0666666666666664,11.666666666666666,62.0,0,1,5.0,16.666666666666664
612699,Florian Sotoca,8588,Lens,2,midfielder,8.416,3.0,0.5,11.916,15.0,2,1,4.5,16.416
1334534,Junior Kadile,8588,Lens,3,forward,-0.9099999999999999,5.0,0.5,4.59,15.0,2,1,6.0,10.59
1406419,Franjo Ivanović,8588,Lens,3,forward,5.25,2.3,2.033333333333333,9.583333333333332,62.0,0,1,0.0,9.583333333333332
308841,Ivan Schranz,7787,Slavia Prague,2,midfielder,5.3,3.0,0.2,8.5,6.0,1,2,0.5,9.0
988769,Mojmír Chytil,7787,Slavia Prague,3,forward,-0.6800000000000002,4.1,2.533333333333333,5.953333333333333,76.0,1,1,3.0,8.953333333333333
1781770,Toumani Diakité,7787,Slavia Prague,2,midfielder,3.424,3.0,0.26666666666666666,6.690666666666666,7.0,1,2,0.5,7.190666666666666
523217,Tomás Chorý,7787,Slavia Prague,3,forward,-1.3000000000000003,5.0,0.4666666666666667,4.166666666666666,14.0,1,2,3.0,7.166666666666666
1247323,David Jurásek,7787,Slavia Prague,2,midfielder,-0.818,3.0,0.4666666666666667,2.6486666666666667,14.0,1,2,0.5,3.1486666666666667
513072,Jonathan Gradit,8588,Lens,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
955214,Jean-Clair Todibo,8588,Lens,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1657810,Nidal Čelik,8588,Lens,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1840592,David Barčot,7787,Slavia Prague,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
264190,Thorgan Hazard,8588,Lens,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
861445,Michaël Cuisance,8588,Lens,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1553486,Eliás Piták,7787,Slavia Prague,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1585595,Pavel Kačor,7787,Slavia Prague,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1647596,Jakub Kolísek,7787,Slavia Prague,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1647595,Karel Belzík,7787,Slavia Prague,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1405567,Mikulás Konečný,7787,Slavia Prague,1,defender,-3.915,3.0,0.13333333333333333,-0.7816666666666667,44.0,2,3,-10.0,0.0
