player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Michael Olise,1029063,FC Bayern München,midfielder,38.794,7.0,46
Kylian Mbappé,701154,Real Madrid,forward,40.44166666666666,3.0,43
Harry Kane,194165,FC Bayern München,forward,34.00833333333333,6.0,40
Trent Alexander-Arnold,760712,Real Madrid,defender,39.14,0.0,39
Aleksandar Pavlovic,1473580,FC Bayern München,midfielder,30.444666666666663,7.0,37
Joshua Kimmich,460632,FC Bayern München,midfielder,28.978,7.0,36
Vinícius Júnior,846033,Real Madrid,forward,32.8,3.0,36
Dayot Upamecano,658554,FC Bayern München,defender,29.28,5.0,34
Arda Güler,1253890,Real Madrid,midfielder,31.672666666666668,1.0,33
Serge Gnabry,385437,FC Bayern München,midfielder,23.324,9.0,32
Federico Valverde,743533,Real Madrid,midfielder,26.626,3.0,30
Aurélien Tchouaméni,914458,Real Madrid,midfielder,26.12,3.0,29
Luis Díaz,860914,FC Bayern München,midfielder,19.660666666666664,7.0,27
Josip Stanisic,950824,FC Bayern München,defender,20.200000000000003,5.0,25
Jude Bellingham,1077894,Real Madrid,midfielder,15.825333333333337,4.5,20
Jonathan Tah,469700,FC Bayern München,defender,14.07,5.0,19
Dean Huijsen,1367619,Real Madrid,defender,18.676666666666662,0.0,19
Alvaro Carreras,1190025,Real Madrid,defender,17.85,0.0,18
Antonio Rüdiger,276738,Real Madrid,defender,17.63,0.0,18
Éder Militao,844415,Real Madrid,defender,12.203333333333337,5.0,17
Konrad Laimer,526827,FC Bayern München,defender,5.83,10.0,16
Brahim Díaz,750027,Real Madrid,forward,13.975,0.5,14
Thiago Pitarch,1796908,Real Madrid,midfielder,8.538666666666666,1.0,10
Alphonso Davies,751202,FC Bayern München,defender,9.34,0.0,9
Nicolas Jackson,1197347,FC Bayern München,forward,5.0,0.0,5
Gonzalo García,1413847,Real Madrid,forward,5.0,0.0,5
Franco Mastantuono,1607566,Real Madrid,forward,5.0,0.0,5
Leon Goretzka,343748,FC Bayern München,midfielder,3.033333333333333,0.0,3
Tom Bischof,1286183,FC Bayern München,midfielder,3.033333333333333,0.0,3
David Alaba,121633,Real Madrid,defender,3.0,0.0,3
Daniel Carvajal,282674,Real Madrid,defender,3.0,0.0,3
Raphaël Guerreiro,352994,FC Bayern München,defender,3.0,0.0,3
Fran García,750028,Real Madrid,defender,3.0,0.0,3
Min-Jae Kim,828159,FC Bayern München,defender,3.0,0.0,3
Hiroki Ito,851626,FC Bayern München,defender,3.0,0.0,3
Raúl Asencio,1580528,Real Madrid,defender,3.0,0.0,3
Dani Ceballos,531629,Real Madrid,midfielder,3.0,0.0,3
Eduardo Camavinga,1015185,Real Madrid,midfielder,3.0,0.0,3
Lennart Karl,1737700,FC Bayern München,midfielder,3.0,0.0,3
Jamal Musiala,1156141,FC Bayern München,midfielder,0.9700000000000004,0.5,1
FC Bayern München Keepers,9823,FC Bayern München,goalkeeper,36.74,12.0,49
Real Madrid Keepers,8633,Real Madrid,goalkeeper,28.82,6.0,35
