player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
955406,William Saliba,9825,Arsenal,1,defender,26.2,3.0,3.0,32.2,90.0,1,0,10.0,42.2
654096,Declan Rice,9825,Arsenal,2,midfielder,28.758000000000003,3.0,3.0,34.758,90.0,1,0,7.0,41.758
1425182,Ousmane Diomande,9768,Sporting Lisbon,1,defender,19.79,3.0,3.0,25.79,90.0,0,1,5.0,30.79
534670,Martin Ødegaard,9825,Arsenal,2,midfielder,20.232,3.0,2.3333333333333335,25.56533333333333,70.0,0,0,5.0,30.56533333333333
795179,Gabriel,9825,Arsenal,1,defender,12.530000000000001,3.0,3.0,18.53,90.0,1,0,10.0,28.53
1165710,Gonçalo Inácio,9768,Sporting Lisbon,1,defender,17.24,3.0,3.0,23.24,90.0,0,1,5.0,28.24
776151,Ben White,9825,Arsenal,1,defender,13.460000000000003,0.6000000000000001,3.0,17.060000000000002,90.0,1,0,10.0,27.060000000000002
1031325,Martín Zubimendi,9825,Arsenal,2,midfielder,15.702000000000002,0.7999999999999998,3.0,19.502000000000002,90.0,1,0,7.0,26.502000000000002
732282,Trincão,9768,Sporting Lisbon,2,midfielder,15.937999999999999,3.0,3.0,21.938,90.0,0,1,3.0,24.938
915102,Hidemasa Morita,9768,Sporting Lisbon,2,midfielder,16.48,1.9,3.0,21.38,90.0,0,1,3.0,24.38
1105912,Riccardo Calafiori,9825,Arsenal,1,defender,9.300000000000002,1.8,3.0,14.100000000000003,90.0,1,0,10.0,24.1
875133,Pote,9768,Sporting Lisbon,2,midfielder,11.424,3.0,2.6333333333333333,17.057333333333332,79.0,0,0,5.0,22.057333333333332
1031656,Maxi Araújo,9768,Sporting Lisbon,1,defender,10.97,3.0,3.0,16.97,90.0,0,1,5.0,21.97
1021586,Gabriel Martinelli,9825,Arsenal,3,forward,15.45,5.0,0.4666666666666667,20.916666666666664,14.0,1,0,0.5,21.416666666666664
749736,Kai Havertz,9825,Arsenal,3,forward,14.533333333333333,5.0,0.6666666666666666,20.2,20.0,1,0,0.5,20.7
792303,Luis Suárez,9768,Sporting Lisbon,3,forward,13.991666666666667,2.3,3.0,19.291666666666668,90.0,0,1,0.0,19.291666666666668
318615,Leandro Trossard,9825,Arsenal,3,forward,11.358333333333334,5.0,2.533333333333333,18.891666666666666,76.0,0,0,0.0,18.891666666666666
1088753,Geny Catamo,9768,Sporting Lisbon,2,midfielder,10.643999999999998,0.7999999999999998,3.0,14.443999999999999,90.0,0,1,3.0,17.444
1663855,João Simões,9768,Sporting Lisbon,2,midfielder,3.972,3.0,2.0666666666666664,9.038666666666666,62.0,0,0,5.0,14.038666666666666
1084981,Noni Madueke,9825,Arsenal,3,forward,8.141666666666667,3.2,2.533333333333333,13.875000000000002,76.0,0,0,0.0,13.875000000000002
1325998,Iván Fresneda,9768,Sporting Lisbon,1,defender,0.3200000000000003,3.0,3.0,6.32,90.0,0,1,5.0,11.32
1014980,Daniel Bragança,9768,Sporting Lisbon,2,midfielder,3.4400000000000004,3.0,0.9333333333333333,7.373333333333334,28.0,0,1,0.5,7.873333333333334
664500,Viktor Gyökeres,9825,Arsenal,3,forward,-0.48333333333333295,2.3,3.0,4.816666666666666,90.0,1,0,3.0,7.816666666666666
1635773,Max Dowman,9825,Arsenal,2,midfielder,-0.9420000000000002,3.0,0.4666666666666667,2.5246666666666666,14.0,1,0,4.5,7.024666666666667
576165,Gabriel Jesus,9825,Arsenal,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
1107257,Souleymane Faye,9768,Sporting Lisbon,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
1636592,Andre Harriman-Annous,9825,Arsenal,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
1691190,Flávio Gonçalves,9768,Sporting Lisbon,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
824655,Ricardo Mangas,9768,Sporting Lisbon,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1119687,Georgios Vagiannidis,9768,Sporting Lisbon,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1156380,Eduardo Quaresma,9768,Sporting Lisbon,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1232172,Zeno Debast,9768,Sporting Lisbon,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1298907,Cristhian Mosquera,9825,Arsenal,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1406436,Myles Lewis-Skelly,9825,Arsenal,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1787525,Marli Salmon,9825,Arsenal,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
266520,Christian Nørgaard,9825,Arsenal,2,midfielder,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
953958,Giorgi Kochorashvili,9768,Sporting Lisbon,2,midfielder,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1525416,Rafael Nel,9768,Sporting Lisbon,3,forward,0.04166666666666666,5.0,0.36666666666666664,5.408333333333333,11.0,0,1,-2.5,2.908333333333333
