owner,section,formation,best_xi_total,overall_total,line_role,included_in_best_xi,player_id,player_name,club_team_name,listed_position,score,note
Ashleels,owned_players,3-4-3,280,293,F,yes,692984,Ousmane DembÃ©lÃ©,Paris Saint-Germain,Forward,59,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,M,yes,1061249,Vitinha,Paris Saint-Germain,Midfielder,41,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,D,yes,795179,Gabriel,Arsenal,Defender,34,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,GK,yes,9768,Sporting CP Keepers,Sporting CP,Goalkeeper,33,Keeper unit counted once for owned goalkeeper team.
Ashleels,owned_players,3-4-3,280,293,D,yes,770881,Achraf Hakimi,Paris Saint-Germain,Defender,25,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,D,yes,209405,Virgil van Dijk,Liverpool,Defender,25,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,M,yes,1152455,Florian Wirtz,Liverpool,Midfielder,22,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,F,yes,292462,Mohamed Salah,Liverpool,Forward,21,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,F,yes,184138,Antoine Griezmann,Atletico Madrid,Forward,20,Selected in best XI.
Ashleels,owned_players,3-4-3,280,293,,no,664500,Viktor GyÃ¶keres,Arsenal,Forward,13,Left out of best XI.
Ashleels,owned_players,3-4-3,280,293,,no,914458,AurÃ©lien TchouamÃ©ni,Real Madrid,Midfielder,0,Left out of best XI.
Ashleels,owned_players,3-4-3,280,293,,no,534670,Martin Ãdegaard,Arsenal,Midfielder,0,Left out of best XI.
Ashleels,owned_players,3-4-3,280,293,,no,1338192,Pablo Barrios,Atletico Madrid,Midfielder,0,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,M,yes,1467236,Lamine Yamal,Barcelona,Forward,60,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,M,yes,1473580,Aleksandar Pavlovic,Bayern Munich,Midfielder,45,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,M,yes,1031325,MartÃ­n Zubimendi,Arsenal,Midfielder,40,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,F,yes,900433,Khvicha Kvaratskhelia,Paris Saint-Germain,Forward,38,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,D,yes,1031656,Maxi AraÃºjo,Sporting CP,Defender,37,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,D,yes,940573,Eric GarcÃ­a,Barcelona,Defender,26,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,D,yes,1425182,Ousmane Diomande,Sporting CP,Defender,22,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,D,yes,751202,Alphonso Davies,Bayern Munich,Defender,18,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,GK,yes,9823,Bayern Munich Keepers,Bayern Munich,Goalkeeper,14,Keeper unit counted once for owned goalkeeper team.
CSKA Gritty,owned_players,4-5-1,326,340,M,yes,1404415,FermÃ­n LÃ³pez,Barcelona,Midfielder,14,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,M,yes,638622,Frenkie de Jong,Barcelona,Midfielder,12,Selected in best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,950824,Josip Stanisic,Bayern Munich,Defender,8,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,1254166,Alejandro Balde,Barcelona,Defender,3,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,1796908,Thiago Pitarch,Real Madrid,Midfielder,3,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,727897,DÃ¡vid Hancko,Atletico Madrid,Defender,0,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,605654,FabiÃ¡n Ruiz,Paris Saint-Germain,Midfielder,0,Left out of best XI.
CSKA Gritty,owned_players,4-5-1,326,340,,no,1532137,Pau CubarsÃ­,Barcelona,Defender,0,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,D,yes,658554,Dayot Upamecano,Bayern Munich,Defender,45,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,M,yes,1029063,Michael Olise,Bayern Munich,Forward,42,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,D,yes,820140,Ibrahima KonatÃ©,Liverpool,Defender,41,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,D,yes,955406,William Saliba,Arsenal,Defender,35,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,GK,yes,8634,Barcelona Keepers,Barcelona,Goalkeeper,32,Keeper unit counted once for owned goalkeeper team.
Dosa XI,owned_players,4-4-2,323,355,D,yes,1195281,Milos Kerkez,Liverpool,Defender,29,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,M,yes,743533,Federico Valverde,Real Madrid,Defender,26,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,M,yes,956683,Ryan Gravenberch,Liverpool,Midfielder,26,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,F,yes,875133,Pote,Sporting CP,Forward,21,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,F,yes,440330,Alexander SÃ¸rloth,Atletico Madrid,Forward,16,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,M,yes,1015185,Eduardo Camavinga,Real Madrid,Midfielder,10,Selected in best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,806552,Cody Gakpo,Liverpool,Forward,10,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1339208,DÃ©sirÃ© DouÃ©,Paris Saint-Germain,Forward,9,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1173678,Johnny Cardoso,Atletico Madrid,Midfielder,7,Excluded from best XI per user instruction.
Dosa XI,owned_players,4-4-2,323,355,,no,776151,Ben White,Arsenal,Defender,3,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1384883,Marc CasadÃ³,Barcelona,Midfielder,3,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1737700,Lennart Karl,Bayern Munich,Midfielder,0,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1458757,Luis Guilherme,Sporting CP,Forward,0,Left out of best XI.
Dosa XI,owned_players,4-4-2,323,355,,no,1105912,Riccardo Calafiori,Arsenal,Defender,0,Left out of best XI.
Empanada Mama,owned_players,4-5-1,283,281,M,yes,460632,Joshua Kimmich,Bayern Munich,Midfielder,70,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,D,yes,1137670,Willian Pacho,Paris Saint-Germain,Defender,37,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,M,yes,690516,Ademola Lookman,Atletico Madrid,Midfielder,33,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,F,yes,860914,Luis DÃ­az,Bayern Munich,Forward,30,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,D,yes,760712,Trent Alexander-Arnold,Real Madrid,Defender,21,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,D,yes,726345,Nahuel Molina,Atletico Madrid,Defender,20,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,M,yes,818975,Eberechi Eze,Arsenal,Midfielder,19,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,M,yes,1156141,Jamal Musiala,Bayern Munich,Midfielder,18,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,GK,yes,8633,Real Madrid Keepers,Real Madrid,Goalkeeper,15,Keeper unit counted once for owned goalkeeper team.
Empanada Mama,owned_players,4-5-1,283,281,D,yes,921253,Ronald Araujo,Barcelona,Defender,13,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,M,yes,942372,Ãlex Baena,Atletico Madrid,Midfielder,7,Selected in best XI.
Empanada Mama,owned_players,4-5-1,283,281,,no,1325998,IvÃ¡n Fresneda,Sporting CP,Defender,0,Left out of best XI.
Empanada Mama,owned_players,4-5-1,283,281,,no,1580528,RaÃºl Asencio,Real Madrid,Defender,0,Left out of best XI.
