player_name,player_id,real_world_club,position
Cristhian Mosquera,1298907,Arsenal,Defender
Ben White,776151,Arsenal,Defender
Riccardo Calafiori,1105912,Arsenal,Defender
William Saliba,955406,Arsenal,Defender
Jurriën Timber,942381,Arsenal,Defender
Kai Havertz,749736,Arsenal,Forward
Noni Madueke,1084981,Arsenal,Forward
Eberechi Eze,818975,Arsenal,Midfielder
David Raya,562727,Arsenal,Goalkeeper
Kepa Arrizabalaga,317564,Arsenal,Goalkeeper
Tommy Setford,1243239,Arsenal,Goalkeeper
Marcos Llorente,602563,Atletico Madrid,Defender
Nahuel Molina,726345,Atletico Madrid,Defender
Alexander Sorloth,440330,Atletico Madrid,Forward
Julian Alvarez,974753,Atletico Madrid,Forward
Ademola Lookman,690516,Atletico Madrid,Midfielder
Giuliano Simeone,1226147,Atletico Madrid,Midfielder
Johnny Cardoso,1173678,Atletico Madrid,Midfielder
Alex Baena,942372,Atletico Madrid,Midfielder
Dayot Upamecano,658554,Bayern Munich,Defender
Konrad Laimer,526827,Bayern Munich,Defender
Luis Diaz,860914,Bayern Munich,Forward
Michael Olise,1029063,Bayern Munich,Forward
Jamal Musiala,1156141,Bayern Munich,Midfielder
Joshua Kimmich,460632,Bayern Munich,Midfielder
Lennart Karl,1737700,Bayern Munich,Midfielder
Serge Gnabry,385437,Bayern Munich,Midfielder
Nuno Mendes,1158945,Paris Saint-Germain,Defender
Willian Pacho,1137670,Paris Saint-Germain,Defender
Desire Doue,1339208,Paris Saint-Germain,Forward
Joao Neves,1342757,Paris Saint-Germain,Midfielder
