player_id,player_name,team_id,team_name,usual_playing_position_id,minutes_played,goals,assists,accurate_passes,inaccurate_passes,chances_created,shots_on_target,shots_off_target,dispossessed,tackles,last_man_tackle,clearance_off_the_line,tackles_lost,blocks,clearances,headed_clearance,clearances_total,interceptions,recoveries,dribbled_past,ground_duels_won,ground_duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls_committed,duels_won,errors_led_to_goal,caught_offside,crosses_completed,crosses_attempted,long_balls_completed,long_balls_attempted,missed_penalty,own_goals,woodwork,dribbles_successful,dribbles_attempted,dribbles_failed,red_cards,stat_role
209405,Virgil van Dijk,8650,Liverpool,1,90.0,0.0,0.0,56.0,7.0,0.0,,,0.0,0.0,0,0,1.0,0.0,3.0,2.0,5,0.0,5.0,0.0,0.0,1.0,2.0,1.0,,2.0,2.0,0,0,0,0,6,10,0,0,0,0,0,0,0,Defender
291399,Abdülkerim Bardakci,8637,Galatasaray,1,73.0,0.0,0.0,21.0,8.0,0.0,,,0.0,5.0,1,0,0.0,0.0,8.0,4.0,12,1.0,2.0,0.0,5.0,0.0,1.0,0.0,,0.0,6.0,0,0,0,0,3,7,0,0,0,0,0,0,0,Defender
357880,Andrew Robertson,8650,Liverpool,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
441164,Kaan Ayhan,8637,Galatasaray,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
568571,Joseph Gomez,8650,Liverpool,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
820140,Ibrahima Konaté,8650,Liverpool,1,90.0,0.0,0.0,44.0,8.0,0.0,0.0,1.0,1.0,0.0,0,0,3.0,1.0,5.0,3.0,8,0.0,5.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,4.0,0,0,0,0,5,9,0,0,0,0,0,0,0,Defender
906945,Ismail Jakobs,8637,Galatasaray,1,90.0,0.0,0.0,25.0,10.0,1.0,,,0.0,1.0,0,0,3.0,1.0,6.0,1.0,7,1.0,5.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,0,0,1,2,1,6,0,0,0,1,1,0,0,Defender
966018,Jeremie Frimpong,8650,Liverpool,1,67.0,0.0,0.0,15.0,4.0,0.0,,,0.0,0.0,0,0,4.0,0.0,1.0,,1,0.0,1.0,0.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,0,1,1,5,0,0,0,0,0,0,2,2,0,Defender
1027472,Wilfried Singo,8637,Galatasaray,1,90.0,0.0,0.0,22.0,5.0,0.0,,,0.0,3.0,0,0,2.0,1.0,8.0,6.0,14,1.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,6.0,0,0,0,0,1,2,0,0,0,0,0,0,0,Defender
1034808,Sacha Boey,8637,Galatasaray,1,45.0,0.0,0.0,12.0,4.0,0.0,,,1.0,3.0,1,1,1.0,2.0,0.0,,0,0.0,2.0,0.0,6.0,1.0,1.0,3.0,3.0,0.0,7.0,0,0,0,0,2,3,0,0,0,1,1,0,0,Defender
1041660,Eren Elmali,8637,Galatasaray,1,17.0,0.0,0.0,2.0,0.0,0.0,,,0.0,1.0,0,0,2.0,1.0,2.0,,2,0.0,0.0,1.0,1.0,2.0,0.0,0.0,,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,Defender
1195281,Milos Kerkez,8650,Liverpool,1,90.0,0.0,0.0,30.0,2.0,1.0,,,2.0,2.0,0,0,7.0,0.0,1.0,1.0,2,3.0,4.0,1.0,5.0,7.0,1.0,2.0,2.0,2.0,6.0,0,0,1,2,1,1,0,0,0,1,3,2,0,Defender
1589629,Amara Nallo,8650,Liverpool,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
1602223,Gökdeniz Gürpüz,8637,Galatasaray,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
178818,Ilkay Gündogan,8637,Galatasaray,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
421786,Mario Lemina,8637,Galatasaray,2,90.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,0.0,5.0,1,0,3.0,0.0,2.0,1.0,3,1.0,2.0,2.0,7.0,3.0,2.0,0.0,,0.0,9.0,0,0,0,0,0,1,0,0,0,2,3,1,0,Midfielder
583601,Roland Sallai,8637,Galatasaray,2,90.0,0.0,0.0,11.0,7.0,0.0,1.0,0.0,3.0,3.0,0,0,10.0,1.0,2.0,1.0,3,1.0,4.0,3.0,8.0,10.0,1.0,0.0,3.0,2.0,9.0,0,0,0,1,1,3,0,0,0,2,4,2,0,Midfielder
592909,Lucas Torreira,8637,Galatasaray,2,60.0,0.0,0.0,24.0,6.0,0.0,,,0.0,3.0,0,0,2.0,1.0,2.0,,2,1.0,7.0,2.0,3.0,2.0,0.0,1.0,,0.0,3.0,0,0,0,0,1,4,0,0,0,0,0,0,0,Midfielder
831489,Alexis Mac Allister,8650,Liverpool,2,90.0,0.0,1.0,53.0,10.0,4.0,2.0,1.0,2.0,2.0,0,0,5.0,0.0,0.0,,0,1.0,4.0,0.0,4.0,5.0,3.0,0.0,,3.0,7.0,0,0,0,1,3,4,0,0,0,2,2,0,0,Midfielder
