player_id,player_name,team_id,team_name,usual_playing_position_id,minutes_played,goals,assists,accurate_passes,inaccurate_passes,chances_created,shots_on_target,shots_off_target,dispossessed,tackles,last_man_tackle,clearance_off_the_line,tackles_lost,blocks,clearances,headed_clearance,clearances_total,interceptions,recoveries,dribbled_past,ground_duels_won,ground_duels_lost,aerial_duels_won,aerial_duels_lost,was_fouled,fouls_committed,duels_won,errors_led_to_goal,caught_offside,crosses_completed,crosses_attempted,long_balls_completed,long_balls_attempted,missed_penalty,own_goals,woodwork,dribbles_successful,dribbles_attempted,dribbles_failed,red_cards,stat_role
263653,John Stones,8456,Manchester City,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
276738,Antonio Rüdiger,8633,Real Madrid,1,90.0,0.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0,1.0,4.0,1.0,5,1.0,1.0,0.0,2.0,0.0,2.0,0.0,,0.0,4.0,0,0,0,0,2,3,0,0,0,0,0,0,0,Defender
282674,Daniel Carvajal,8633,Real Madrid,1,7.0,0.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0,0,,0.0,0.0,,0,0.0,2.0,0.0,,,0.0,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
417068,Nathan Aké,8456,Manchester City,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
614006,Rúben Dias,8456,Manchester City,1,90.0,0.0,0.0,85.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,2.0,1.0,3.0,,3,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,0,0,0,1,3,4,0,0,0,0,0,0,0,Defender
623537,Ferland Mendy,8633,Real Madrid,1,45.0,0.0,0.0,18.0,2.0,0.0,,,0.0,1.0,0,0,1.0,0.0,4.0,2.0,6,1.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0,0,0,0,0,0,0,0,0,1,2,1,0,Defender
750028,Fran García,8633,Real Madrid,1,45.0,0.0,0.0,9.0,2.0,0.0,,,0.0,2.0,0,0,1.0,0.0,1.0,,1,4.0,2.0,1.0,2.0,1.0,0.0,1.0,,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
760712,Trent Alexander-Arnold,8633,Real Madrid,1,83.0,0.0,0.0,27.0,6.0,1.0,,,0.0,2.0,0,0,3.0,0.0,2.0,2.0,4,0.0,4.0,3.0,3.0,3.0,0.0,0.0,,0.0,3.0,0,0,1,4,1,4,0,0,0,1,1,0,0,Defender
844425,Marc Guéhi,8456,Manchester City,1,90.0,0.0,0.0,65.0,4.0,1.0,,,1.0,1.0,0,0,5.0,0.0,5.0,3.0,8,1.0,5.0,3.0,1.0,5.0,4.0,1.0,,1.0,5.0,0,0,0,0,1,2,0,0,0,0,0,0,0,Defender
933845,Rayan Aït-Nouri,8456,Manchester City,1,20.0,0.0,0.0,13.0,0.0,0.0,,,0.0,1.0,0,0,2.0,0.0,0.0,,0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,2.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,Defender
955529,Matheus Nunes,8456,Manchester City,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
1300526,Nico O'Reilly,8456,Manchester City,1,90.0,0.0,0.0,25.0,3.0,0.0,1.0,0.0,1.0,2.0,0,0,5.0,0.0,0.0,,0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,,3.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,Defender
1362998,Abdukodir Khusanov,8456,Manchester City,1,90.0,0.0,0.0,87.0,4.0,0.0,,,2.0,1.0,0,0,3.0,0.0,0.0,,0,5.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,Defender
1367619,Dean Huijsen,8633,Real Madrid,1,90.0,0.0,0.0,44.0,3.0,0.0,,,0.0,1.0,0,0,1.0,0.0,5.0,1.0,6,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0,0,0,0,1,4,0,0,0,0,0,0,0,Defender
1414691,Max Alleyne,8456,Manchester City,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
1580528,Raúl Asencio,8633,Real Madrid,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
1696019,Diego Aguado,8633,Real Madrid,1,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
488139,Bernardo Silva,8456,Manchester City,2,70.0,0.0,0.0,34.0,3.0,2.0,0.0,1.0,1.0,2.0,0,0,2.0,1.0,0.0,,0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,,0.0,2.0,0,0,1,4,3,6,0,0,0,0,0,0,0,Midfielder
675088,Rodri,8456,Manchester City,2,90.0,0.0,0.0,90.0,12.0,1.0,,,0.0,3.0,0,0,3.0,0.0,1.0,1.0,2,0.0,5.0,0.0,7.0,3.0,0.0,1.0,1.0,1.0,7.0,0,0,0,0,5,12,0,0,0,3,5,2,0,Midfielder
743533,Federico Valverde,8633,Real Madrid,2,90.0,3.0,0.0,34.0,11.0,2.0,3.0,0.0,1.0,4.0,0,0,5.0,0.0,4.0,2.0,6,1.0,2.0,0.0,8.0,5.0,3.0,2.0,,1.0,11.0,0,0,0,0,0,1,0,0,0,4,7,3,0,Midfielder
815006,Phil Foden,8456,Manchester City,2,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
868344,Tijjani Reijnders,8456,Manchester City,2,45.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0,0,0,4,0,1,0,0,0,0,0,0,0,Midfielder
