player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
900433,Khvicha Kvaratskhelia,9847,Paris Saint-Germain,3,forward,52.55,5.0,3.0,60.55,90.0,1,1,3.0,63.55
1158945,Nuno Mendes,9847,Paris Saint-Germain,1,defender,28.66,3.0,2.8333333333333335,34.49333333333333,85.0,1,0,10.0,44.49333333333333
194165,Harry Kane,9823,FC Bayern München,3,forward,34.11666666666666,4.1,3.0,41.21666666666666,90.0,1,1,3.0,44.21666666666666
1137670,Willian Pacho,9847,Paris Saint-Germain,1,defender,29.390000000000004,3.0,3.0,35.39,90.0,1,1,5.0,40.39
460632,Joshua Kimmich,9823,FC Bayern München,2,midfielder,23.863999999999994,1.9,3.0,28.763999999999992,90.0,1,1,5.0,33.763999999999996
1473580,Aleksandar Pavlovic,9823,FC Bayern München,2,midfielder,22.169999999999998,-0.30000000000000027,3.0,24.869999999999997,90.0,1,1,5.0,29.869999999999997
751202,Alphonso Davies,9823,FC Bayern München,1,defender,20.590000000000003,3.0,0.7666666666666666,24.35666666666667,23.0,1,0,5.0,29.35666666666667
860914,Luis Díaz,9823,FC Bayern München,3,forward,20.65,2.3,3.0,25.95,90.0,1,1,3.0,28.95
1339208,Désiré Doué,9847,Paris Saint-Germain,3,forward,19.291666666666668,4.1,2.533333333333333,25.924999999999997,76.0,1,0,3.0,28.924999999999997
605654,Fabián Ruiz,9847,Paris Saint-Germain,2,midfielder,16.330000000000002,3.0,2.533333333333333,21.863333333333337,76.0,1,0,7.0,28.863333333333337
1367615,Warren Zaïre-Emery,9847,Paris Saint-Germain,2,midfielder,17.212,3.0,3.0,23.212,90.0,1,1,5.0,28.212
1061249,Vitinha,9847,Paris Saint-Germain,2,midfielder,16.98,3.0,3.0,22.98,90.0,1,1,5.0,27.98
692984,Ousmane Dembélé,9847,Paris Saint-Germain,3,forward,17.766666666666666,5.0,2.1666666666666665,24.933333333333334,65.0,1,0,3.0,27.933333333333334
950824,Josip Stanisic,9823,FC Bayern München,1,defender,16.09,1.8,2.2333333333333334,20.123333333333335,67.0,0,1,5.0,25.123333333333335
1156141,Jamal Musiala,9823,FC Bayern München,2,midfielder,16.886,1.9,2.6333333333333333,21.41933333333333,79.0,0,1,3.0,24.41933333333333
1342757,João Neves,9847,Paris Saint-Germain,2,midfielder,12.0,3.0,3.0,18.0,90.0,1,1,5.0,23.0
1029063,Michael Olise,9823,FC Bayern München,3,forward,10.325000000000001,2.3,3.0,15.625,90.0,1,1,3.0,18.625
267365,Marquinhos,9847,Paris Saint-Germain,1,defender,6.5,3.0,3.0,12.5,90.0,1,1,5.0,17.5
469700,Jonathan Tah,9823,FC Bayern München,1,defender,5.84,3.0,2.2666666666666666,11.106666666666666,68.0,0,1,5.0,16.106666666666666
658554,Dayot Upamecano,9823,FC Bayern München,1,defender,4.909999999999999,3.0,2.8333333333333335,10.743333333333332,85.0,0,1,5.0,15.743333333333332
504606,Lucas Hernández,9847,Paris Saint-Germain,1,defender,6.62,3.0,0.4666666666666667,10.086666666666668,14.0,0,1,0.0,10.086666666666668
1197347,Nicolas Jackson,9823,FC Bayern München,3,forward,3.4083333333333337,5.0,0.36666666666666664,8.775,11.0,1,0,0.5,9.275
1737700,Lennart Karl,9823,FC Bayern München,2,midfielder,1.0239999999999996,3.0,0.16666666666666666,4.190666666666666,5.0,1,0,4.5,8.690666666666665
1574189,Senny Mayulu,9847,Paris Saint-Germain,2,midfielder,4.660000000000001,3.0,0.16666666666666666,7.826666666666668,5.0,0,1,0.5,8.326666666666668
828159,Min-Jae Kim,9823,FC Bayern München,1,defender,-0.15000000000000058,1.8,0.7333333333333333,2.383333333333333,22.0,1,0,5.0,7.383333333333333
1297165,Bradley Barcola,9847,Paris Saint-Germain,3,forward,3.8000000000000007,5.0,0.8333333333333334,9.633333333333335,25.0,0,1,-2.5,7.133333333333335
940087,Gonçalo Ramos,9847,Paris Saint-Germain,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
1593857,Ibrahim Mbaye,9847,Paris Saint-Germain,3,forward,0.0,5.0,0.0,5.0,0.0,0,0,0.0,5.0
352994,Raphaël Guerreiro,9823,FC Bayern München,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
851626,Hiroki Ito,9823,FC Bayern München,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1140003,Ilya Zabarnyi,9847,Paris Saint-Germain,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1286183,Tom Bischof,9823,FC Bayern München,1,defender,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
343748,Leon Goretzka,9823,FC Bayern München,2,midfielder,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
940976,Kang-In Lee,9847,Paris Saint-Germain,2,midfielder,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
1682313,Dro Fernández,9847,Paris Saint-Germain,2,midfielder,0.0,3.0,0.0,3.0,0.0,0,0,0.0,3.0
526827,Konrad Laimer,9823,FC Bayern München,1,defender,-7.820000000000001,1.8,3.0,-3.0200000000000014,90.0,1,1,5.0,1.9799999999999986
1255209,Lucas Beraldo,9847,Paris Saint-Germain,1,defender,-2.87,3.0,0.4666666666666667,0.5966666666666666,14.0,0,1,0.0,0.5966666666666666
