player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Harry Souttar,671518,Australia,defender,47.66,10.0,58
Paul Okon-Engstler,1527363,Australia,midfielder,44.145999999999994,9.0,53
Connor Metcalfe,885870,Australia,midfielder,33.026,9.0,42
Alessandro Circati,1318686,Australia,defender,30.81,10.0,41
Cameron Burgess,564842,Australia,defender,30.39,10.0,40
Abdülkerim Bardakci,291399,Turkey,defender,40.279999999999994,0.0,40
Hakan Çalhanoglu,304733,Turkey,midfielder,36.402,1.0,37
Jacob Italiano,889093,Australia,midfielder,28.424666666666667,7.0,35
Aiden O'Neill,785377,Australia,midfielder,25.358,9.0,34
Ferdi Kadioglu,774448,Turkey,defender,34.120000000000005,0.0,34
Arda Güler,1253890,Turkey,midfielder,33.022000000000006,1.0,34
Ismail Yüksek,1183589,Turkey,midfielder,31.686,1.0,33
Merih Demiral,823078,Turkey,defender,31.67,0.0,32
Nestory Irankunda,1327214,Australia,midfielder,20.333333333333336,7.0,27
Kenan Yildiz,1412132,Turkey,midfielder,24.203999999999997,0.5,25
Orkun Kökcü,935409,Turkey,midfielder,17.512666666666668,3.0,21
Jordan Bos,1316930,Australia,defender,10.47,10.0,20
Zeki Çelik,867225,Turkey,midfielder,18.740000000000002,1.0,20
Jason Geria,418799,Australia,defender,11.653333333333334,5.0,17
Mohamed Touré,1132069,Australia,forward,12.516666666666667,3.0,16
Kerem Aktürkoglu,1117570,Turkey,forward,14.958333333333334,0.0,15
Yunus Akgün,845991,Turkey,midfielder,13.589333333333334,0.5,14
Tete Yengi,1220549,Australia,forward,13.016666666666667,0.5,14
Mert Müldür,904098,Turkey,defender,7.11,5.0,12
Jackson Irvine,369742,Australia,midfielder,9.294,2.5,12
Aziz Behich,192735,Australia,defender,4.910000000000001,5.0,10
Salih Özcan,738064,Turkey,midfielder,5.918,2.5,8
Baris Alper Yilmaz,890232,Turkey,forward,7.074999999999999,0.0,7
Nishan Velupillay,1250885,Australia,forward,6.216666666666667,0.5,7
Deniz Gül,1406300,Turkey,forward,4.266666666666667,-2.5,2
Milos Degenek,416124,Australia,defender,0.0,0.0,0
Samet Akaydin,424380,Turkey,defender,0.0,0.0,0
Kaan Ayhan,441164,Turkey,defender,0.0,0.0,0
Caglar Söyüncü,602261,Turkey,defender,0.0,0.0,0
Ozan Kabak,845990,Turkey,defender,0.0,0.0,0
Eren Elmali,1041660,Turkey,defender,0.0,0.0,0
Lucas Herrington,1686118,Australia,defender,0.0,0.0,0
Matthew Leckie,185014,Australia,midfielder,0.0,0.0,0
Ajdin Hrustic,675762,Australia,midfielder,0.0,0.0,0
Cameron Devlin,970544,Australia,midfielder,0.0,0.0,0
Kai Trewin,1101030,Australia,midfielder,0.0,0.0,0
Can Uzun,1367924,Turkey,midfielder,0.0,0.0,0
Irfan Kahveci,316544,Turkey,forward,0.0,0.0,0
Awer Mabil,421328,Australia,forward,0.0,0.0,0
Oguz Aydin,1092015,Turkey,forward,0.0,0.0,0
Cristian Volpato,1308909,Australia,forward,0.0,0.0,0
Turkey Keepers,6595,Turkey,goalkeeper,17.540000000000003,6.0,24
Australia Keepers,6716,Australia,goalkeeper,33.24,18.0,51
