player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Xaver Schlager,620027,Austria,midfielder,43.800666666666665,5.0,49
Yazan Abu Al-Arab,852168,Jordan,defender,51.800000000000004,-5.0,47
Philipp Lienhart,643724,Austria,defender,34.75,5.0,40
Nicolas Seiwald,1024672,Austria,midfielder,28.320000000000004,9.0,37
Marko Arnautovic,110148,Austria,forward,33.25,3.5,37
Marcel Sabitzer,215151,Austria,midfielder,27.605999999999998,9.0,37
Noor Al-Rawabdeh,1036253,Jordan,midfielder,32.924,1.0,34
Nizar Al Rashdan,1195369,Jordan,midfielder,32.44200000000001,1.0,33
David Alaba,121633,Austria,defender,26.836666666666666,5.0,32
Stefan Posch,557325,Austria,defender,24.720000000000006,5.0,30
Mohannad Abu Taha,1247001,Jordan,midfielder,26.701999999999998,1.0,28
Romano Schmid,749488,Austria,midfielder,20.384666666666668,7.0,27
Ali Iyad Olwan,1028896,Jordan,midfielder,26.186,1.0,27
Abdallah Nasib,1312681,Jordan,defender,27.130000000000003,0.0,27
Konrad Laimer,526827,Austria,midfielder,12.786,9.0,22
Kevin Danso,754126,Austria,defender,16.71333333333333,5.0,22
Mousa Tamari,813055,Jordan,midfielder,17.44533333333333,3.0,20
Odeh Fakhouri,1823348,Jordan,midfielder,16.322666666666663,3.0,19
Ehsan Haddad,546201,Jordan,midfielder,16.009999999999998,3.0,19
Mo Abualnadi,1033300,Jordan,defender,11.59,5.0,17
Sasa Kalajdzic,858198,Austria,forward,12.091666666666667,3.0,15
Phillipp Mwene,423812,Austria,midfielder,9.964666666666666,5.0,15
Paul Wanner,1327149,Austria,midfielder,7.681333333333333,6.5,14
Carney Chukwuemeka,1089685,Austria,midfielder,4.2493333333333325,6.5,11
Saed Al-Rosan,1179369,Jordan,defender,10.280000000000001,0.0,10
Mohammad Al-Daoud,600844,Jordan,midfielder,8.490666666666666,0.5,9
Saleem Obaid,847766,Jordan,defender,12.57,-5.0,8
Patrick Wimmer,1073498,Austria,forward,6.825000000000001,0.5,7
Ali Al-Azaizeh,1642793,Jordan,forward,7.9,-2.5,5
Mahmoud Al Mardi,674520,Jordan,midfielder,4.858,0.5,5
Marco Friedl,767789,Austria,defender,0.0,0.0,0
Michael Svoboda,951921,Austria,defender,0.0,0.0,0
David Affengruber,1073980,Austria,defender,0.0,0.0,0
Husam Abu Dahab,1554109,Jordan,defender,0.0,0.0,0
Mohammad Abu Ghoush,1902793,Jordan,defender,0.0,0.0,0
Anas Badawi,1991034,Jordan,defender,0.0,0.0,0
Alessandro Schöpf,461357,Austria,midfielder,0.0,0.0,0
Rajaei Ayed,546203,Jordan,midfielder,0.0,0.0,0
Florian Grillitsch,617044,Austria,midfielder,0.0,0.0,0
Dejan Ljubicic,861668,Austria,midfielder,0.0,0.0,0
Alexander Prass,1027194,Austria,midfielder,0.0,0.0,0
Ibrahim Saadeh,1202924,Jordan,midfielder,0.0,0.0,0
Amer Jamous,1213678,Jordan,midfielder,0.0,0.0,0
Mohammad Abu Hasheesh,1350517,Jordan,midfielder,0.0,0.0,0
Michael Gregoritsch,198316,Austria,forward,0.0,0.0,0
Mohammad Abuzraiq,1059129,Jordan,forward,0.0,0.0,0
Jordan Keepers,5816,Jordan,goalkeeper,10.6,0.0,11
Austria Keepers,8255,Austria,goalkeeper,17.48,12.0,29
