player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Shoja Khalilzadeh,511397,Iran,defender,52.61000000000001,10.0,63
Hossein Kanaani,500637,Iran,defender,36.53,10.0,47
Brandon Mechele,445873,Belgium,defender,32.849999999999994,10.0,43
Leandro Trossard,318615,Belgium,midfielder,35.540000000000006,5.0,41
Kevin De Bruyne,169200,Belgium,midfielder,30.014,5.0,35
Maxim De Cuyper,1134871,Belgium,defender,24.72,10.0,35
Saeid Ezatolahi,505281,Iran,midfielder,28.39533333333333,5.0,33
Youri Tielemans,465960,Belgium,midfielder,27.478,5.0,32
Ali Nemati,872575,Iran,defender,21.380000000000003,10.0,31
Thomas Meunier,277771,Belgium,defender,18.39333333333333,10.0,28
Nathan Ngoy,1252070,Belgium,defender,18.05,10.0,28
Ramin Rezaeian,505959,Iran,defender,17.07,10.0,27
Saman Ghoddos,532220,Iran,midfielder,21.39933333333333,5.0,26
Timothy Castagne,465750,Belgium,defender,21.066666666666663,5.0,26
Mehdi Taremi,619506,Iran,forward,24.43333333333333,0.0,24
Nicolas Raskin,863869,Belgium,midfielder,16.553333333333335,5.0,22
Ehsan Haji Safi,117222,Iran,defender,11.490000000000002,10.0,21
Milad Mohammadi,630459,Iran,defender,12.66,5.0,18
Alexis Saelemaekers,921341,Belgium,midfielder,11.637333333333332,5.0,17
Saleh Hardani,1221526,Iran,defender,5.459999999999999,10.0,15
Mehdi Torabi,621519,Iran,midfielder,11.68,2.5,14
Romelu Lukaku,181276,Belgium,forward,13.875,0.0,14
Arthur Theate,1173250,Belgium,defender,8.656666666666666,5.0,14
Mohammad Mohebi,1073012,Iran,forward,13.266666666666666,0.0,13
Hans Vanaken,203666,Belgium,midfielder,10.742666666666665,2.5,13
Alireza Jahanbakhsh,466890,Iran,forward,12.7,-2.5,10
Dodi Lukébakio,688876,Belgium,forward,12.266666666666666,-2.5,10
Shahriar Moghanlou,641121,Iran,forward,9.2,-2.5,7
Matias Fernandez-Pardo,1444231,Belgium,forward,8.983333333333333,-2.5,6
Amirhossein Hosseinzadeh,1031319,Iran,forward,7.183333333333334,-2.5,5
Koni De Winter,1200630,Belgium,defender,0.0,0.0,0
Aria Yousefi,1350138,Iran,defender,0.0,0.0,0
Joaquin Seys,1489449,Belgium,defender,0.0,0.0,0
Danial Eiri,1729681,Iran,defender,0.0,0.0,0
Axel Witsel,39591,Belgium,midfielder,0.0,0.0,0
Roozbeh Cheshmi,505385,Iran,midfielder,0.0,0.0,0
Dennis Eckert,892709,Iran,midfielder,0.0,0.0,0
Charles De Ketelaere,1095432,Belgium,midfielder,0.0,0.0,0
Amadou Onana,1185748,Belgium,midfielder,0.0,0.0,0
Diego Moreira,1342754,Belgium,midfielder,0.0,0.0,0
Mohammad Ghorbani,1420509,Iran,midfielder,0.0,0.0,0
Amirmohammad Razaghinia,1583232,Iran,midfielder,0.0,0.0,0
Ali Alipour,505960,Iran,forward,0.0,0.0,0
Mehdi Ghayedi,848314,Iran,forward,0.0,0.0,0
Iran Keepers,6711,Iran,goalkeeper,39.3,18.0,57
Belgium Keepers,8263,Belgium,goalkeeper,12.16,18.0,30
