player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
701154,Kylian Mbappé,6723,France,3,forward,43.25833333333333,4.1,2.5666666666666664,49.925,77.0,2,0,6.0,55.925
692984,Ousmane Dembélé,6723,France,2,midfielder,33.522000000000006,3.0,3.0,39.522000000000006,90.0,2,0,9.0,48.522000000000006
1339208,Désiré Doué,6723,France,2,midfielder,33.612,3.0,2.5666666666666664,39.17866666666667,77.0,2,0,9.0,48.17866666666667
352879,Adrien Rabiot,6723,France,2,midfielder,26.904,1.9,3.0,31.804,90.0,2,0,9.0,40.804
1029063,Michael Olise,6723,France,2,midfielder,24.76,1.9,3.0,29.66,90.0,2,0,9.0,38.66
658554,Dayot Upamecano,6723,France,1,defender,21.930000000000003,3.0,3.0,27.930000000000003,90.0,2,0,10.0,37.93000000000001
705450,Jules Koundé,6723,France,1,defender,19.41,3.0,2.9,25.31,87.0,2,0,10.0,35.31
210111,Lucas Digne,6723,France,1,defender,19.29,3.0,3.0,25.29,90.0,2,0,10.0,35.29
1073143,Azzedine Ounahi,6262,Morocco,2,midfielder,29.344,0.7999999999999998,3.0,33.144000000000005,90.0,0,2,1.0,34.144000000000005
955406,William Saliba,6723,France,1,defender,16.7,3.0,3.0,22.7,90.0,2,0,10.0,32.7
1016132,Kouadio Koné,6723,France,2,midfielder,12.760000000000002,3.0,2.3666666666666667,18.12666666666667,71.0,2,0,9.0,27.12666666666667
775539,Noussair Mazraoui,6262,Morocco,1,defender,18.200000000000003,3.0,3.0,24.200000000000003,90.0,0,2,0.0,24.200000000000003
770881,Achraf Hakimi,6262,Morocco,1,defender,17.13,1.8,3.0,21.93,90.0,0,2,0.0,21.93
1274060,Neil El Aynaoui,6262,Morocco,2,midfielder,14.436000000000002,3.0,3.0,20.436,90.0,0,2,1.0,21.436
696443,Issa Diop,6262,Morocco,1,defender,15.13,3.0,3.0,21.130000000000003,90.0,0,2,0.0,21.130000000000003
750027,Brahim Díaz,6262,Morocco,2,midfielder,11.491999999999997,3.0,2.466666666666667,16.958666666666666,74.0,0,2,1.0,17.958666666666666
1050838,Anass Salah-Eddine,6262,Morocco,1,defender,12.240000000000002,3.0,2.466666666666667,17.70666666666667,74.0,0,2,0.0,17.70666666666667
1340895,Bilal El Khannouss,6262,Morocco,2,midfielder,6.62,3.0,2.0666666666666664,11.686666666666667,62.0,0,1,3.0,14.686666666666667
1368654,Chemsdine Talbi,6262,Morocco,3,forward,6.6499999999999995,5.0,2.8333333333333335,14.483333333333333,85.0,0,2,0.0,14.483333333333333
593116,Sofyan Amrabat,6262,Morocco,2,midfielder,9.366000000000001,3.0,0.9333333333333333,13.299333333333335,28.0,0,1,0.5,13.799333333333335
1561552,Ayyoub Bouaddi,6262,Morocco,2,midfielder,4.99,3.0,2.0666666666666664,10.056666666666667,62.0,0,1,3.0,13.056666666666667
1297165,Bradley Barcola,6723,France,3,forward,9.575,5.0,0.43333333333333335,15.008333333333333,13.0,0,0,-2.5,12.508333333333333
1197250,Malo Gusto,6723,France,1,defender,3.25,3.0,0.1,6.35,3.0,0,0,5.0,11.35
706297,Jean-Philippe Mateta,6723,France,3,forward,8.575,4.1,0.43333333333333335,13.108333333333333,13.0,0,0,-2.5,10.608333333333333
1367615,Warren Zaïre-Emery,6723,France,2,midfielder,3.024,3.0,0.6333333333333333,6.657333333333334,19.0,0,0,2.5,9.157333333333334
1287871,Zakaria El Ouahdi,6262,Morocco,1,defender,0.27,3.0,0.5333333333333333,3.8033333333333332,16.0,0,0,5.0,8.803333333333333
1603755,Gessime Yassine,6262,Morocco,3,forward,-0.25833333333333347,5.0,0.5333333333333333,5.2749999999999995,16.0,0,0,-2.5,2.7749999999999995
988749,Soufiane Rahimi,6262,Morocco,3,forward,-1.625,5.0,0.9333333333333333,4.308333333333334,28.0,0,1,-2.5,1.8083333333333336
1242587,Amine Sbaï,6262,Morocco,3,forward,-1.625,5.0,0.16666666666666666,3.5416666666666665,5.0,0,0,-2.5,1.0416666666666665
504606,Lucas Hernández,6723,France,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
614912,Marwane Saadane,6262,Morocco,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
724371,Theo Hernández,6723,France,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
820140,Ibrahima Konaté,6723,France,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
909908,Youssef Belammari,6262,Morocco,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
950485,Maxence Lacroix,6723,France,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1187506,Chadi Riad,6262,Morocco,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1298186,Redouane Halhal,6262,Morocco,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
319300,N'Golo Kanté,6723,France,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
914458,Aurélien Tchouaméni,6723,France,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1104053,Rayan Cherki,6723,France,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1180288,Ismael Saibari,6262,Morocco,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1598170,Samir El Mourabet,6262,Morocco,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
621562,Marcus Thuram,6723,France,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
884382,Ayoub El Kaabi,6262,Morocco,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1305618,Maghnes Akliouche,6723,France,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1680173,Ayoube Amaimouni-Echghouyab,6262,Morocco,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
