player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Julián Quiñones,720560,Mexico,forward,51.974999999999994,6.0,58
Roberto Alvarado,720737,Mexico,midfielder,41.698,9.0,51
Raul Jiménez,292313,Mexico,forward,39.833333333333336,6.0,46
Érik Lira,971628,Mexico,defender,31.593333333333334,10.0,42
Johan Vásquez,914103,Mexico,defender,28.03,10.0,38
Israel Reyes,1074586,Mexico,defender,27.3,10.0,37
Jesús Gallardo,597976,Mexico,defender,25.12,10.0,35
César Montes,664644,Mexico,defender,19.700000000000003,10.0,30
Ime Okon,1600334,South Africa,defender,26.17,0.0,26
Mbekezeli Mbokazi,1719066,South Africa,defender,24.590000000000003,0.0,25
Khuliso Mudau,940010,South Africa,defender,23.470000000000002,0.0,23
Teboho Mokoena,848361,South Africa,midfielder,20.926000000000002,1.0,22
Álvaro Fidalgo,895954,Mexico,midfielder,13.98,7.0,21
Brian Gutiérrez,1170238,Mexico,midfielder,12.95,7.0,20
Luis Chávez,527616,Mexico,midfielder,13.162000000000003,4.5,18
Nkosinathi Sibisi,716819,South Africa,defender,14.03,0.0,14
Jayden Adams,1178629,South Africa,midfielder,9.857333333333333,3.0,13
Gilberto Mora,1670377,Mexico,midfielder,8.206000000000001,4.5,13
Aubrey Maphosa Modiba,616179,South Africa,defender,12.326666666666668,0.0,12
Edson Álvarez,783505,Mexico,midfielder,8.312666666666667,2.5,11
Thalente Mbatha,1124424,South Africa,midfielder,8.219333333333333,0.5,9
Evidence Makgopa,1137059,South Africa,forward,10.374999999999998,-2.5,8
Iqraam Rayners,1076668,South Africa,forward,7.808333333333333,0.0,8
Oswin Appollis,1054166,South Africa,forward,8.741666666666667,-2.5,6
Lyle Foster,881500,South Africa,forward,4.233333333333333,0.0,4
Alexis Vega,728365,Mexico,forward,6.133333333333332,-2.5,4
Armando González,1456983,Mexico,forward,5.133333333333334,-2.5,3
Jorge Sánchez,727586,Mexico,defender,0.0,0.0,0
Luis Romo,921174,Mexico,defender,0.0,0.0,0
Bradley Cross,1202481,South Africa,defender,0.0,0.0,0
Mateo Chávez,1432212,Mexico,defender,0.0,0.0,0
Kamogelo Sebelebele,1451566,South Africa,defender,0.0,0.0,0
Olwethu Makhanya,1469826,South Africa,defender,0.0,0.0,0
Thabang Matuludi,1579341,South Africa,defender,0.0,0.0,0
Samukelo Kabini,1680659,South Africa,defender,0.0,0.0,0
Khulumani Ndamane,1680696,South Africa,defender,0.0,0.0,0
Orbelín Pineda,559986,Mexico,midfielder,0.0,0.0,0
Obed Vargas,1254394,Mexico,midfielder,0.0,0.0,0
Guillermo Martínez,558539,Mexico,forward,0.0,0.0,0
Santiago Giménez,954092,Mexico,forward,0.0,0.0,0
César Huerta,977404,Mexico,forward,0.0,0.0,0
Tshepang Moremi,1289611,South Africa,forward,0.0,0.0,0
Thapelo Maseko,1394951,South Africa,forward,0.0,0.0,0
Relebohile Mofokeng,1471333,South Africa,forward,0.0,0.0,0
Sphephelo Sithole,1107735,South Africa,midfielder,-1.4186666666666667,1.0,0
Themba Zwane,303609,South Africa,midfielder,-2.3333333333333335,0.5,0
South Africa Keepers,6316,South Africa,goalkeeper,25.680000000000003,6.0,32
Mexico Keepers,6710,Mexico,goalkeeper,15.459999999999999,18.0,33
