player_name,player_id,team_name,position,stats_score,endowment_score,final_score
Erling Haaland,737066,Norway,forward,49.975,9.0,59
Sadio Mané,303339,Senegal,midfielder,51.166,3.0,54
Moussa Niakhaté,592102,Senegal,defender,43.53999999999999,-5.0,39
Ismaïla Sarr,771294,Senegal,midfielder,34.572,3.0,38
Martin Ødegaard,534670,Norway,midfielder,28.658,7.0,36
Kristoffer Ajer,552718,Norway,defender,35.31,0.0,35
Nicolas Jackson,1197347,Senegal,forward,29.141666666666666,6.0,35
Sander Berge,540963,Norway,midfielder,26.56,7.0,34
Torbjørn Heggem,935550,Norway,defender,27.62,5.0,33
Krépin Diatta,837061,Senegal,defender,36.74,-5.0,32
Marcus Holmgren Pedersen,935622,Norway,midfielder,23.528666666666663,7.0,31
Idrissa Gana Gueye,179410,Senegal,midfielder,26.082,3.0,29
Lamine Camara,1436305,Senegal,midfielder,23.616,1.0,25
Patrick Berg,530635,Norway,midfielder,21.702,2.5,24
Ibrahim Mbaye,1593857,Senegal,forward,23.18333333333333,0.5,24
Antonio Nusa,1248482,Norway,forward,14.366666666666667,9.0,23
Alexander Sørloth,440330,Norway,forward,12.25833333333333,9.0,21
Fredrik Aursnes,310768,Norway,midfielder,12.464,7.0,19
David Møller Wolfe,1049679,Norway,defender,18.57,0.0,19
Malick Diouf,1451265,Senegal,defender,17.8,0.0,18
Pape Gueye,844544,Senegal,midfielder,14.592000000000002,3.0,18
Pathé Ciss,872396,Senegal,midfielder,11.646,4.5,16
Ismail Jakobs,906945,Senegal,defender,15.98,0.0,16
Julian Ryerson,659272,Norway,midfielder,10.875333333333334,2.5,13
Andreas Schjelderup,1228558,Norway,forward,12.633333333333333,-2.5,10
Pape Sarr,1107280,Senegal,midfielder,5.392,4.5,10
Leo Østigard,740944,Norway,defender,9.82,0.0,10
Oscar Bobb,1113790,Norway,forward,8.899999999999999,-2.5,6
Kalidou Koulibaly,210428,Senegal,defender,5.949999999999999,-5.0,1
Abdoulaye Seck,588626,Senegal,defender,0.0,0.0,0
Fredrik André Bjørkan,630228,Norway,defender,0.0,0.0,0
Henrik Falchener,1110550,Norway,defender,0.0,0.0,0
Sondre Klingen Langås,1127585,Norway,defender,0.0,0.0,0
Antoine Mendy,1254147,Senegal,defender,0.0,0.0,0
Mamadou Sarr,1426170,Senegal,defender,0.0,0.0,0
Morten Thorsby,439148,Norway,midfielder,0.0,0.0,0
Kristian Thorstvedt,921921,Norway,midfielder,0.0,0.0,0
Thelo Aasgaard,1184468,Norway,midfielder,0.0,0.0,0
Habib Diarra,1285866,Senegal,midfielder,0.0,0.0,0
Bara Ndiaye,1798782,Senegal,midfielder,0.0,0.0,0
Jens Petter Hauge,741397,Norway,forward,0.0,0.0,0
Cherif Ndiaye,819972,Senegal,forward,0.0,0.0,0
Jørgen Strand Larsen,821100,Norway,forward,0.0,0.0,0
Iliman Ndiaye,965764,Senegal,forward,0.0,0.0,0
Bamba Dieng,1230848,Senegal,forward,0.0,0.0,0
Assane Diao,1434889,Senegal,forward,0.0,0.0,0
Norway Keepers,8492,Norway,goalkeeper,14.2,6.0,20
Senegal Keepers,6395,Senegal,goalkeeper,14.02,0.0,14
