player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Rodri,675088,Spain,midfielder,33.684,7.0,0.0,41
Pedro Porro,941573,Spain,defender,26.25,10.0,0.0,36
Renato Veiga,1343750,Portugal,defender,31.12,5.0,0.0,36
Lamine Yamal,1467236,Spain,midfielder,28.98,7.0,0.0,36
João Neves,1342757,Portugal,midfielder,31.566000000000003,3.0,0.0,35
João Cancelo,361757,Portugal,defender,19.39666666666667,10.0,0.0,29
Marc Cucurella,873289,Spain,defender,19.1,10.0,0.0,29
Mikel Oyarzabal,678234,Spain,forward,25.241666666666667,3.0,0.0,28
Bruno Fernandes,422685,Portugal,midfielder,24.75,3.0,0.0,28
Álex Baena,942372,Spain,midfielder,22.042,5.0,0.0,27
Joao Félix,794427,Portugal,midfielder,21.526666666666667,5.0,0.0,27
Nuno Mendes,1158945,Portugal,defender,16.176666666666666,10.0,0.0,26
Pau Cubarsí,1532137,Spain,defender,14.79,10.0,0.0,25
Vitinha,1061249,Portugal,midfielder,19.476666666666667,5.0,0.0,24
Pedri,1083323,Spain,midfielder,19.00333333333333,5.0,0.0,24
Aymeric Laporte,411617,Spain,defender,12.21,10.0,0.0,22
Dani Olmo,614834,Spain,midfielder,17.063333333333333,5.0,0.0,22
Rúben Dias,614006,Portugal,defender,15.46,5.0,0.0,20
Mikel Merino,574645,Spain,midfielder,14.882666666666667,4.5,0.0,19
Cristiano Ronaldo,30893,Portugal,forward,19.366666666666667,0.0,0.0,19
Ferran Torres,881771,Spain,forward,16.049999999999997,0.5,0.0,17
Pedro Neto,843040,Portugal,forward,16.258333333333333,0.0,0.0,16
Rafael Leão,848844,Portugal,forward,15.966666666666669,-2.5,0.0,13
Fabián Ruiz,605654,Spain,midfielder,4.880666666666667,4.5,0.0,9
Francisco Conceição,1185336,Portugal,midfielder,6.583333333333333,0.5,0.0,7
Nélson Semedo,470834,Portugal,defender,6.473333333333333,0.0,0.0,6
Diogo Dalot,751550,Portugal,defender,5.683333333333334,0.0,0.0,6
Bernardo Silva,488139,Portugal,midfielder,3.303333333333333,0.5,0.0,4
Marcos Llorente,602563,Spain,defender,0.0,0.0,0.0,0
Eric García,940573,Spain,defender,0.0,0.0,0.0,0
Matheus Nunes,955529,Portugal,defender,0.0,0.0,0.0,0
Gonçalo Inácio,1165710,Portugal,defender,0.0,0.0,0.0,0
Tomás Araújo,1187283,Portugal,defender,0.0,0.0,0.0,0
Marc Pubill,1323897,Spain,defender,0.0,0.0,0.0,0
Alejandro Grimaldo,288406,Spain,midfielder,0.0,0.0,0.0,0
Rúben Neves,534684,Portugal,midfielder,0.0,0.0,0.0,0
Trincão,732282,Portugal,midfielder,0.0,0.0,0.0,0
Martín Zubimendi,1031325,Spain,midfielder,0.0,0.0,0.0,0
Yéremi Pino,1047676,Spain,midfielder,0.0,0.0,0.0,0
Samú,1130583,Portugal,midfielder,0.0,0.0,0.0,0
Gavi,1279040,Spain,midfielder,0.0,0.0,0.0,0
Gonçalo Guedes,536455,Portugal,forward,0.0,0.0,0.0,0
Borja Iglesias,609505,Spain,forward,0.0,0.0,0.0,0
Gonçalo Ramos,940087,Portugal,forward,0.0,0.0,0.0,0
Nico Williams,1202110,Spain,forward,0.0,0.0,0.0,0
Víctor Muñoz,1553105,Spain,forward,0.0,0.0,0.0,0
Portugal Keepers,8361,Portugal,goalkeeper,31.64,12.0,0.0,44
Spain Keepers,6720,Spain,goalkeeper,16.46,18.0,0.0,34
