player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Pau Cubarsí,1532137,Spain,defender,41.05,5.0,0.0,46
Rodri,675088,Spain,midfielder,31.732,7.0,0.0,39
Brandon Mechele,445873,Belgium,defender,34.370000000000005,0.0,0.0,34
Lamine Yamal,1467236,Spain,midfielder,25.786,7.0,0.0,33
Fabián Ruiz,605654,Spain,midfielder,26.87333333333333,5.0,0.0,32
Mikel Oyarzabal,678234,Spain,forward,28.775,3.0,0.0,32
Nathan Ngoy,1252070,Belgium,defender,31.44,0.0,0.0,31
Pedro Porro,941573,Spain,defender,26.380000000000003,5.0,0.0,31
Charles De Ketelaere,1095432,Belgium,forward,27.116666666666667,3.0,0.0,30
Dani Olmo,614834,Spain,midfielder,23.520666666666667,5.0,0.0,29
Jérémy Doku,942368,Belgium,midfielder,25.02,3.0,0.0,28
Timothy Castagne,465750,Belgium,defender,27.01,0.0,0.0,27
Mikel Merino,574645,Spain,midfielder,20.59933333333333,4.5,0.0,25
Aymeric Laporte,411617,Spain,defender,19.380000000000003,5.0,0.0,24
Marc Cucurella,873289,Spain,defender,18.950000000000003,5.0,0.0,24
Nicolas Raskin,863869,Belgium,midfielder,19.944,3.0,0.0,23
Kevin De Bruyne,169200,Belgium,midfielder,15.542666666666667,5.0,0.0,21
Maxim De Cuyper,1134871,Belgium,defender,13.093333333333334,5.0,0.0,18
Hans Vanaken,203666,Belgium,midfielder,9.908,5.0,0.0,15
Pedri,1083323,Spain,midfielder,9.504666666666663,4.5,0.0,14
Álex Baena,942372,Spain,midfielder,8.461333333333334,5.0,0.0,13
Joaquin Seys,1489449,Belgium,defender,11.076666666666666,0.0,0.0,11
Leandro Trossard,318615,Belgium,forward,6.9,3.0,0.0,10
Nico Williams,1202110,Spain,forward,7.241666666666666,0.5,0.0,8
Ferran Torres,881771,Spain,forward,6.1,0.5,0.0,7
Alexis Saelemaekers,921341,Belgium,midfielder,5.8773333333333335,0.5,0.0,6
Axel Witsel,39591,Belgium,midfielder,4.806,0.5,0.0,5
Romelu Lukaku,181276,Belgium,forward,6.691666666666666,-2.5,0.0,4
Thomas Meunier,277771,Belgium,defender,0.0,0.0,0.0,0
Marcos Llorente,602563,Spain,defender,0.0,0.0,0.0,0
Eric García,940573,Spain,defender,0.0,0.0,0.0,0
Arthur Theate,1173250,Belgium,defender,0.0,0.0,0.0,0
Koni De Winter,1200630,Belgium,defender,0.0,0.0,0.0,0
Marc Pubill,1323897,Spain,defender,0.0,0.0,0.0,0
Alejandro Grimaldo,288406,Spain,midfielder,0.0,0.0,0.0,0
Martín Zubimendi,1031325,Spain,midfielder,0.0,0.0,0.0,0
Yéremi Pino,1047676,Spain,midfielder,0.0,0.0,0.0,0
Gavi,1279040,Spain,midfielder,0.0,0.0,0.0,0
Diego Moreira,1342754,Belgium,midfielder,0.0,0.0,0.0,0
Borja Iglesias,609505,Spain,forward,0.0,0.0,0.0,0
Dodi Lukébakio,688876,Belgium,forward,0.0,0.0,0.0,0
Matias Fernandez-Pardo,1444231,Belgium,forward,0.0,0.0,0.0,0
Víctor Muñoz,1553105,Spain,forward,0.0,0.0,0.0,0
Belgium Keepers,8263,Belgium,goalkeeper,23.586666666666662,6.0,0.0,30
Spain Keepers,6720,Spain,goalkeeper,10.14,12.0,0.0,22
