player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1532137,Pau Cubarsí,6720,Spain,1,defender,35.050000000000004,3.0,3.0,41.050000000000004,90.0,2,1,5.0,46.050000000000004
675088,Rodri,6720,Spain,2,midfielder,25.732,3.0,3.0,31.732,90.0,2,1,7.0,38.732
445873,Brandon Mechele,8263,Belgium,1,defender,28.37,3.0,3.0,34.370000000000005,90.0,1,2,0.0,34.370000000000005
1467236,Lamine Yamal,6720,Spain,2,midfielder,19.786,3.0,3.0,25.786,90.0,2,1,7.0,32.786
605654,Fabián Ruiz,6720,Spain,2,midfielder,23.14,1.9,1.8333333333333333,26.87333333333333,55.0,1,1,5.0,31.87333333333333
678234,Mikel Oyarzabal,6720,Spain,3,forward,21.141666666666666,5.0,2.6333333333333333,28.775,79.0,1,1,3.0,31.775
1252070,Nathan Ngoy,8263,Belgium,1,defender,25.439999999999998,3.0,3.0,31.439999999999998,90.0,1,2,0.0,31.439999999999998
941573,Pedro Porro,6720,Spain,1,defender,20.380000000000003,3.0,3.0,26.380000000000003,90.0,2,1,5.0,31.380000000000003
1095432,Charles De Ketelaere,8263,Belgium,3,forward,19.116666666666667,5.0,3.0,27.116666666666667,90.0,1,2,3.0,30.116666666666667
614834,Dani Olmo,6720,Spain,2,midfielder,17.654,3.0,2.8666666666666667,23.520666666666667,86.0,1,1,5.0,28.520666666666667
942368,Jérémy Doku,8263,Belgium,2,midfielder,20.119999999999997,1.9,3.0,25.019999999999996,90.0,1,2,3.0,28.019999999999996
465750,Timothy Castagne,8263,Belgium,1,defender,21.009999999999998,3.0,3.0,27.009999999999998,90.0,1,2,0.0,27.009999999999998
574645,Mikel Merino,6720,Spain,2,midfielder,17.466,3.0,0.13333333333333333,20.599333333333334,4.0,1,0,4.5,25.099333333333334
411617,Aymeric Laporte,6720,Spain,1,defender,13.38,3.0,3.0,19.380000000000003,90.0,2,1,5.0,24.380000000000003
873289,Marc Cucurella,6720,Spain,1,defender,12.950000000000001,3.0,3.0,18.950000000000003,90.0,2,1,5.0,23.950000000000003
863869,Nicolas Raskin,8263,Belgium,2,midfielder,15.044,1.9,3.0,19.944,90.0,1,2,3.0,22.944
169200,Kevin De Bruyne,8263,Belgium,2,midfielder,9.676000000000002,3.0,2.8666666666666667,15.542666666666669,86.0,1,1,5.0,20.54266666666667
1134871,Maxim De Cuyper,8263,Belgium,1,defender,8.06,3.0,2.033333333333333,13.093333333333334,60.0,1,1,5.0,18.093333333333334
203666,Hans Vanaken,8263,Belgium,2,midfielder,4.9079999999999995,3.0,2.0,9.908,60.0,1,1,5.0,14.908
1083323,Pedri,6720,Spain,2,midfielder,6.438,1.9,1.1666666666666667,9.504666666666665,35.0,1,0,4.5,14.004666666666665
942372,Álex Baena,6720,Spain,2,midfielder,4.728000000000001,1.9,1.8333333333333333,8.461333333333334,55.0,1,1,5.0,13.461333333333334
1489449,Joaquin Seys,8263,Belgium,1,defender,7.109999999999999,3.0,0.9666666666666667,11.076666666666666,30.0,0,1,0.0,11.076666666666666
318615,Leandro Trossard,8263,Belgium,3,forward,3.5,1.4,2.0,6.9,60.0,1,1,3.0,9.9
1202110,Nico Williams,6720,Spain,3,forward,1.875,5.0,0.36666666666666664,7.241666666666666,11.0,1,0,0.5,7.741666666666666
881771,Ferran Torres,6720,Spain,3,forward,0.8333333333333333,4.1,1.1666666666666667,6.1,35.0,1,0,0.5,6.6
921341,Alexis Saelemaekers,8263,Belgium,2,midfielder,2.7439999999999998,3.0,0.13333333333333333,5.8773333333333335,4.0,0,1,0.5,6.3773333333333335
39591,Axel Witsel,8263,Belgium,2,midfielder,0.806,3.0,1.0,4.806,30.0,0,1,0.5,5.306
181276,Romelu Lukaku,8263,Belgium,3,forward,0.6916666666666667,5.0,1.0,6.691666666666666,30.0,0,1,-2.5,4.191666666666666
277771,Thomas Meunier,8263,Belgium,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
602563,Marcos Llorente,6720,Spain,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
940573,Eric García,6720,Spain,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1173250,Arthur Theate,8263,Belgium,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1200630,Koni De Winter,8263,Belgium,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1323897,Marc Pubill,6720,Spain,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
288406,Alejandro Grimaldo,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1031325,Martín Zubimendi,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1047676,Yéremi Pino,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1279040,Gavi,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1342754,Diego Moreira,8263,Belgium,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
609505,Borja Iglesias,6720,Spain,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
688876,Dodi Lukébakio,8263,Belgium,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1444231,Matias Fernandez-Pardo,8263,Belgium,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1553105,Víctor Muñoz,6720,Spain,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
