player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Charles De Ketelaere,1095432,Belgium,forward,71.53333333333333,9.0,0.0,81
Nicolas Raskin,863869,Belgium,midfielder,37.434666666666665,9.0,0.0,46
Hans Vanaken,203666,Belgium,midfielder,36.73,9.0,0.0,46
Alex Freeman,1338696,USA,defender,51.16,-10.0,0.0,41
Dodi Lukébakio,688876,Belgium,forward,26.058333333333334,9.0,0.0,35
Leandro Trossard,318615,Belgium,midfielder,24.764666666666663,9.0,0.0,34
Timothy Castagne,465750,Belgium,defender,27.87,5.0,0.0,33
Youri Tielemans,465960,Belgium,midfielder,20.966,11.0,0.0,32
Malik Tillman,1126058,USA,midfielder,31.742,-1.0,0.0,31
Brandon Mechele,445873,Belgium,defender,24.450000000000003,5.0,0.0,29
Antonee Robinson,662428,USA,defender,34.41666666666667,-5.0,0.0,29
Nathan Ngoy,1252070,Belgium,defender,23.39,5.0,0.0,28
Maxim De Cuyper,1134871,Belgium,defender,21.89,5.0,0.0,27
Chris Richards,950829,USA,defender,35.44,-10.0,0.0,25
Tyler Adams,729769,USA,midfielder,20.016,1.0,0.0,21
Sebastian Berhalter,1136096,USA,midfielder,20.08333333333333,0.5,0.0,21
Romelu Lukaku,181276,Belgium,forward,18.841666666666665,0.5,0.0,19
Amadou Onana,1185748,Belgium,midfielder,11.737999999999998,4.5,0.0,16
Giovanni Reyna,1071179,USA,midfielder,17.304000000000002,-1.5,0.0,16
Folarin Balogun,982677,USA,forward,12.108333333333333,3.0,0.0,15
Sergiño Dest,892816,USA,forward,11.558333333333334,3.0,0.0,15
Jérémy Doku,942368,Belgium,forward,13.174999999999995,0.5,0.0,14
Christian Pulisic,688295,USA,forward,10.583333333333334,3.0,0.0,14
Ricardo Pepi,1036401,USA,forward,11.575,-2.5,0.0,9
Axel Witsel,39591,Belgium,midfielder,4.049333333333333,4.5,0.0,9
Alexis Saelemaekers,921341,Belgium,midfielder,2.541333333333333,4.5,0.0,7
Weston McKennie,848266,USA,midfielder,7.793999999999999,-1.0,0.0,7
Tim Ream,198444,USA,defender,13.91,-10.0,0.0,4
Thomas Meunier,277771,Belgium,defender,0.0,0.0,0.0,0
Auston Trusty,688271,USA,defender,0.0,0.0,0.0,0
Miles Robinson,825623,USA,defender,0.0,0.0,0.0,0
Mark McKenzie,924485,USA,defender,0.0,0.0,0.0,0
Joseph Scally,959696,USA,defender,0.0,0.0,0.0,0
Arthur Theate,1173250,Belgium,defender,0.0,0.0,0.0,0
Koni De Winter,1200630,Belgium,defender,0.0,0.0,0.0,0
Zeno Debast,1232172,Belgium,defender,0.0,0.0,0.0,0
Joaquin Seys,1489449,Belgium,defender,0.0,0.0,0.0,0
Kevin De Bruyne,169200,Belgium,midfielder,0.0,0.0,0.0,0
Timothy Weah,889536,USA,midfielder,0.0,0.0,0.0,0
Brenden Aaronson,952322,USA,midfielder,0.0,0.0,0.0,0
Diego Moreira,1342754,Belgium,midfielder,0.0,0.0,0.0,0
Max Arfsten,1348329,USA,midfielder,0.0,0.0,0.0,0
Alex Zendejas,621882,USA,forward,0.0,0.0,0.0,0
Haji Wright,848268,USA,forward,0.0,0.0,0.0,0
Matias Fernandez-Pardo,1444231,Belgium,forward,0.0,0.0,0.0,0
Belgium Keepers,8263,Belgium,goalkeeper,11.54,12.0,0.0,24
USA Keepers,6713,USA,goalkeeper,17.04,-6.0,0.0,11
