auction_name,participant,player_name,team_name,position,fotmob_player_id,price,sold_at
,Agastya,Pedri,Spain,Midfielder,1083323,75,
,Agastya,Jeremy Doku,Belgium,Forward,942368,43,
,Agastya,Casemiro,Brazil,Midfielder,208494,40,
,Agastya,Nico Williams,Spain,Forward,1202110,39,
,Agastya,Ruben Dias,Portugal,Defender,614006,35,
,Agastya,Nico O'Reilly,England,Defender,1300526,35,
,Agastya,Dayot Upamecano,France,Defender,658554,30,
,Agastya,Nahuel Molina,Argentina,Defender,726345,25,
,Agastya,Riyad Mahrez,Algeria,Forward,278343,13,
,Agastya,Tijjani Reijnders,Netherlands,Midfielder,868344,12,
,Agastya,Dan Ndoye,Switzerland,Forward,1022649,11,
,Agastya,Tyler Adams,USA,Midfielder,729769,11,
,Agastya,Maxim De Cuyper,Belgium,Defender,1134871,10,
,Agastya,Marcel Sabitzer,Austria,Midfielder,215151,9,
,Agastya,Abdukodir Khusanov,Uzbekistan,Defender,1362998,7,
,Agastya,Argentina Keepers,Argentina,Goalkeeper,90006706,6,
,Agastya,Rayan Ait Nouri,Algeria,Defender,933845,5,
,Agastya,Iliman Ndiaye,Senegal,Forward,965764,5,
,Akshan,Vitinha,Portugal,Midfielder,1061249,70,
,Akshan,Enzo Fernandez,Argentina,Midfielder,1137705,46,
,Akshan,Elliot Anderson,England,Midfielder,1089691,33,
,Akshan,Nicolas Otamendi,Argentina,Defender,174321,28,
,Akshan,Theo Hernandez,France,Defender,724371,26,
,Akshan,Viktor Gyokeres,Sweden,Forward,664500,23,
,Akshan,Jonathan Tah,Germany,Defender,469700,19,
,Akshan,Antoine Semenyo,Ghana,Forward,933576,18,
,Akshan,David Raum,Germany,Defender,806669,16,
,Akshan,Sadio Mane,Senegal,Forward,303339,15,
,Akshan,Joao Felix,Portugal,Forward,794427,12,
,Akshan,Anthony Gordon,England,Forward,906937,11,
,Akshan,Danilo,Brazil,Defender,208077,10,
,Akshan,Morgan Rogers,England,Midfielder,883080,9,
,Akshan,Spain Keepers,Spain,Goalkeeper,90006720,8,
,Akshan,Ruben Neves,Portugal,Midfielder,534684,8,
,Akshan,Diogo Dalot,Portugal,Defender,751550,5,
,Akshan,Guela Doue,Ivory Coast,Defender,1395704,5,
,AZ/Dalla,Ousmane Dembele,France,Forward,692984,70,
,AZ/Dalla,Marcos Llorente,Spain,Defender,602563,36,
,AZ/Dalla,Florian Wirtz,Germany,Midfielder,1152455,30,
,AZ/Dalla,Cristiano Ronaldo,Portugal,Forward,30893,28,
,AZ/Dalla,Frenkie de Jong,Netherlands,Midfielder,638622,26,
,AZ/Dalla,Kevin De Bruyne,Belgium,Midfielder,169200,25,
,AZ/Dalla,Bernardo Silva,Portugal,Midfielder,488139,24,
,AZ/Dalla,Nico Schlotterbeck,Germany,Defender,1002058,21,
,AZ/Dalla,Denzel Dumfries,Netherlands,Defender,593118,20,
,AZ/Dalla,Adrien Rabiot,France,Midfielder,352879,20,
,AZ/Dalla,Neymar Jr,Brazil,Forward,19533,14,
,AZ/Dalla,Lisandro Martinez,Argentina,Defender,847983,14,
,AZ/Dalla,Romelu Lukaku,Belgium,Forward,181276,9,
,AZ/Dalla,Luka Modric,Croatia,Midfielder,31097,9,
,AZ/Dalla,Belgium Keepers,Belgium,Goalkeeper,90008263,7,
,AZ/Dalla,Piero Hincapie,Ecuador,Defender,1137667,6,
,AZ/Dalla,Manuel Akanji,Switzerland,Defender,521318,5,
,AZ/Dalla,Granit Xhaka,Switzerland,Midfielder,207236,5,
,Devarya,Nuno Mendes,Portugal,Defender,1158945,60,
,Devarya,Gabriel Magalhaes,Brazil,Defender,795179,41,
,Devarya,Aymeric Laporte,Spain,Defender,411617,33,
,Devarya,Joao Cancelo,Portugal,Defender,361757,33,
,Devarya,Jamal Musiala,Germany,Midfielder,1156141,32,
,Devarya,Marc Guehi,England,Defender,844425,31,
,Devarya,Martin Odegaard,Norway,Midfielder,534670,20,
,Devarya,Erling Haaland,Norway,Forward,737066,19,
,Devarya,Leon Goretzka,Germany,Midfielder,343748,11,
,Devarya,Leroy Sane,Germany,Midfielder,530859,11,
,Devarya,Thiago Almada,Argentina,Forward,955271,11,
,Devarya,Mohamed Salah,Egypt,Forward,292462,10,
,Devarya,Moises Caicedo,Ecuador,Midfielder,1137668,8,
,Devarya,Germany Keepers,Germany,Goalkeeper,90008570,6,
,Devarya,Donyell Malen,Netherlands,Forward,660301,6,
,Devarya,James Rodriguez,Colombia,Midfielder,164684,6,
,Devarya,Leandro Paredes,Argentina,Midfielder,237606,5,
