player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Riyad Mahrez,278343,Algeria,midfielder,52.548,5.0,0.0,58
Houssem Aouar,776299,Algeria,midfielder,39.57666666666667,7.0,0.0,47
Nabil Bentaleb,500520,Algeria,midfielder,40.342000000000006,5.0,0.0,45
Marcel Sabitzer,215151,Austria,midfielder,39.635999999999996,5.0,0.0,45
Farès Chaïbi,1345875,Algeria,midfielder,39.196,5.0,0.0,44
Ibrahim Maza,1457626,Algeria,midfielder,29.337999999999997,5.0,0.0,34
Michael Gregoritsch,198316,Austria,forward,27.608333333333334,3.5,0.0,31
Phillipp Mwene,423812,Austria,midfielder,28.098666666666666,3.0,0.0,31
Konrad Laimer,526827,Austria,midfielder,22.518,5.0,0.0,28
Aïssa Mandi,210683,Algeria,defender,32.1,-5.0,0.0,27
David Alaba,121633,Austria,defender,25.436666666666664,0.0,0.0,25
Rafik Belghali,1231029,Algeria,defender,25.276666666666667,0.0,0.0,25
Nicolas Seiwald,1024672,Austria,midfielder,18.79,5.0,0.0,24
Marko Arnautovic,110148,Austria,forward,18.258333333333333,3.0,0.0,21
Amine Gouiri,844437,Algeria,forward,11.808333333333334,6.0,0.0,18
Xaver Schlager,620027,Austria,midfielder,12.46,5.0,0.0,17
Stefan Posch,557325,Austria,defender,21.849999999999998,-5.0,0.0,17
Jaouen Hadjam,1178324,Algeria,defender,16.236666666666668,0.0,0.0,16
Ramy Bensebaini,559065,Algeria,defender,20.16,-5.0,0.0,15
Florian Grillitsch,617044,Austria,midfielder,10.978,2.5,0.0,13
Paul Wanner,1327149,Austria,midfielder,10.156,2.5,0.0,13
Philipp Lienhart,643724,Austria,defender,16.5,-5.0,0.0,12
Kevin Danso,754126,Austria,defender,10.913333333333334,0.0,0.0,11
Rayan Aït-Nouri,933845,Algeria,defender,10.253333333333334,0.0,0.0,10
Zineddine Belaïd,1118823,Algeria,defender,7.303333333333333,0.0,0.0,7
Samir Chergui,1039219,Algeria,defender,5.613333333333333,0.0,0.0,6
Romano Schmid,749488,Austria,midfielder,0.5700000000000002,5.0,0.0,6
Marco Friedl,767789,Austria,defender,0.0,0.0,0.0,0
Michael Svoboda,951921,Austria,defender,0.0,0.0,0.0,0
David Affengruber,1073980,Austria,defender,0.0,0.0,0.0,0
Mohamed Tougai,1131925,Algeria,defender,0.0,0.0,0.0,0
Achref Abada,1362385,Algeria,defender,0.0,0.0,0.0,0
Alessandro Schöpf,461357,Austria,midfielder,0.0,0.0,0.0,0
Dejan Ljubicic,861668,Austria,midfielder,0.0,0.0,0.0,0
Alexander Prass,1027194,Austria,midfielder,0.0,0.0,0.0,0
Hicham Boudaoui,1033099,Algeria,midfielder,0.0,0.0,0.0,0
Ramiz Zerrouki,1074967,Algeria,midfielder,0.0,0.0,0.0,0
Carney Chukwuemeka,1089685,Austria,midfielder,0.0,0.0,0.0,0
Yacine Titraoui,1288907,Algeria,midfielder,0.0,0.0,0.0,0
Sasa Kalajdzic,858198,Austria,forward,0.0,0.0,0.0,0
Patrick Wimmer,1073498,Austria,forward,0.0,0.0,0.0,0
Nadir Benbouali,1210929,Algeria,forward,0.0,0.0,0.0,0
Adil Boulbina,1298669,Algeria,forward,0.0,0.0,0.0,0
Farès Ghedjemis,1523327,Algeria,forward,0.0,0.0,0.0,0
Anis Hadj Moussa,1576876,Algeria,forward,0.0,0.0,0.0,0
Algeria Keepers,6317,Algeria,goalkeeper,5.359999999999999,0.0,0.0,5
Austria Keepers,8255,Austria,goalkeeper,12.559999999999999,0.0,0.0,13
