player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Brandon Mechele,445873,Belgium,defender,39.82,5.0,0.0,45
Mohanad Lasheen,906944,Egypt,midfielder,36.8,5.0,0.0,42
Hamdi Fathi,1022128,Egypt,midfielder,35.61933333333333,5.0,0.0,41
Nathan Ngoy,1252070,Belgium,defender,35.45,5.0,0.0,40
Charles De Ketelaere,1095432,Belgium,forward,40.42500000000001,0.0,0.0,40
Youri Tielemans,465960,Belgium,midfielder,31.424,5.0,0.0,36
Emam Ashour,979376,Egypt,midfielder,29.54266666666667,5.0,0.0,35
Leandro Trossard,318615,Belgium,forward,30.924999999999997,3.0,0.0,34
Timothy Castagne,465750,Belgium,defender,28.206666666666674,5.0,0.0,33
Mohamed Hany,660213,Egypt,defender,28.010000000000005,5.0,0.0,33
Omar Marmoush,839204,Egypt,forward,27.949999999999996,3.0,0.0,31
Ahmed Abou El Fotouh,849334,Egypt,defender,24.873333333333335,5.0,0.0,30
Mohamed Salah,292462,Egypt,midfielder,24.041333333333334,5.0,0.0,29
Kevin De Bruyne,169200,Belgium,midfielder,21.616666666666667,5.0,0.0,27
Marwan Ateya,1418549,Egypt,midfielder,20.810000000000002,5.0,0.0,26
Thomas Meunier,277771,Belgium,defender,20.38,5.0,0.0,25
Yasser Ibrahim,533403,Egypt,defender,19.480000000000004,5.0,0.0,24
Rami Rabia,505872,Egypt,defender,16.883333333333333,5.0,0.0,22
Maxim De Cuyper,1134871,Belgium,defender,14.243333333333332,5.0,0.0,19
Nicolas Raskin,863869,Belgium,midfielder,14.709333333333333,4.5,0.0,19
Jérémy Doku,942368,Belgium,forward,13.958333333333334,3.0,0.0,17
Mostafa Ziko,1426403,Egypt,forward,13.808333333333335,3.0,0.0,17
Amadou Onana,1185748,Belgium,midfielder,12.440666666666669,3.0,0.0,15
Karim Hafez,560416,Egypt,defender,5.006666666666667,5.0,0.0,10
Hans Vanaken,203666,Belgium,midfielder,3.103333333333333,2.5,0.0,6
Hamza Abdelkarim,1708842,Egypt,forward,7.975,-2.5,0.0,5
Romelu Lukaku,181276,Belgium,forward,4.5,0.5,0.0,5
Zizo,532766,Egypt,forward,6.141666666666667,-2.5,0.0,4
Ibrahim Adel,1272436,Egypt,forward,4.608333333333333,-2.5,0.0,2
Matias Fernandez-Pardo,1444231,Belgium,forward,4.341666666666667,-2.5,0.0,2
Arthur Theate,1173250,Belgium,defender,0.0,0.0,0.0,0
Mohamed Abdelmonem,1179331,Egypt,defender,0.0,0.0,0.0,0
Koni De Winter,1200630,Belgium,defender,0.0,0.0,0.0,0
Hossam Abdelmaguid,1384425,Egypt,defender,0.0,0.0,0.0,0
Joaquin Seys,1489449,Belgium,defender,0.0,0.0,0.0,0
Tarek Alaa,1689101,Egypt,defender,0.0,0.0,0.0,0
Axel Witsel,39591,Belgium,midfielder,0.0,0.0,0.0,0
Alexis Saelemaekers,921341,Belgium,midfielder,0.0,0.0,0.0,0
Nabil Dunga,1001335,Egypt,midfielder,0.0,0.0,0.0,0
Mahmoud Saber,1291391,Egypt,midfielder,0.0,0.0,0.0,0
Diego Moreira,1342754,Belgium,midfielder,0.0,0.0,0.0,0
Trezeguet,513492,Egypt,forward,0.0,0.0,0.0,0
Dodi Lukébakio,688876,Belgium,forward,0.0,0.0,0.0,0
Haissem Hassan,971787,Egypt,forward,0.0,0.0,0.0,0
Belgium Keepers,8263,Belgium,goalkeeper,16.439999999999998,12.0,0.0,28
Egypt Keepers,10255,Egypt,goalkeeper,23.66,12.0,0.0,36
