player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Erling Haaland,737066,Norway,forward,51.975,6.0,0.0,58
Andreas Schjelderup,1228558,Norway,forward,42.516666666666666,3.5,0.0,46
Sander Berge,540963,Norway,midfielder,36.898,7.0,0.0,44
Vinícius Júnior,846033,Brazil,forward,37.516666666666666,3.0,0.0,41
Kristoffer Ajer,552718,Norway,defender,33.120000000000005,5.0,0.0,38
Douglas Santos,346000,Brazil,defender,34.1,0.0,0.0,34
Danilo,208077,Brazil,defender,33.28,0.0,0.0,33
Patrick Berg,530635,Norway,midfielder,25.88,7.0,0.0,33
Gabriel,795179,Brazil,defender,31.860000000000003,0.0,0.0,32
Martin Ødegaard,534670,Norway,midfielder,24.823999999999995,7.0,0.0,32
Rayan,1478295,Brazil,forward,31.48333333333333,0.0,0.0,31
Casemiro,208494,Brazil,midfielder,28.274,3.0,0.0,31
David Møller Wolfe,1049679,Norway,defender,18.99666666666667,10.0,0.0,29
Torbjørn Heggem,935550,Norway,defender,22.42,5.0,0.0,27
Julian Ryerson,659272,Norway,midfielder,18.784,5.0,0.0,24
Neymar,19533,Brazil,forward,22.391666666666666,0.5,0.0,23
Gabriel Martinelli,1021586,Brazil,forward,22.266666666666666,0.0,0.0,22
Oscar Bobb,1113790,Norway,forward,17.433333333333334,3.5,0.0,21
Matheus Cunha,863098,Brazil,forward,19.375,0.0,0.0,19
Fredrik Aursnes,310768,Norway,midfielder,12.582,4.5,0.0,17
Danilo,1181700,Brazil,midfielder,15.70066666666667,0.5,0.0,16
Marquinhos,267365,Brazil,defender,16.0,0.0,0.0,16
Bruno Guimarães,850354,Brazil,midfielder,9.421333333333331,5.0,0.0,14
Alexander Sørloth,440330,Norway,forward,9.458333333333332,0.0,0.0,9
Antonio Nusa,1248482,Norway,forward,9.241666666666667,0.0,0.0,9
Endrick,1406729,Brazil,forward,3.908333333333333,0.5,0.0,4
Éderson,957203,Brazil,midfielder,1.3286666666666664,0.5,0.0,2
Alex Sandro,157865,Brazil,defender,0.0,0.0,0.0,0
Léo Pereira,523801,Brazil,defender,0.0,0.0,0.0,0
Fredrik André Bjørkan,630228,Norway,defender,0.0,0.0,0.0,0
Leo Østigard,740944,Norway,defender,0.0,0.0,0.0,0
Gleison Bremer,857269,Brazil,defender,0.0,0.0,0.0,0
Roger Ibañez,862538,Brazil,defender,0.0,0.0,0.0,0
Henrik Falchener,1110550,Norway,defender,0.0,0.0,0.0,0
Sondre Klingen Langås,1127585,Norway,defender,0.0,0.0,0.0,0
Fabinho,359188,Brazil,midfielder,0.0,0.0,0.0,0
Morten Thorsby,439148,Norway,midfielder,0.0,0.0,0.0,0
Kristian Thorstvedt,921921,Norway,midfielder,0.0,0.0,0.0,0
Thelo Aasgaard,1184468,Norway,midfielder,0.0,0.0,0.0,0
Raphinha,696679,Brazil,forward,0.0,0.0,0.0,0
Jens Petter Hauge,741397,Norway,forward,0.0,0.0,0.0,0
Jørgen Strand Larsen,821100,Norway,forward,0.0,0.0,0.0,0
Luiz Henrique,1176214,Brazil,forward,0.0,0.0,0.0,0
Igor Thiago,1302005,Brazil,forward,0.0,0.0,0.0,0
Norway Keepers,8492,Norway,goalkeeper,33.96,12.0,0.0,46
Brazil Keepers,8256,Brazil,goalkeeper,15.36,6.0,0.0,21
