player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jonathan David,939569,Canada,forward,55.94166666666667,18.0,0.0,74
Alistair Johnston,1055426,Canada,defender,41.739999999999995,10.0,0.0,52
Stephen Eustaquio,816223,Canada,midfielder,32.428,17.0,0.0,49
Tajon Buchanan,1026135,Canada,midfielder,34.29666666666667,15.0,0.0,49
Cyle Larin,544312,Canada,forward,27.141666666666666,18.0,0.0,45
Nathan Saliba,1216798,Canada,midfielder,35.204,8.5,0.0,44
Ali Ahmed,1359536,Canada,forward,27.89166666666667,12.0,0.0,40
Ismaël Koné,1288119,Canada,midfielder,19.479999999999997,11.0,0.0,30
Richie Laryea,729506,Canada,defender,19.810000000000002,10.0,0.0,30
Luc De Fougerolles,1399943,Canada,defender,17.85666666666667,10.0,0.0,28
Boualem Khoukhi,308921,Qatar,defender,46.17999999999999,-20.0,0.0,26
Derek Cornelius,847629,Canada,defender,10.55,10.0,0.0,21
Issa Laye,1839745,Qatar,midfielder,21.826,-7.0,0.0,15
Jacob Shaffelburg,1023943,Canada,forward,11.191666666666665,3.5,0.0,15
Hashmi Al Hussain,1642780,Qatar,defender,24.133333333333333,-10.0,0.0,14
Moïse Bombito,1440009,Canada,defender,8.97,5.0,0.0,14
Jassem Gaber,1195865,Qatar,midfielder,13.462000000000002,-1.0,0.0,12
Niko Sigur,1494508,Canada,defender,6.263333333333334,5.0,0.0,11
Sultan Al Brake,644014,Qatar,defender,20.64666666666667,-10.0,0.0,11
Edmílson Junior,365245,Qatar,forward,10.583333333333332,0.0,0.0,11
Akram Afif,613792,Qatar,forward,10.508333333333333,0.0,0.0,11
Yusuf Abdurisag,1053987,Qatar,forward,11.425000000000002,-2.5,0.0,9
Tani Oluwaseyi,1338740,Canada,forward,4.7333333333333325,3.5,0.0,8
Ayoub Al Oui,1432180,Qatar,defender,27.490000000000002,-20.0,0.0,7
Lucas Mendes,149583,Qatar,defender,7.4,0.0,0.0,7
Ahmed Fathi,898424,Qatar,midfielder,6.994,-1.5,0.0,5
Pedro Miguel,734637,Qatar,defender,23.070000000000004,-20.0,0.0,3
Assim Madibo,615414,Qatar,midfielder,9.854666666666667,-7.0,0.0,3
Homam Elamin,937414,Qatar,defender,6.220000000000001,-20.0,0.0,0
Mohamed Al Mannai,1553870,Qatar,midfielder,3.104,-3.5,0.0,0
Alphonso Davies,751202,Canada,defender,0.0,0.0,0.0,0
Joel Waterman,1100258,Canada,defender,0.0,0.0,0.0,0
Abdulaziz Hatem,308909,Qatar,midfielder,0.0,0.0,0.0,0
Karim Boudiaf,309153,Qatar,midfielder,0.0,0.0,0.0,0
Jonathan Osorio,432605,Canada,midfielder,0.0,0.0,0.0,0
Mathieu Choinière,943428,Canada,midfielder,0.0,0.0,0.0,0
Hassan Al Haidos,117539,Qatar,forward,0.0,0.0,0.0,0
Ahmed Alaaeldin,264096,Qatar,forward,0.0,0.0,0.0,0
Mohammed Muntari,431151,Qatar,forward,0.0,0.0,0.0,0
Almoez Ali,644017,Qatar,forward,0.0,0.0,0.0,0
Liam Millar,932308,Canada,forward,0.0,0.0,0.0,0
Jayden Nelson,1082106,Canada,forward,0.0,0.0,0.0,0
Ahmed Al Ganehi,1210913,Qatar,forward,0.0,0.0,0.0,0
Promise David,1252132,Canada,forward,0.0,0.0,0.0,0
Tahsin Jamshid,1648351,Qatar,forward,0.0,0.0,0.0,0
Canada Keepers,5810,Canada,goalkeeper,5.04,18.0,0.0,23
Qatar Keepers,5902,Qatar,goalkeeper,26.759999999999998,-18.0,0.0,9
