player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Saud Abdulhamid,1002617,Saudi Arabia,defender,35.64,10.0,0.0,46
Mohamed Kanno,866373,Saudi Arabia,forward,43.975,0.0,0.0,44
João Paulo,1241301,Cape Verde Islands,defender,33.7,10.0,0.0,44
Diney Borges,496648,Cape Verde Islands,defender,33.6,10.0,0.0,44
Deroy Duarte,798069,Cape Verde Islands,midfielder,35.726000000000006,5.0,0.0,41
Roberto Lopes,230134,Cape Verde Islands,defender,30.470000000000002,10.0,0.0,40
Abdulelah Al Amri,848600,Saudi Arabia,defender,27.380000000000003,10.0,0.0,37
Nasser Al-Dawsari,848612,Saudi Arabia,midfielder,29.266000000000002,5.0,0.0,34
Kevin Pina,890503,Cape Verde Islands,midfielder,28.392,5.0,0.0,33
Ali Lajami,640284,Saudi Arabia,defender,23.39,10.0,0.0,33
Wagner Pina,1460591,Cape Verde Islands,defender,22.03666666666667,10.0,0.0,32
Sultan Mandash,619824,Saudi Arabia,forward,26.583333333333332,0.0,0.0,27
Nawaf Al-Boushail,1401228,Saudi Arabia,defender,16.563333333333333,10.0,0.0,27
Ryan Mendes,172615,Cape Verde Islands,forward,25.608333333333334,0.0,0.0,26
Laros Duarte,665167,Cape Verde Islands,midfielder,20.001333333333335,2.5,0.0,23
Firas Al-Buraikan,844226,Saudi Arabia,forward,17.75,0.0,0.0,18
Willy Semedo,873832,Cape Verde Islands,forward,17.583333333333336,0.0,0.0,18
Hassan Al Tambakti,848607,Saudi Arabia,defender,12.14,5.0,0.0,17
Salem Al-Dawsari,307753,Saudi Arabia,forward,16.45,0.0,0.0,16
Musab Al-Juwayr,1235341,Saudi Arabia,midfielder,12.546000000000001,2.5,0.0,15
Nuno da Costa,671326,Cape Verde Islands,forward,17.124999999999996,-2.5,0.0,15
Abdullah Alkhaibari,823457,Saudi Arabia,midfielder,8.544,5.0,0.0,14
Jamiro Monteiro,680905,Cape Verde Islands,midfielder,8.084666666666667,5.0,0.0,13
Mohammed Abu Al Shamat,1543647,Saudi Arabia,midfielder,8.766,2.5,0.0,11
Dailon Livramento,1309634,Cape Verde Islands,forward,9.7,0.0,0.0,10
Hélio Varela,1524518,Cape Verde Islands,forward,11.15,-2.5,0.0,9
Garry Rodrigues,302912,Cape Verde Islands,forward,10.941666666666666,-2.5,0.0,8
Moteb Al-Harbi,1138003,Saudi Arabia,defender,2.9466666666666668,5.0,0.0,8
Abdullah Al-Hamdan,909198,Saudi Arabia,forward,8.358333333333334,-2.5,0.0,6
Stopira,164062,Cape Verde Islands,defender,0.0,0.0,0.0,0
Hasan Kadesh,431215,Saudi Arabia,defender,0.0,0.0,0.0,0
Steven Moreira,444000,Cape Verde Islands,defender,0.0,0.0,0.0,0
Ali Majrashi,910986,Saudi Arabia,defender,0.0,0.0,0.0,0
Logan Costa,922877,Cape Verde Islands,defender,0.0,0.0,0.0,0
Ayman Yahya,1095207,Saudi Arabia,defender,0.0,0.0,0.0,0
Kelvin Pires,1175733,Cape Verde Islands,defender,0.0,0.0,0.0,0
Jehad Thakri,1232530,Saudi Arabia,defender,0.0,0.0,0.0,0
Alaa Hajji,697618,Saudi Arabia,midfielder,0.0,0.0,0.0,0
Ziyad Aljohani,1174962,Saudi Arabia,midfielder,0.0,0.0,0.0,0
Yannick Semedo,1205410,Cape Verde Islands,midfielder,0.0,0.0,0.0,0
Saleh Al-Shehri,384407,Saudi Arabia,forward,0.0,0.0,0.0,0
Jovane Cabral,785716,Cape Verde Islands,forward,0.0,0.0,0.0,0
Khalid Al Ghannam,1024928,Saudi Arabia,forward,0.0,0.0,0.0,0
Gilson Benchimol,1241302,Cape Verde Islands,forward,0.0,0.0,0.0,0
Cape Verde Islands Keepers,5888,Cape Verde Islands,goalkeeper,17.32,18.0,0.0,35
Saudi Arabia Keepers,7795,Saudi Arabia,goalkeeper,12.340000000000002,18.0,0.0,30
