player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Luka Modric,31097,Croatia,midfielder,48.058,7.0,0.0,55
Josip Sutalo,1186228,Croatia,defender,38.52,5.0,0.0,44
Marin Pongracic,831474,Croatia,defender,34.83,5.0,0.0,40
Ivan Perisic,163670,Croatia,forward,33.81666666666666,6.0,0.0,40
Marvin Senaya,1201760,Ghana,defender,36.85000000000001,0.0,0.0,37
Petar Sucic,1382000,Croatia,midfielder,28.244,7.0,0.0,35
Nikola Vlasic,557677,Croatia,midfielder,28.053333333333335,7.0,0.0,35
Derrick Luckassen,562801,Ghana,defender,34.39,0.0,0.0,34
Mateo Kovacic,239219,Croatia,midfielder,26.002000000000002,5.0,0.0,31
Gideon Mensah,771630,Ghana,defender,30.630000000000003,0.0,0.0,31
Ernest Nuamah,1338390,Ghana,midfielder,23.183333333333334,2.5,0.0,26
Martin Baturina,1215064,Croatia,forward,19.416666666666668,6.0,0.0,25
Thomas Partey,434325,Ghana,midfielder,21.116,3.0,0.0,24
Kamaldeen Sulemana,1130691,Ghana,forward,23.55,0.0,0.0,24
Jonas Adjetey,1432344,Ghana,defender,12.36,5.0,0.0,17
Abdul Fatawu,1265626,Ghana,forward,15.566666666666666,0.5,0.0,16
Josko Gvardiol,1070712,Croatia,defender,10.896666666666668,5.0,0.0,16
Kwasi Sibo,948745,Ghana,midfielder,12.815333333333335,3.0,0.0,16
Antoine Semenyo,933576,Ghana,forward,9.716666666666667,3.0,0.0,13
Igor Matanovic,1210893,Croatia,forward,11.516666666666667,0.5,0.0,12
Elisha Owusu,883823,Ghana,midfielder,8.754,3.0,0.0,12
Josip Stanisic,950824,Croatia,defender,6.75,5.0,0.0,12
Mario Pasalic,446266,Croatia,midfielder,6.894,4.5,0.0,11
Marco Pasalic,1199714,Croatia,midfielder,7.908666666666666,2.5,0.0,10
Ante Budimir,251269,Croatia,forward,6.241666666666667,3.0,0.0,9
Kojo Peprah Oppong,1429607,Ghana,defender,8.05,0.0,0.0,8
Jordan Ayew,154280,Ghana,forward,7.074999999999999,0.0,0.0,7
Brandon Thomas-Asante,776184,Ghana,forward,5.966666666666667,0.5,0.0,6
Caleb Yirenkyi,1615927,Ghana,midfielder,3.194666666666666,2.5,0.0,6
Abdul Rahman Baba,324910,Ghana,defender,0.0,0.0,0.0,0
Duje Caleta-Car,557799,Croatia,defender,0.0,0.0,0.0,0
Martin Erlic,616170,Croatia,defender,0.0,0.0,0.0,0
Abdul Mumin,776591,Ghana,defender,0.0,0.0,0.0,0
Jerome Opoku,873227,Ghana,defender,0.0,0.0,0.0,0
Alidu Seidu,1177779,Ghana,defender,0.0,0.0,0.0,0
Luka Vuskovic,1413996,Croatia,defender,0.0,0.0,0.0,0
Andrej Kramaric,173461,Croatia,midfielder,0.0,0.0,0.0,0
Nikola Moro,641595,Croatia,midfielder,0.0,0.0,0.0,0
Kristijan Jakic,643448,Croatia,midfielder,0.0,0.0,0.0,0
Luka Sucic,959597,Croatia,midfielder,0.0,0.0,0.0,0
Toni Fruk,1300358,Croatia,midfielder,0.0,0.0,0.0,0
Christopher Bonsu Baah,1452385,Ghana,midfielder,0.0,0.0,0.0,0
Iñaki Williams,604105,Ghana,forward,0.0,0.0,0.0,0
Petar Musa,709796,Croatia,forward,0.0,0.0,0.0,0
Augustine Boakye,1211610,Ghana,forward,0.0,0.0,0.0,0
Prince Adu,1220633,Ghana,forward,0.0,0.0,0.0,0
Ghana Keepers,6714,Ghana,goalkeeper,16.18,6.0,0.0,22
Croatia Keepers,10155,Croatia,goalkeeper,8.74,12.0,0.0,21
