player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
César Montes,664644,Mexico,defender,38.870000000000005,10.0,0.0,49
Jorge Sánchez,727586,Mexico,defender,37.61,10.0,0.0,48
Roberto Alvarado,720737,Mexico,midfielder,34.544,11.0,0.0,46
Mateo Chávez,1432212,Mexico,defender,32.5,10.0,0.0,42
Israel Reyes,1074586,Mexico,defender,28.019999999999996,10.0,0.0,38
Julián Quiñones,720560,Mexico,forward,26.258333333333333,9.0,0.0,35
Edson Álvarez,783505,Mexico,midfielder,22.45,11.0,0.0,33
Luis Romo,921174,Mexico,defender,20.540000000000003,10.0,0.0,31
Michal Sadílek,806551,Czech Republic,midfielder,27.506,-1.0,0.0,27
Álvaro Fidalgo,895954,Mexico,midfielder,20.692,4.5,0.0,25
Tomás Holes,306168,Czech Republic,defender,23.953333333333333,0.0,0.0,24
Adam Hlozek,969870,Czech Republic,forward,23.391666666666666,0.0,0.0,23
Lukás Cerv,1151313,Czech Republic,midfielder,22.337999999999997,1.0,0.0,23
Gilberto Mora,1670377,Mexico,midfielder,10.804,9.0,0.0,20
Guillermo Martínez,558539,Mexico,forward,12.950000000000001,6.0,0.0,19
David Doudera,883759,Czech Republic,midfielder,19.422,-1.0,0.0,18
Ladislav Krejcí,798029,Czech Republic,defender,22.650000000000002,-5.0,0.0,18
Denis Visinsky,1202885,Czech Republic,midfielder,12.168666666666667,3.0,0.0,15
Obed Vargas,1254394,Mexico,midfielder,9.228000000000002,4.5,0.0,14
Santiago Giménez,954092,Mexico,forward,12.891666666666667,0.5,0.0,13
Jesús Gallardo,597976,Mexico,defender,6.460000000000001,5.0,0.0,11
Robin Hranác,1225995,Czech Republic,defender,15.62,-5.0,0.0,11
Vladimír Coufal,307317,Czech Republic,defender,14.769999999999998,-5.0,0.0,10
Alexandr Sojka,1478281,Czech Republic,midfielder,7.959999999999999,0.5,0.0,8
Lukás Provod,791682,Czech Republic,midfielder,9.489333333333335,-1.5,0.0,8
Tomás Soucek,524437,Czech Republic,midfielder,4.470666666666666,2.5,0.0,7
Pavel Sulc,1037539,Czech Republic,midfielder,7.496,-1.0,0.0,6
Patrik Schick,540097,Czech Republic,forward,7.433333333333334,-2.5,0.0,5
Tomás Chory,523217,Czech Republic,forward,5.308333333333333,-2.5,0.0,3
Jaroslav Zeleny,249063,Czech Republic,defender,0.0,0.0,0.0,0
Johan Vásquez,914103,Mexico,defender,0.0,0.0,0.0,0
Érik Lira,971628,Mexico,defender,0.0,0.0,0.0,0
David Zima,1085401,Czech Republic,defender,0.0,0.0,0.0,0
Stepán Chaloupek,1288146,Czech Republic,defender,0.0,0.0,0.0,0
Vladimír Darida,196311,Czech Republic,midfielder,0.0,0.0,0.0,0
Luis Chávez,527616,Mexico,midfielder,0.0,0.0,0.0,0
Orbelín Pineda,559986,Mexico,midfielder,0.0,0.0,0.0,0
Brian Gutiérrez,1170238,Mexico,midfielder,0.0,0.0,0.0,0
Hugo Sochurek,1764021,Czech Republic,midfielder,0.0,0.0,0.0,0
Raul Jiménez,292313,Mexico,forward,0.0,0.0,0.0,0
Jan Kuchta,690332,Czech Republic,forward,0.0,0.0,0.0,0
Alexis Vega,728365,Mexico,forward,0.0,0.0,0.0,0
César Huerta,977404,Mexico,forward,0.0,0.0,0.0,0
Mojmír Chytil,988769,Czech Republic,forward,0.0,0.0,0.0,0
Armando González,1456983,Mexico,forward,0.0,0.0,0.0,0
Mexico Keepers,6710,Mexico,goalkeeper,9.08,18.0,0.0,27
Czech Republic Keepers,8496,Czech Republic,goalkeeper,13.42,0.0,0.0,13
