player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Kylian Mbappé,701154,France,forward,54.150000000000006,9.0,0.0,63
Ousmane Dembélé,692984,France,midfielder,47.190666666666665,11.0,0.0,58
Michael Olise,1029063,France,midfielder,43.40866666666666,11.0,0.0,54
Dayot Upamecano,658554,France,defender,30.390000000000004,10.0,0.0,40
William Saliba,955406,France,defender,27.25,10.0,0.0,37
Akam Hashem,1606279,Iraq,defender,39.52,-5.0,0.0,35
Bradley Barcola,1297165,France,midfielder,21.696666666666665,11.0,0.0,33
Kouadio Koné,1016132,France,midfielder,21.308,11.0,0.0,32
Adrien Rabiot,352879,France,midfielder,20.028,11.0,0.0,31
Zidane Iqbal,1138592,Iraq,midfielder,31.063999999999997,-1.0,0.0,30
Lucas Digne,210111,France,defender,17.159999999999997,10.0,0.0,27
Jules Koundé,705450,France,defender,17.126666666666665,10.0,0.0,27
Merchas Doski,1199113,Iraq,defender,31.560000000000006,-5.0,0.0,27
Amir Al-Ammari,858340,Iraq,midfielder,23.170666666666666,-1.0,0.0,22
Zaid Ismael,1642820,Iraq,midfielder,16.310000000000002,1.0,0.0,17
Rayan Cherki,1104053,France,midfielder,12.775333333333332,2.5,0.0,15
Zaid Tahseen,1420369,Iraq,defender,15.12,0.0,0.0,15
Ahmed Qasem,1224691,Iraq,forward,13.341666666666667,0.0,0.0,13
Rebin Sulaka,502481,Iraq,defender,12.88,0.0,0.0,13
Ali Al Hamadi,1113688,Iraq,forward,11.933333333333334,0.0,0.0,12
Hussein Ali,1092563,Iraq,defender,16.89,-5.0,0.0,12
Ibrahim Bayesh,942834,Iraq,forward,11.791666666666668,0.0,0.0,12
Marko Lawk Farji,1162514,Iraq,forward,13.524999999999999,-2.5,0.0,11
Ayman Hussein,674332,Iraq,forward,11.425,-2.5,0.0,9
Malo Gusto,1197250,France,defender,3.6733333333333333,5.0,0.0,9
Aimar Sher,1042511,Iraq,midfielder,5.593333333333333,2.5,0.0,8
Maghnes Akliouche,1305618,France,forward,8.291666666666666,-2.5,0.0,6
Youssef Amyn,1235623,Iraq,forward,7.533333333333333,-2.5,0.0,5
Désiré Doué,1339208,France,forward,7.1499999999999995,-2.5,0.0,5
Lucas Hernández,504606,France,defender,0.0,0.0,0.0,0
Theo Hernández,724371,France,defender,0.0,0.0,0.0,0
Ibrahima Konaté,820140,France,defender,0.0,0.0,0.0,0
Maxence Lacroix,950485,France,defender,0.0,0.0,0.0,0
Manaf Younis,1333336,Iraq,defender,0.0,0.0,0.0,0
Mustafa Saadoun,1554123,Iraq,defender,0.0,0.0,0.0,0
Ahmed Maknzi,1642810,Iraq,defender,0.0,0.0,0.0,0
N'Golo Kanté,319300,France,midfielder,0.0,0.0,0.0,0
Frans Putros,320139,Iraq,midfielder,0.0,0.0,0.0,0
Aurélien Tchouaméni,914458,France,midfielder,0.0,0.0,0.0,0
Kevin Yakob,941579,Iraq,midfielder,0.0,0.0,0.0,0
Warren Zaïre-Emery,1367615,France,midfielder,0.0,0.0,0.0,0
Marcus Thuram,621562,France,forward,0.0,0.0,0.0,0
Jean-Philippe Mateta,706297,France,forward,0.0,0.0,0.0,0
Mohanad Ali,926484,Iraq,forward,0.0,0.0,0.0,0
Ali Yousif,1132572,Iraq,forward,0.0,0.0,0.0,0
Ali Jasim,1478238,Iraq,forward,0.0,0.0,0.0,0
Iraq Keepers,5819,Iraq,goalkeeper,19.5,0.0,0.0,20
France Keepers,6723,France,goalkeeper,4.54,18.0,0.0,23
