player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Felix Nmecha,966019,Germany,midfielder,49.275999999999996,7.0,0.0,56
Christ Inao Oulaï,1666494,Côte d'Ivoire,midfielder,44.480000000000004,3.0,0.0,47
Deniz Undav,661519,Germany,forward,42.641666666666666,3.5,0.0,46
Ibrahim Sangaré,795371,Côte d'Ivoire,midfielder,35.79600000000001,5.0,0.0,41
Yan Diomande,1735453,Côte d'Ivoire,forward,37.400000000000006,3.0,0.0,40
Joshua Kimmich,460632,Germany,defender,32.67,5.0,0.0,38
Florian Wirtz,1152455,Germany,midfielder,28.747999999999998,7.0,0.0,36
Nathaniel Brown,1395447,Germany,defender,30.360000000000007,5.0,0.0,35
Jonathan Tah,469700,Germany,defender,28.950000000000003,5.0,0.0,34
Wilfried Singo,1027472,Côte d'Ivoire,defender,27.763333333333335,5.0,0.0,33
Odilon Kossounou,1014496,Côte d'Ivoire,defender,30.93,0.0,0.0,31
Emmanuel Agbadou,1114979,Côte d'Ivoire,defender,28.88,0.0,0.0,29
Ghislain Konan,740997,Côte d'Ivoire,defender,27.570000000000004,0.0,0.0,28
Nadiem Amiri,614449,Germany,midfielder,18.656,6.5,0.0,25
Amad Diallo,1070052,Côte d'Ivoire,forward,21.708333333333332,3.0,0.0,25
Franck Kessié,579747,Côte d'Ivoire,midfielder,21.5,3.0,0.0,24
Kai Havertz,749736,Germany,forward,18.358333333333334,3.0,0.0,21
Ange-Yoan Bonny,1199383,Côte d'Ivoire,forward,17.316666666666666,3.0,0.0,20
Antonio Rüdiger,276738,Germany,defender,15.059999999999999,5.0,0.0,20
Aleksandar Pavlovic,1473580,Germany,midfielder,16.509999999999998,3.0,0.0,20
Nico Schlotterbeck,1002058,Germany,defender,14.07,5.0,0.0,19
Jamal Musiala,1156141,Germany,midfielder,15.620000000000001,3.0,0.0,19
Leroy Sané,530859,Germany,forward,15.758333333333333,0.0,0.0,16
Jamie Leweling,1074968,Germany,forward,7.158333333333333,3.5,0.0,11
Leon Goretzka,343748,Germany,midfielder,5.456666666666667,4.5,0.0,10
Nicolas Pépé,575735,Côte d'Ivoire,midfielder,7.4446666666666665,0.5,0.0,8
Simon Adingra,1227012,Côte d'Ivoire,forward,9.258333333333333,-2.5,0.0,7
Guéla Doué,1395704,Côte d'Ivoire,defender,5.136666666666667,0.0,0.0,5
Seko Fofana,602211,Côte d'Ivoire,midfielder,4.594,0.5,0.0,5
Evann Guessand,1087966,Côte d'Ivoire,forward,4.391666666666666,-2.5,0.0,2
Waldemar Anton,664970,Germany,defender,0.0,0.0,0.0,0
Evan N'Dicka,787242,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Christopher Opéri,802462,Côte d'Ivoire,defender,0.0,0.0,0.0,0
David Raum,806669,Germany,defender,0.0,0.0,0.0,0
Malick Thiaw,1137407,Germany,defender,0.0,0.0,0.0,0
Ousmane Diomande,1425182,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Pascal Groß,167008,Germany,midfielder,0.0,0.0,0.0,0
Jean Michaël Seri,470539,Côte d'Ivoire,midfielder,0.0,0.0,0.0,0
Maximilian Beier,1047667,Germany,midfielder,0.0,0.0,0.0,0
Angelo Stiller,1071186,Germany,midfielder,0.0,0.0,0.0,0
Assan Ouédraogo,1486541,Germany,midfielder,0.0,0.0,0.0,0
Nick Woltemade,1106563,Germany,forward,0.0,0.0,0.0,0
Parfait Guiagon,1186770,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Elye Wahi,1213430,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Oumar Diakité,1328540,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Bazoumana Touré,1624586,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Côte d'Ivoire Keepers,6709,Côte d'Ivoire,goalkeeper,27.62,6.0,0.0,34
Germany Keepers,8570,Germany,goalkeeper,10.74,12.0,0.0,23
