player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Florian Wirtz,1152455,Germany,midfielder,53.13466666666666,5.0,0.0,58
José Canale,860890,Paraguay,defender,48.949999999999996,5.0,4.0,58
Damián Bobadilla,1252913,Paraguay,midfielder,38.712,5.0,0.0,44
Antonio Rüdiger,276738,Germany,defender,34.126666666666665,5.0,0.0,39
Matías Galarza,1241957,Paraguay,midfielder,33.192,5.0,4.0,42
Nathaniel Brown,1395447,Germany,defender,32.71,5.0,0.0,38
Juan Cáceres,1133495,Paraguay,defender,31.85,5.0,0.0,37
Andrés Cubas,529625,Paraguay,midfielder,31.609999999999996,5.0,0.0,37
Jonathan Tah,469700,Germany,defender,31.290000000000003,5.0,-4.0,32
Joshua Kimmich,460632,Germany,defender,31.14,5.0,4.0,40
Mauricio,1059490,Paraguay,midfielder,28.922,5.0,4.0,38
Kai Havertz,749736,Germany,midfielder,28.574,5.0,-4.0,30
Júnior Alonso,466214,Paraguay,defender,28.27666666666667,5.0,0.0,33
Gustavo Gómez,274392,Paraguay,defender,25.930000000000003,5.0,4.0,35
Miguel Almirón,442277,Paraguay,forward,26.84166666666667,3.0,0.0,30
Julio Enciso,1073742,Paraguay,forward,25.43333333333333,3.0,0.0,28
Waldemar Anton,664970,Germany,defender,20.17666666666667,5.0,0.0,25
Aleksandar Pavlovic,1473580,Germany,midfielder,18.549333333333333,5.0,0.0,24
Gustavo Caballero,1347933,Paraguay,forward,22.76666666666667,0.0,0.0,23
Jamal Musiala,1156141,Germany,midfielder,17.543999999999997,5.0,4.0,27
Leon Goretzka,343748,Germany,midfielder,14.693999999999999,7.0,0.0,22
Leroy Sané,530859,Germany,forward,12.983333333333334,3.0,0.0,16
Gabriel Ávalos,425711,Paraguay,forward,12.883333333333335,3.0,0.0,16
Gustavo Velázquez,497352,Paraguay,defender,8.5,5.0,0.0,14
Felix Nmecha,966019,Germany,midfielder,9.986,3.0,0.0,13
Antonio Sanabria,474448,Paraguay,forward,15.158333333333331,-2.5,-4.0,9
Nick Woltemade,1106563,Germany,forward,14.5,-2.5,-4.0,8
Malick Thiaw,1137407,Germany,defender,4.503333333333333,5.0,0.0,10
Nadiem Amiri,614449,Germany,midfielder,6.553333333333334,2.5,4.0,13
Deniz Undav,661519,Germany,forward,4.65,3.0,0.0,8
Braian Ojeda,1075065,Paraguay,midfielder,4.468,2.5,0.0,7
Fabián Balbuena,307438,Paraguay,defender,0.0,0.0,-4.0,0
Omar Alderete,751998,Paraguay,defender,0.0,0.0,0.0,0
David Raum,806669,Germany,defender,0.0,0.0,0.0,0
Alexandro Maidana,1736527,Paraguay,defender,0.0,0.0,0.0,0
Pascal Groß,167008,Germany,midfielder,0.0,0.0,0.0,0
Alejandro Romero,600850,Paraguay,midfielder,0.0,0.0,0.0,0
Maximilian Beier,1047667,Germany,midfielder,0.0,0.0,0.0,0
Angelo Stiller,1071186,Germany,midfielder,0.0,0.0,0.0,0
Assan Ouédraogo,1486541,Germany,midfielder,0.0,0.0,0.0,0
Isidro Pitta,1033279,Paraguay,forward,0.0,0.0,0.0,0
Jamie Leweling,1074968,Germany,forward,0.0,0.0,0.0,0
Ramón Sosa,1132960,Paraguay,forward,0.0,0.0,0.0,0
Álex Arce,1320444,Paraguay,forward,0.0,0.0,0.0,0
Paraguay Keepers,6724,Paraguay,goalkeeper,31.720000000000002,12.0,12.0,56
Germany Keepers,8570,Germany,goalkeeper,20.22,12.0,6.0,38
