player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jonas Adjetey,1432344,Ghana,defender,44.57,10.0,0.0,55
Jiovany Ramos,688448,Panama,defender,46.53000000000001,5.0,0.0,52
Caleb Yirenkyi,1615927,Ghana,midfielder,38.564,7.0,0.0,46
Andrés Andrade,688449,Panama,defender,38.480000000000004,5.0,0.0,43
Amir Murillo,643635,Panama,midfielder,38.302,3.0,0.0,41
Jerome Opoku,873227,Ghana,defender,30.630000000000006,10.0,0.0,41
Marvin Senaya,1201760,Ghana,defender,25.28,10.0,0.0,35
Gideon Mensah,771630,Ghana,defender,19.47,10.0,0.0,29
Carlos Harvey,1017520,Panama,defender,23.050000000000004,5.0,0.0,28
Yoel Bárcenas,526710,Panama,midfielder,23.917999999999996,3.0,0.0,27
César Blackman,888966,Panama,midfielder,21.40866666666667,5.0,0.0,26
Jordan Ayew,154280,Ghana,forward,24.724999999999998,0.0,0.0,25
José Córdoba,1223132,Panama,defender,19.409999999999997,5.0,0.0,24
Kamaldeen Sulemana,1130691,Ghana,midfielder,14.489333333333338,5.0,0.0,19
Antoine Semenyo,933576,Ghana,forward,16.075,3.0,0.0,19
Elisha Owusu,883823,Ghana,midfielder,13.075999999999999,5.0,0.0,18
Cristian Martínez,727101,Panama,forward,17.516666666666666,0.0,0.0,18
Azarías Londoño,1404414,Panama,forward,18.03333333333333,-2.5,0.0,16
Ismael Díaz,574077,Panama,forward,16.01666666666667,-2.5,0.0,14
Kwasi Sibo,948745,Ghana,midfielder,8.9,4.5,0.0,13
Abdul Fatawu,1265626,Ghana,forward,12.175,0.5,0.0,13
Brandon Thomas-Asante,776184,Ghana,forward,9.633333333333333,0.5,0.0,10
Cecilio Waterman,312159,Panama,forward,9.858333333333333,0.0,0.0,10
José Luis Rodriguez,940333,Panama,forward,9.316666666666666,0.0,0.0,9
Ernest Nuamah,1338390,Ghana,forward,7.1,0.0,0.0,7
José Fajardo,940334,Panama,forward,5.525,-2.5,0.0,3
Prince Adu,1220633,Ghana,forward,0.5333333333333327,0.5,0.0,1
Abdul Rahman Baba,324910,Ghana,defender,0.0,0.0,0.0,0
Roderick Miller,501847,Panama,defender,0.0,0.0,0.0,0
Derrick Luckassen,562801,Ghana,defender,0.0,0.0,0.0,0
Fidel Escobar,643638,Panama,defender,0.0,0.0,0.0,0
Abdul Mumin,776591,Ghana,defender,0.0,0.0,0.0,0
Jorge Gutiérrez,924235,Panama,defender,0.0,0.0,0.0,0
Alidu Seidu,1177779,Ghana,defender,0.0,0.0,0.0,0
Kojo Peprah Oppong,1429607,Ghana,defender,0.0,0.0,0.0,0
Edgardo Fariña,1454648,Panama,defender,0.0,0.0,0.0,0
Aníbal Godoy,308131,Panama,midfielder,0.0,0.0,0.0,0
Éric Davis,503710,Panama,midfielder,0.0,0.0,0.0,0
Adalberto Carrasquilla,643682,Panama,midfielder,0.0,0.0,0.0,0
César Yanis,1137803,Panama,midfielder,0.0,0.0,0.0,0
Christopher Bonsu Baah,1452385,Ghana,midfielder,0.0,0.0,0.0,0
Alberto Quintero,183088,Panama,forward,0.0,0.0,0.0,0
Iñaki Williams,604105,Ghana,forward,0.0,0.0,0.0,0
Tomás Rodríguez,1054138,Panama,forward,0.0,0.0,0.0,0
Augustine Boakye,1211610,Ghana,forward,0.0,0.0,0.0,0
Panama Keepers,5922,Panama,goalkeeper,13.6,12.0,0.0,26
Ghana Keepers,6714,Ghana,goalkeeper,19.46,18.0,0.0,37
