player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Grant Hanley,202180,Scotland,defender,27.78,10.0,0.0,38
Andrew Robertson,357880,Scotland,defender,25.16,10.0,0.0,35
Martin Expérience,1181438,Haiti,defender,29.889999999999997,5.0,0.0,35
Hannes Delcroix,822716,Haiti,defender,28.360000000000003,5.0,0.0,33
Aaron Hickey,1002039,Scotland,defender,22.93,10.0,0.0,33
John McGinn,356406,Scotland,midfielder,25.246666666666666,7.0,0.0,32
Danley Jean Jacques,1329461,Haiti,midfielder,29.036,3.0,0.0,32
Lewis Ferguson,888921,Scotland,midfielder,22.970000000000002,7.0,0.0,30
Jean-Ricner Bellegarde,769166,Haiti,midfielder,26.681999999999995,3.0,0.0,30
Ricardo Adé,532700,Haiti,defender,23.89,5.0,0.0,29
Carlens Arcus,634110,Haiti,defender,20.96,5.0,0.0,26
Jack Hendry,640642,Scotland,defender,15.91,10.0,0.0,26
Lawrence Shankland,317544,Scotland,forward,22.40833333333333,3.0,0.0,25
Ben Gannon-Doak,1324871,Scotland,forward,21.166666666666664,3.0,0.0,24
Scott McTominay,843099,Scotland,midfielder,15.188,7.0,0.0,22
Ruben Providence,1200016,Haiti,forward,20.791666666666664,0.0,0.0,21
Frantzdy Pierrot,833641,Haiti,forward,20.55833333333333,0.0,0.0,21
Don Deedson Louicius,1079194,Haiti,midfielder,14.987333333333332,3.0,0.0,18
Ché Adams,599353,Scotland,forward,14.608333333333333,3.0,0.0,18
Wilson Isidor,887703,Haiti,forward,13.016666666666666,0.0,0.0,13
Nathan Patterson,1112684,Scotland,defender,8.010000000000002,5.0,0.0,13
Kenny McLean,190851,Scotland,midfielder,9.591333333333333,2.5,0.0,12
Ryan Christie,439369,Scotland,midfielder,9.192,2.5,0.0,12
Josué Casimir,1199382,Haiti,midfielder,8.318666666666667,2.5,0.0,11
Lyndon Dykes,768635,Scotland,forward,10.425,-2.5,0.0,8
Findlay Curtis,1558461,Scotland,midfielder,2.6813333333333333,2.5,0.0,5
Lenny Joseph,1242314,Haiti,forward,6.300000000000001,-2.5,0.0,4
Yassin Fortuné,759569,Haiti,forward,5.666666666666667,-2.5,0.0,3
John Souttar,419207,Scotland,defender,0.0,0.0,0.0,0
Scott McKenna,551805,Scotland,defender,0.0,0.0,0.0,0
Kieran Tierney,582499,Scotland,defender,0.0,0.0,0.0,0
Duke Lacroix,649744,Haiti,defender,0.0,0.0,0.0,0
Anthony Ralston,668422,Scotland,defender,0.0,0.0,0.0,0
Dominic Hyam,694558,Scotland,defender,0.0,0.0,0.0,0
Jean-Kévin Duverne,769168,Haiti,defender,0.0,0.0,0.0,0
Carl Sainté,1107287,Haiti,defender,0.0,0.0,0.0,0
Garven Metusala,1286428,Haiti,defender,0.0,0.0,0.0,0
Keeto Thermoncy,1807873,Haiti,defender,0.0,0.0,0.0,0
Dominique Simon,1356595,Haiti,midfielder,0.0,0.0,0.0,0
Wilguens Paugain,1394254,Haiti,midfielder,0.0,0.0,0.0,0
Olivier Pierre,1447452,Haiti,midfielder,0.0,0.0,0.0,0
Tyler Fletcher,1676985,Scotland,midfielder,0.0,0.0,0.0,0
Duckens Nazon,525445,Haiti,forward,0.0,0.0,0.0,0
Derrick Etienne,643482,Haiti,forward,0.0,0.0,0.0,0
George Hirst,750033,Scotland,forward,0.0,0.0,0.0,0
Ross Stewart,776159,Scotland,forward,0.0,0.0,0.0,0
Haiti Keepers,5934,Haiti,goalkeeper,9.0,12.0,0.0,21
Scotland Keepers,8498,Scotland,goalkeeper,16.700000000000003,18.0,0.0,35
