player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Wilfried Singo,1027472,Côte d'Ivoire,defender,49.96,10.0,0.0,60
Emmanuel Agbadou,1114979,Côte d'Ivoire,defender,47.88999999999999,10.0,0.0,58
Yan Diomande,1735453,Côte d'Ivoire,midfielder,49.513999999999996,7.0,0.0,57
Amad Diallo,1070052,Côte d'Ivoire,midfielder,41.62333333333333,4.5,0.0,46
Guéla Doué,1395704,Côte d'Ivoire,defender,30.226666666666667,10.0,0.0,40
Joel Ordóñez,1354085,Ecuador,defender,34.75,5.0,0.0,40
Willian Pacho,1137670,Ecuador,defender,32.58,5.0,0.0,38
Pedro Vite,1108611,Ecuador,midfielder,33.562,3.0,0.0,37
Gonzalo Plata,980311,Ecuador,forward,35.525,0.0,0.0,36
Moisés Caicedo,1137668,Ecuador,midfielder,31.656000000000002,3.0,0.0,35
Alan Franco,832171,Ecuador,defender,22.826666666666668,10.0,0.0,33
Franck Kessié,579747,Côte d'Ivoire,midfielder,21.116,7.0,0.0,28
Seko Fofana,602211,Côte d'Ivoire,midfielder,21.168666666666667,5.0,0.0,26
Ghislain Konan,740997,Côte d'Ivoire,defender,15.51,10.0,0.0,26
Piero Hincapié,1137667,Ecuador,defender,19.93,5.0,0.0,25
John Yeboah,845368,Ecuador,midfielder,16.446666666666665,5.0,0.0,21
Elye Wahi,1213430,Côte d'Ivoire,forward,14.966666666666667,0.0,0.0,15
Christ Inao Oulaï,1666494,Côte d'Ivoire,midfielder,9.865333333333334,4.5,0.0,14
Enner Valencia,195927,Ecuador,forward,13.95,0.0,0.0,14
Nicolas Pépé,575735,Côte d'Ivoire,midfielder,8.448666666666668,5.0,0.0,13
Alan Minda,1274400,Ecuador,forward,12.3,0.0,0.0,12
Ibrahim Sangaré,795371,Côte d'Ivoire,midfielder,7.519333333333334,4.5,0.0,12
Ange-Yoan Bonny,1199383,Côte d'Ivoire,forward,10.649999999999999,0.5,0.0,11
Nilson Angulo,1287010,Ecuador,forward,12.141666666666666,-2.5,0.0,10
Odilon Kossounou,1014496,Côte d'Ivoire,defender,4.3533333333333335,5.0,0.0,9
Bazoumana Touré,1624586,Côte d'Ivoire,forward,5.433333333333334,0.0,0.0,5
Jackson Porozo,1032039,Ecuador,defender,5.253333333333334,0.0,0.0,5
Kevin Rodríguez,1421270,Ecuador,forward,5.916666666666667,-2.5,0.0,3
Ángelo Preciado,848593,Ecuador,midfielder,2.6993333333333336,0.5,0.0,3
Evan N'Dicka,787242,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Christopher Opéri,802462,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Félix Torres,825641,Ecuador,defender,0.0,0.0,0.0,0
Yaimar Medina,1391753,Ecuador,defender,0.0,0.0,0.0,0
Ousmane Diomande,1425182,Côte d'Ivoire,defender,0.0,0.0,0.0,0
Jean Michaël Seri,470539,Côte d'Ivoire,midfielder,0.0,0.0,0.0,0
Pervis Estupinán,688278,Ecuador,midfielder,0.0,0.0,0.0,0
Jordy Alcívar,950396,Ecuador,midfielder,0.0,0.0,0.0,0
Anthony Valencia,1353364,Ecuador,midfielder,0.0,0.0,0.0,0
Denil Castillo,1477417,Ecuador,midfielder,0.0,0.0,0.0,0
Jordy Caicedo,766159,Ecuador,forward,0.0,0.0,0.0,0
Evann Guessand,1087966,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Parfait Guiagon,1186770,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Simon Adingra,1227012,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Oumar Diakité,1328540,Côte d'Ivoire,forward,0.0,0.0,0.0,0
Jeremy Arévalo,1418122,Ecuador,forward,0.0,0.0,0.0,0
Kendry Páez,1443464,Ecuador,forward,0.0,0.0,0.0,0
Ecuador Keepers,6707,Ecuador,goalkeeper,13.940000000000001,12.0,0.0,26
Côte d'Ivoire Keepers,6709,Côte d'Ivoire,goalkeeper,11.82,18.0,0.0,30
