player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Josip Stanisic,950824,Croatia,defender,38.089999999999996,10.0,0.0,48
Josip Sutalo,1186228,Croatia,defender,32.3,10.0,0.0,42
Marin Pongracic,831474,Croatia,defender,32.150000000000006,10.0,0.0,42
José Córdoba,1223132,Panama,defender,33.58,5.0,0.0,39
Ivan Perisic,163670,Croatia,forward,34.30833333333334,3.0,0.0,37
Andrés Andrade,688449,Panama,defender,31.880000000000006,5.0,0.0,37
Amir Murillo,643635,Panama,defender,29.839999999999996,5.0,0.0,35
Yoel Bárcenas,526710,Panama,midfielder,30.876666666666665,3.0,0.0,34
Martin Baturina,1215064,Croatia,midfielder,26.644,7.0,0.0,34
Ante Budimir,251269,Croatia,forward,32.775,0.5,0.0,33
Luka Modric,31097,Croatia,midfielder,25.125999999999998,7.0,0.0,32
Marco Pasalic,1199714,Croatia,midfielder,24.741999999999994,7.0,0.0,32
Jiovany Ramos,688448,Panama,defender,19.106666666666666,5.0,0.0,24
Mateo Kovacic,239219,Croatia,midfielder,16.77,7.0,0.0,24
Josko Gvardiol,1070712,Croatia,defender,12.709999999999999,10.0,0.0,23
César Blackman,888966,Panama,defender,15.676666666666668,5.0,0.0,21
José Fajardo,940334,Panama,forward,16.525,0.0,0.0,17
Petar Musa,709796,Croatia,forward,14.141666666666666,0.0,0.0,14
Carlos Harvey,1017520,Panama,defender,8.71,5.0,0.0,14
Andrej Kramaric,173461,Croatia,midfielder,9.054000000000002,4.5,0.0,14
Cristian Martínez,727101,Panama,midfielder,9.298,3.0,0.0,12
José Luis Rodriguez,940333,Panama,forward,11.308333333333334,0.0,0.0,11
Azarías Londoño,1404414,Panama,forward,10.541666666666666,-2.5,0.0,8
Cecilio Waterman,312159,Panama,forward,10.350000000000001,-2.5,0.0,8
Luka Sucic,959597,Croatia,midfielder,4.288,2.5,0.0,7
Mario Pasalic,446266,Croatia,midfielder,4.218,2.5,0.0,7
Petar Sucic,1382000,Croatia,midfielder,2.374,2.5,0.0,5
Roderick Miller,501847,Panama,defender,0.0,0.0,0.0,0
Duje Caleta-Car,557799,Croatia,defender,0.0,0.0,0.0,0
Martin Erlic,616170,Croatia,defender,0.0,0.0,0.0,0
Fidel Escobar,643638,Panama,defender,0.0,0.0,0.0,0
Jorge Gutiérrez,924235,Panama,defender,0.0,0.0,0.0,0
Luka Vuskovic,1413996,Croatia,defender,0.0,0.0,0.0,0
Edgardo Fariña,1454648,Panama,defender,0.0,0.0,0.0,0
Aníbal Godoy,308131,Panama,midfielder,0.0,0.0,0.0,0
Éric Davis,503710,Panama,midfielder,0.0,0.0,0.0,0
Nikola Vlasic,557677,Croatia,midfielder,0.0,0.0,0.0,0
Nikola Moro,641595,Croatia,midfielder,0.0,0.0,0.0,0
Kristijan Jakic,643448,Croatia,midfielder,0.0,0.0,0.0,0
Adalberto Carrasquilla,643682,Panama,midfielder,0.0,0.0,0.0,0
César Yanis,1137803,Panama,midfielder,0.0,0.0,0.0,0
Toni Fruk,1300358,Croatia,midfielder,0.0,0.0,0.0,0
Alberto Quintero,183088,Panama,forward,0.0,0.0,0.0,0
Ismael Díaz,574077,Panama,forward,0.0,0.0,0.0,0
Tomás Rodríguez,1054138,Panama,forward,0.0,0.0,0.0,0
Igor Matanovic,1210893,Croatia,forward,0.0,0.0,0.0,0
Panama Keepers,5922,Panama,goalkeeper,8.399999999999999,12.0,0.0,20
Croatia Keepers,10155,Croatia,goalkeeper,10.3,18.0,0.0,28
