player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Jude Bellingham,1077894,England,midfielder,56.05466666666667,9.0,0.0,65
Nico O'Reilly,1300526,England,defender,35.18000000000001,10.0,0.0,45
Ezri Konsa,710159,England,defender,32.79,10.0,0.0,43
Elliot Anderson,1089691,England,midfielder,30.682000000000002,9.0,0.0,40
Marc Guéhi,844425,England,defender,28.12,10.0,0.0,38
Fidel Escobar,643638,Panama,defender,34.0,0.0,0.0,34
Harry Kane,194165,England,forward,26.025000000000002,6.0,0.0,32
Jarell Quansah,1107620,England,defender,20.840000000000003,10.0,0.0,31
Bukayo Saka,961995,England,forward,26.64166666666667,3.0,0.0,30
Marcus Rashford,696365,England,forward,21.216666666666665,6.0,0.0,27
Cristian Martínez,727101,Panama,midfielder,25.78,1.0,0.0,27
José Córdoba,1223132,Panama,defender,26.63,0.0,0.0,27
Morgan Rogers,883080,England,midfielder,17.59,9.0,0.0,27
Andrés Andrade,688449,Panama,defender,25.650000000000002,0.0,0.0,26
Carlos Harvey,1017520,Panama,midfielder,22.117333333333335,1.0,0.0,23
Noni Madueke,1084981,England,forward,20.35833333333333,0.5,0.0,21
Amir Murillo,643635,Panama,defender,19.28,0.0,0.0,19
Jorge Gutiérrez,924235,Panama,defender,17.863333333333333,0.0,0.0,18
José Luis Rodriguez,940333,Panama,forward,17.53333333333333,0.0,0.0,18
Djed Spence,894803,England,defender,9.910000000000002,5.0,0.0,15
Tomás Rodríguez,1054138,Panama,forward,13.116666666666667,0.0,0.0,13
Jordan Henderson,156008,England,midfielder,8.838000000000001,2.5,0.0,11
Yoel Bárcenas,526710,Panama,midfielder,7.808666666666667,1.0,0.0,9
Éric Davis,503710,Panama,midfielder,5.668666666666667,2.5,0.0,8
Eberechi Eze,818975,England,midfielder,2.8013333333333335,2.5,0.0,5
Azarías Londoño,1404414,Panama,forward,7.566666666666666,-2.5,0.0,5
José Fajardo,940334,Panama,forward,5.949999999999999,-2.5,0.0,3
Ollie Watkins,540088,England,forward,5.366666666666667,-2.5,0.0,3
Alberto Quintero,183088,Panama,forward,5.066666666666666,-2.5,0.0,3
Ismael Díaz,574077,Panama,forward,4.116666666666667,-2.5,0.0,2
Daniel Burn,188058,England,defender,0.0,0.0,0.0,0
John Stones,263653,England,defender,0.0,0.0,0.0,0
Roderick Miller,501847,Panama,defender,0.0,0.0,0.0,0
Jiovany Ramos,688448,Panama,defender,0.0,0.0,0.0,0
Trevoh Chalobah,793907,England,defender,0.0,0.0,0.0,0
César Blackman,888966,Panama,defender,0.0,0.0,0.0,0
Edgardo Fariña,1454648,Panama,defender,0.0,0.0,0.0,0
Aníbal Godoy,308131,Panama,midfielder,0.0,0.0,0.0,0
Adalberto Carrasquilla,643682,Panama,midfielder,0.0,0.0,0.0,0
Declan Rice,654096,England,midfielder,0.0,0.0,0.0,0
César Yanis,1137803,Panama,midfielder,0.0,0.0,0.0,0
Kobbie Mainoo,1292810,England,midfielder,0.0,0.0,0.0,0
Cecilio Waterman,312159,Panama,forward,0.0,0.0,0.0,0
Ivan Toney,408987,England,forward,0.0,0.0,0.0,0
Anthony Gordon,906937,England,forward,0.0,0.0,0.0,0
Panama Keepers,5922,Panama,goalkeeper,19.18,6.0,0.0,25
England Keepers,8491,England,goalkeeper,18.58,18.0,0.0,37
