player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Rúben Dias,614006,Portugal,defender,42.81,5.0,0.0,48
Nuno Mendes,1158945,Portugal,defender,39.71,5.0,0.0,45
Nikola Vlasic,557677,Croatia,midfielder,35.17066666666666,5.0,0.0,40
Rafael Leão,848844,Portugal,midfielder,32.588,7.0,0.0,40
Renato Veiga,1343750,Portugal,defender,33.89,5.0,0.0,39
João Neves,1342757,Portugal,midfielder,30.498,7.0,0.0,37
Ivan Perisic,163670,Croatia,defender,35.86,0.0,0.0,36
João Cancelo,361757,Portugal,defender,30.190000000000005,5.0,0.0,35
Gonçalo Ramos,940087,Portugal,forward,26.791666666666664,3.5,0.0,30
Cristiano Ronaldo,30893,Portugal,forward,26.375,3.0,0.0,29
Luka Modric,31097,Croatia,midfielder,25.796,3.0,0.0,29
Vitinha,1061249,Portugal,midfielder,25.446666666666665,3.0,0.0,28
Mateo Kovacic,239219,Croatia,midfielder,24.132666666666665,3.0,0.0,27
Petar Sucic,1382000,Croatia,midfielder,23.794,3.0,0.0,27
Josip Stanisic,950824,Croatia,defender,26.74,0.0,0.0,27
Josip Sutalo,1186228,Croatia,defender,23.24,0.0,0.0,23
Martin Baturina,1215064,Croatia,forward,16.166666666666664,3.0,0.0,19
Igor Matanovic,1210893,Croatia,forward,18.15,0.5,0.0,19
Marin Pongracic,831474,Croatia,defender,17.580000000000002,0.0,0.0,18
Bruno Fernandes,422685,Portugal,midfielder,11.382,3.0,0.0,14
Francisco Conceição,1185336,Portugal,midfielder,6.962000000000001,6.5,0.0,13
Nélson Semedo,470834,Portugal,defender,8.42,5.0,0.0,13
Pedro Neto,843040,Portugal,forward,12.783333333333331,0.0,0.0,13
Mario Pasalic,446266,Croatia,midfielder,13.981333333333332,-1.5,0.0,12
Rúben Neves,534684,Portugal,midfielder,5.738,4.5,0.0,10
Bernardo Silva,488139,Portugal,midfielder,3.4353333333333333,6.5,0.0,10
Ante Budimir,251269,Croatia,forward,6.95,0.0,0.0,7
Duje Caleta-Car,557799,Croatia,defender,0.0,0.0,0.0,0
Martin Erlic,616170,Croatia,defender,0.0,0.0,0.0,0
Diogo Dalot,751550,Portugal,defender,0.0,0.0,0.0,0
Matheus Nunes,955529,Portugal,defender,0.0,0.0,0.0,0
Josko Gvardiol,1070712,Croatia,defender,0.0,0.0,0.0,0
Gonçalo Inácio,1165710,Portugal,defender,0.0,0.0,0.0,0
Tomás Araújo,1187283,Portugal,defender,0.0,0.0,0.0,0
Luka Vuskovic,1413996,Croatia,defender,0.0,0.0,0.0,0
Andrej Kramaric,173461,Croatia,midfielder,0.0,0.0,0.0,0
Nikola Moro,641595,Croatia,midfielder,0.0,0.0,0.0,0
Kristijan Jakic,643448,Croatia,midfielder,0.0,0.0,0.0,0
Trincão,732282,Portugal,midfielder,0.0,0.0,0.0,0
Luka Sucic,959597,Croatia,midfielder,0.0,0.0,0.0,0
Samú,1130583,Portugal,midfielder,0.0,0.0,0.0,0
Marco Pasalic,1199714,Croatia,midfielder,0.0,0.0,0.0,0
Toni Fruk,1300358,Croatia,midfielder,0.0,0.0,0.0,0
Gonçalo Guedes,536455,Portugal,forward,0.0,0.0,0.0,0
Petar Musa,709796,Croatia,forward,0.0,0.0,0.0,0
Joao Félix,794427,Portugal,forward,0.0,0.0,0.0,0
Portugal Keepers,8361,Portugal,goalkeeper,23.3,12.0,0.0,35
Croatia Keepers,10155,Croatia,goalkeeper,16.96,6.0,0.0,23
