player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Vinícius Júnior,846033,Brazil,forward,65.36666666666667,9.0,0.0,74
Rayan,1478295,Brazil,forward,51.10000000000001,9.0,0.0,60
Matheus Cunha,863098,Brazil,forward,48.43333333333333,9.0,0.0,57
Gabriel,795179,Brazil,defender,41.65,10.0,0.0,52
Bruno Guimarães,850354,Brazil,midfielder,40.331999999999994,11.0,0.0,51
Casemiro,208494,Brazil,midfielder,32.12266666666667,11.0,0.0,43
Lucas Paquetá,766435,Brazil,midfielder,28.861999999999995,11.0,0.0,40
Danilo,208077,Brazil,defender,28.960000000000004,10.0,0.0,39
Lewis Ferguson,888921,Scotland,midfielder,38.598,-1.0,0.0,38
Marquinhos,267365,Brazil,defender,20.060000000000002,10.0,0.0,30
Douglas Santos,346000,Brazil,defender,19.793333333333337,10.0,0.0,30
Lawrence Shankland,317544,Scotland,forward,24.258333333333333,0.0,0.0,24
Fabinho,359188,Brazil,midfielder,20.63133333333333,2.5,0.0,23
Scott McTominay,843099,Scotland,midfielder,19.628,-1.0,0.0,19
John McGinn,356406,Scotland,forward,17.43333333333333,0.0,0.0,17
Kieran Tierney,582499,Scotland,defender,17.25,0.0,0.0,17
Neymar,19533,Brazil,forward,18.691666666666663,-2.5,0.0,16
Nathan Patterson,1112684,Scotland,defender,19.663333333333334,-5.0,0.0,15
Kenny McLean,190851,Scotland,midfielder,13.518,-1.0,0.0,13
Andrew Robertson,357880,Scotland,defender,11.720000000000002,0.0,0.0,12
Jack Hendry,640642,Scotland,defender,15.97,-5.0,0.0,11
Endrick,1406729,Brazil,forward,12.700000000000001,-2.5,0.0,10
Scott McKenna,551805,Scotland,defender,14.83,-5.0,0.0,10
Anthony Ralston,668422,Scotland,defender,4.6866666666666665,5.0,0.0,10
Alex Sandro,157865,Brazil,defender,4.586666666666667,5.0,0.0,10
Ryan Christie,439369,Scotland,midfielder,6.428666666666666,2.5,0.0,9
Ben Gannon-Doak,1324871,Scotland,forward,8.8,0.0,0.0,9
Gabriel Martinelli,1021586,Brazil,forward,7.466666666666666,-2.5,0.0,5
Grant Hanley,202180,Scotland,defender,0.0,0.0,0.0,0
John Souttar,419207,Scotland,defender,0.0,0.0,0.0,0
Léo Pereira,523801,Brazil,defender,0.0,0.0,0.0,0
Dominic Hyam,694558,Scotland,defender,0.0,0.0,0.0,0
Gleison Bremer,857269,Brazil,defender,0.0,0.0,0.0,0
Roger Ibañez,862538,Brazil,defender,0.0,0.0,0.0,0
Aaron Hickey,1002039,Scotland,defender,0.0,0.0,0.0,0
Éderson,957203,Brazil,midfielder,0.0,0.0,0.0,0
Danilo,1181700,Brazil,midfielder,0.0,0.0,0.0,0
Findlay Curtis,1558461,Scotland,midfielder,0.0,0.0,0.0,0
Tyler Fletcher,1676985,Scotland,midfielder,0.0,0.0,0.0,0
Ché Adams,599353,Scotland,forward,0.0,0.0,0.0,0
George Hirst,750033,Scotland,forward,0.0,0.0,0.0,0
Lyndon Dykes,768635,Scotland,forward,0.0,0.0,0.0,0
Ross Stewart,776159,Scotland,forward,0.0,0.0,0.0,0
Luiz Henrique,1176214,Brazil,forward,0.0,0.0,0.0,0
Igor Thiago,1302005,Brazil,forward,0.0,0.0,0.0,0
Brazil Keepers,8256,Brazil,goalkeeper,27.46,18.0,0.0,45
Scotland Keepers,8498,Scotland,goalkeeper,25.98,0.0,0.0,26
