player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Stephen Eustaquio,816223,Canada,midfielder,54.422000000000004,7.0,0.0,61
Ime Okon,1600334,South Africa,defender,46.199999999999996,5.0,0.0,51
Sphephelo Sithole,1107735,South Africa,midfielder,37.678,3.0,0.0,41
Khuliso Mudau,940010,South Africa,defender,35.650000000000006,5.0,0.0,41
Derek Cornelius,847629,Canada,defender,27.450000000000003,10.0,0.0,37
Mbekezeli Mbokazi,1719066,South Africa,defender,28.330000000000005,5.0,0.0,33
Aubrey Maphosa Modiba,616179,South Africa,defender,27.92,5.0,0.0,33
Luc De Fougerolles,1399943,Canada,defender,27.893333333333338,5.0,0.0,33
Richie Laryea,729506,Canada,defender,20.83,10.0,0.0,31
Nathan Saliba,1216798,Canada,midfielder,23.388666666666662,5.0,0.0,28
Thapelo Maseko,1394951,South Africa,forward,28.01666666666667,0.0,0.0,28
Alistair Johnston,1055426,Canada,defender,17.22,10.0,0.0,27
Teboho Mokoena,848361,South Africa,midfielder,23.876,3.0,0.0,27
Moïse Bombito,1440009,Canada,defender,16.026666666666664,10.0,0.0,26
Jonathan David,939569,Canada,forward,16.833333333333336,3.0,0.0,20
Oswin Appollis,1054166,South Africa,forward,17.883333333333333,0.0,0.0,18
Evidence Makgopa,1137059,South Africa,forward,17.216666666666665,0.0,0.0,17
Tani Oluwaseyi,1338740,Canada,forward,17.025,0.0,0.0,17
Tajon Buchanan,1026135,Canada,midfielder,10.31,5.0,0.0,15
Relebohile Mofokeng,1471333,South Africa,midfielder,9.815999999999999,5.0,0.0,15
Niko Sigur,1494508,Canada,defender,9.123333333333333,5.0,0.0,14
Liam Millar,932308,Canada,forward,13.299999999999999,0.0,0.0,13
Promise David,1252132,Canada,forward,10.816666666666666,0.5,0.0,11
Jacob Shaffelburg,1023943,Canada,forward,10.683333333333332,0.5,0.0,11
Alphonso Davies,751202,Canada,defender,5.62,5.0,0.0,11
Thalente Mbatha,1124424,South Africa,midfielder,9.936,0.5,0.0,10
Tshepang Moremi,1289611,South Africa,forward,5.466666666666667,-2.5,0.0,3
Iqraam Rayners,1076668,South Africa,forward,3.166666666666667,-2.5,0.0,1
Nkosinathi Sibisi,716819,South Africa,defender,0.0,0.0,0.0,0
Alfie Jones,789598,Canada,defender,0.0,0.0,0.0,0
Joel Waterman,1100258,Canada,defender,0.0,0.0,0.0,0
Bradley Cross,1202481,South Africa,defender,0.0,0.0,0.0,0
Kamogelo Sebelebele,1451566,South Africa,defender,0.0,0.0,0.0,0
Olwethu Makhanya,1469826,South Africa,defender,0.0,0.0,0.0,0
Thabang Matuludi,1579341,South Africa,defender,0.0,0.0,0.0,0
Samukelo Kabini,1680659,South Africa,defender,0.0,0.0,0.0,0
Khulumani Ndamane,1680696,South Africa,defender,0.0,0.0,0.0,0
Jonathan Osorio,432605,Canada,midfielder,0.0,0.0,0.0,0
Mathieu Choinière,943428,Canada,midfielder,0.0,0.0,0.0,0
Jayden Adams,1178629,South Africa,midfielder,0.0,0.0,0.0,0
Cyle Larin,544312,Canada,forward,0.0,0.0,0.0,0
Lyle Foster,881500,South Africa,forward,0.0,0.0,0.0,0
Jayden Nelson,1082106,Canada,forward,0.0,0.0,0.0,0
Ali Ahmed,1359536,Canada,forward,0.0,0.0,0.0,0
Canada Keepers,5810,Canada,goalkeeper,10.66,18.0,0.0,29
South Africa Keepers,6316,South Africa,goalkeeper,32.72,12.0,0.0,45
