player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Mbekezeli Mbokazi,1719066,South Africa,defender,40.14000000000001,10.0,0.0,50
Khuliso Mudau,940010,South Africa,defender,35.56,10.0,0.0,46
Gi-Hyuk Lee,1232264,Korea Republic,defender,37.93000000000001,5.0,0.0,43
Sphephelo Sithole,1107735,South Africa,midfielder,33.581999999999994,7.0,0.0,41
Han-Beom Lee,1232253,Korea Republic,defender,34.19,5.0,0.0,39
Evidence Makgopa,1137059,South Africa,forward,32.74166666666667,3.0,0.0,36
Ime Okon,1600334,South Africa,defender,23.0,10.0,0.0,33
Aubrey Maphosa Modiba,616179,South Africa,defender,22.72,10.0,0.0,33
Thalente Mbatha,1124424,South Africa,midfielder,24.360000000000003,7.0,0.0,31
Young-Woo Seol,1132818,Korea Republic,defender,24.15,5.0,0.0,29
Relebohile Mofokeng,1471333,South Africa,midfielder,20.702666666666666,7.0,0.0,28
In-Beom Hwang,623698,Korea Republic,midfielder,23.764000000000003,3.0,0.0,27
Thapelo Maseko,1394951,South Africa,midfielder,19.408,7.0,0.0,26
Min-Jae Kim,828159,Korea Republic,defender,21.17666666666667,5.0,0.0,26
Tae-Seok Lee,1107251,Korea Republic,midfielder,21.176,5.0,0.0,26
Tshepang Moremi,1289611,South Africa,forward,23.408333333333335,0.5,0.0,24
Kang-In Lee,940976,Korea Republic,midfielder,19.64,3.0,0.0,23
Jin-Seob Park,925647,Korea Republic,midfielder,18.223333333333333,2.5,0.0,21
Oswin Appollis,1054166,South Africa,forward,17.174999999999997,0.0,0.0,17
Jin-Gyu Kim,622980,Korea Republic,midfielder,16.298,0.5,0.0,17
Jens Castrop,1185902,Korea Republic,midfielder,15.722,0.5,0.0,16
Hee-Chan Hwang,620026,Korea Republic,forward,13.425,0.0,0.0,13
Hyun-Gyu Oh,1044299,Korea Republic,forward,13.416666666666666,0.0,0.0,13
Seung-Ho Paik,848102,Korea Republic,midfielder,8.03,5.0,0.0,13
Jayden Adams,1178629,South Africa,midfielder,8.795333333333334,2.5,0.0,11
Iqraam Rayners,1076668,South Africa,forward,11.816666666666666,-2.5,0.0,9
Heung-Min Son,212867,Korea Republic,forward,10.241666666666667,-2.5,0.0,8
Gue-Sung Cho,1026781,Korea Republic,forward,5.783333333333333,-2.5,0.0,3
Nkosinathi Sibisi,716819,South Africa,defender,0.0,0.0,0.0,0
Moon-Hwan Kim,828273,Korea Republic,defender,0.0,0.0,0.0,0
Tae-Hyeon Kim,1053477,Korea Republic,defender,0.0,0.0,0.0,0
Bradley Cross,1202481,South Africa,defender,0.0,0.0,0.0,0
Wi-Je Cho,1326507,Korea Republic,defender,0.0,0.0,0.0,0
Kamogelo Sebelebele,1451566,South Africa,defender,0.0,0.0,0.0,0
Olwethu Makhanya,1469826,South Africa,defender,0.0,0.0,0.0,0
Thabang Matuludi,1579341,South Africa,defender,0.0,0.0,0.0,0
Samukelo Kabini,1680659,South Africa,defender,0.0,0.0,0.0,0
Khulumani Ndamane,1680696,South Africa,defender,0.0,0.0,0.0,0
Jae-Sung Lee,523749,Korea Republic,midfielder,0.0,0.0,0.0,0
Dong-Gyeong Lee,954131,Korea Republic,midfielder,0.0,0.0,0.0,0
Jun-Ho Bae,1386482,Korea Republic,midfielder,0.0,0.0,0.0,0
Lyle Foster,881500,South Africa,forward,0.0,0.0,0.0,0
Ji-Sung Eom,1107283,Korea Republic,forward,0.0,0.0,0.0,0
Hyun-Jun Yang,1232560,Korea Republic,forward,0.0,0.0,0.0,0
South Africa Keepers,6316,South Africa,goalkeeper,12.420000000000002,18.0,0.0,30
Korea Republic Keepers,7804,Korea Republic,goalkeeper,19.560000000000002,12.0,0.0,32
