player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Pau Cubarsí,1532137,Spain,defender,40.01,10.0,0.0,50
Rodri,675088,Spain,midfielder,40.95399999999999,5.0,0.0,46
Lamine Yamal,1467236,Spain,midfielder,37.956,7.0,0.0,45
Nicolás Tagliafico,195750,Argentina,defender,38.2,5.0,0.0,43
Pedro Porro,941573,Spain,defender,31.020000000000003,10.0,0.0,41
Pedri,1083323,Spain,midfielder,32.02133333333333,7.0,0.0,39
Aymeric Laporte,411617,Spain,defender,28.51,10.0,0.0,39
Nico Williams,1202110,Spain,forward,35.175,3.0,0.0,38
Marc Cucurella,873289,Spain,defender,20.91,10.0,0.0,31
Ferran Torres,881771,Spain,forward,23.95,3.0,0.0,27
Dani Olmo,614834,Spain,midfielder,20.944,5.0,0.0,26
Nahuel Molina,726345,Argentina,defender,20.68666666666667,5.0,0.0,26
Fabián Ruiz,605654,Spain,midfielder,19.646666666666665,5.0,0.0,25
Gonzalo Montiel,687008,Argentina,defender,14.513333333333335,10.0,0.0,25
Lionel Messi,30981,Argentina,forward,23.875,0.0,0.0,24
Cristian Romero,789066,Argentina,defender,13.713333333333331,10.0,0.0,24
Leandro Paredes,237606,Argentina,midfielder,20.554,3.0,0.0,24
Alexis Mac Allister,831489,Argentina,midfielder,19.95,3.0,0.0,23
Facundo Medina,812652,Argentina,defender,17.076666666666668,5.0,0.0,22
Nicolás Otamendi,174321,Argentina,defender,16.043333333333333,5.0,0.0,21
Enzo Fernández,1137705,Argentina,midfielder,18.038,3.0,0.0,21
Mikel Merino,574645,Spain,midfielder,12.358,7.0,0.0,19
Martín Zubimendi,1031325,Spain,midfielder,13.848,4.5,0.0,18
Álex Baena,942372,Spain,midfielder,12.95,5.0,0.0,18
Lisandro Martínez,847983,Argentina,defender,12.946666666666667,5.0,0.0,18
Eric García,940573,Spain,defender,11.56,5.0,0.0,17
Mikel Oyarzabal,678234,Spain,forward,13.525,0.0,0.0,14
Giuliano Simeone,1226147,Argentina,midfielder,9.254666666666669,3.0,0.0,12
Nicolás González,841672,Argentina,midfielder,5.98,5.0,0.0,11
Rodrigo De Paul,324578,Argentina,midfielder,5.489333333333333,5.0,0.0,10
Julián Álvarez,974753,Argentina,forward,10.4,0.0,0.0,10
Marcos Senesi,785411,Argentina,defender,3.01,0.0,0.0,3
Marcos Llorente,602563,Spain,defender,0.0,0.0,0.0,0
Marc Pubill,1323897,Spain,defender,0.0,0.0,0.0,0
Alejandro Grimaldo,288406,Spain,midfielder,0.0,0.0,0.0,0
Giovani Lo Celso,604126,Argentina,midfielder,0.0,0.0,0.0,0
Exequiel Palacios,693599,Argentina,midfielder,0.0,0.0,0.0,0
Thiago Almada,955271,Argentina,midfielder,0.0,0.0,0.0,0
Yéremi Pino,1047676,Spain,midfielder,0.0,0.0,0.0,0
Valentín Barco,1272440,Argentina,midfielder,0.0,0.0,0.0,0
Gavi,1279040,Spain,midfielder,0.0,0.0,0.0,0
Nico Paz,1347574,Argentina,midfielder,0.0,0.0,0.0,0
Borja Iglesias,609505,Spain,forward,0.0,0.0,0.0,0
Lautaro Martínez,690230,Argentina,forward,0.0,0.0,0.0,0
José López,1216079,Argentina,forward,0.0,0.0,0.0,0
Víctor Muñoz,1553105,Spain,forward,0.0,0.0,0.0,0
Argentina Keepers,6706,Argentina,goalkeeper,45.56,12.0,0.0,58
Spain Keepers,6720,Spain,goalkeeper,13.82,18.0,0.0,32
