player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Mikel Oyarzabal,678234,Spain,forward,55.36666666666667,9.0,0.0,64
Pedro Porro,941573,Spain,defender,47.01,10.0,0.0,57
Rodri,675088,Spain,midfielder,41.742,13.0,0.0,55
Aymeric Laporte,411617,Spain,defender,43.03,10.0,0.0,53
Lamine Yamal,1467236,Spain,forward,42.458333333333336,9.0,0.0,51
Pau Cubarsí,1532137,Spain,defender,34.260000000000005,10.0,0.0,44
Pedri,1083323,Spain,midfielder,25.41533333333333,13.0,0.0,38
Dani Olmo,614834,Spain,midfielder,24.541333333333334,13.0,0.0,38
Álex Baena,942372,Spain,forward,21.74166666666666,12.0,0.0,34
Marc Cucurella,873289,Spain,defender,22.34,10.0,0.0,32
Salem Al-Dawsari,307753,Saudi Arabia,forward,24.25,0.0,0.0,24
Ali Lajami,640284,Saudi Arabia,defender,31.810000000000002,-10.0,0.0,22
Saud Abdulhamid,1002617,Saudi Arabia,midfielder,22.573999999999998,-3.0,0.0,20
Nasser Al-Dawsari,848612,Saudi Arabia,midfielder,21.634666666666668,-3.0,0.0,19
Mohammed Abu Al Shamat,1543647,Saudi Arabia,midfielder,14.070000000000002,2.5,0.0,17
Abdullah Alkhaibari,823457,Saudi Arabia,midfielder,15.772000000000002,-1.0,0.0,15
Fabián Ruiz,605654,Spain,midfielder,11.124666666666666,2.5,0.0,14
Firas Al-Buraikan,844226,Saudi Arabia,forward,13.375,0.0,0.0,13
Abdulelah Al Amri,848600,Saudi Arabia,defender,22.449999999999996,-10.0,0.0,12
Alaa Hajji,697618,Saudi Arabia,midfielder,9.643999999999998,2.5,0.0,12
Ferran Torres,881771,Spain,forward,11.525,0.5,0.0,12
Abdullah Al-Hamdan,909198,Saudi Arabia,forward,14.45,-2.5,0.0,12
Mikel Merino,574645,Spain,midfielder,6.038666666666666,2.5,0.0,9
Mohamed Kanno,866373,Saudi Arabia,midfielder,7.798,0.5,0.0,8
Musab Al-Juwayr,1235341,Saudi Arabia,midfielder,8.998000000000001,-1.0,0.0,8
Yéremi Pino,1047676,Spain,midfielder,3.178,4.5,0.0,8
Hassan Al Tambakti,848607,Saudi Arabia,defender,17.66,-10.0,0.0,8
Moteb Al-Harbi,1138003,Saudi Arabia,defender,16.19,-10.0,0.0,6
Nico Williams,1202110,Spain,forward,4.708333333333333,-2.5,0.0,2
Hasan Kadesh,431215,Saudi Arabia,defender,0.0,0.0,0.0,0
Marcos Llorente,602563,Spain,defender,0.0,0.0,0.0,0
Ali Majrashi,910986,Saudi Arabia,defender,0.0,0.0,0.0,0
Eric García,940573,Spain,defender,0.0,0.0,0.0,0
Ayman Yahya,1095207,Saudi Arabia,defender,0.0,0.0,0.0,0
Jehad Thakri,1232530,Saudi Arabia,defender,0.0,0.0,0.0,0
Marc Pubill,1323897,Spain,defender,0.0,0.0,0.0,0
Nawaf Al-Boushail,1401228,Saudi Arabia,defender,0.0,0.0,0.0,0
Alejandro Grimaldo,288406,Spain,midfielder,0.0,0.0,0.0,0
Martín Zubimendi,1031325,Spain,midfielder,0.0,0.0,0.0,0
Ziyad Aljohani,1174962,Saudi Arabia,midfielder,0.0,0.0,0.0,0
Gavi,1279040,Spain,midfielder,0.0,0.0,0.0,0
Saleh Al-Shehri,384407,Saudi Arabia,forward,0.0,0.0,0.0,0
Borja Iglesias,609505,Spain,forward,0.0,0.0,0.0,0
Sultan Mandash,619824,Saudi Arabia,forward,0.0,0.0,0.0,0
Khalid Al Ghannam,1024928,Saudi Arabia,forward,0.0,0.0,0.0,0
Víctor Muñoz,1553105,Spain,forward,0.0,0.0,0.0,0
Spain Keepers,6720,Spain,goalkeeper,14.32,18.0,0.0,32
Saudi Arabia Keepers,7795,Saudi Arabia,goalkeeper,23.24,-6.0,0.0,17
