player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Manuel Akanji,521318,Switzerland,defender,41.72,10.0,0.0,52
Dan Ndoye,1022649,Switzerland,midfielder,36.438,9.0,0.0,45
Denis Zakaria,598355,Switzerland,defender,35.09,10.0,0.0,45
Rayan Aït-Nouri,933845,Algeria,defender,42.09,0.0,0.0,42
Ricardo Rodríguez,115591,Switzerland,defender,28.81,10.0,0.0,39
Nico Elvedi,517346,Switzerland,defender,27.480000000000004,10.0,0.0,37
Breel Embolo,527103,Switzerland,forward,31.30833333333333,6.0,0.0,37
Rubén Vargas,860752,Switzerland,forward,30.566666666666663,6.0,0.0,37
Remo Freuler,201704,Switzerland,midfielder,23.686,9.0,0.0,33
Granit Xhaka,207236,Switzerland,midfielder,23.404000000000003,9.0,0.0,32
Johan Manzambi,1520063,Switzerland,midfielder,20.206666666666667,9.0,0.0,29
Ramy Bensebaini,559065,Algeria,defender,26.81,0.0,0.0,27
Aïssa Mandi,210683,Algeria,defender,26.72,0.0,0.0,27
Nabil Bentaleb,500520,Algeria,midfielder,24.90266666666667,1.0,0.0,26
Houssem Aouar,776299,Algeria,forward,24.691666666666663,0.0,0.0,25
Rafik Belghali,1231029,Algeria,defender,23.803333333333335,0.0,0.0,24
Jaouen Hadjam,1178324,Algeria,defender,17.586666666666666,5.0,0.0,23
Fabian Rieder,1161211,Switzerland,midfielder,13.575333333333331,2.5,0.0,16
Farès Chaïbi,1345875,Algeria,midfielder,15.066,1.0,0.0,16
Ibrahim Maza,1457626,Algeria,midfielder,14.152,1.0,0.0,15
Ramiz Zerrouki,1074967,Algeria,midfielder,12.241333333333332,1.0,0.0,13
Riyad Mahrez,278343,Algeria,forward,12.691666666666666,0.0,0.0,13
Hicham Boudaoui,1033099,Algeria,midfielder,8.217333333333332,2.5,0.0,11
Silvan Widmer,275034,Switzerland,midfielder,7.89,2.5,0.0,10
Noah Okafor,915797,Switzerland,forward,12.775,-2.5,0.0,10
Anis Hadj Moussa,1576876,Algeria,forward,9.2,-2.5,0.0,7
Adil Boulbina,1298669,Algeria,forward,8.183333333333334,-2.5,0.0,6
Michel Aebischer,792756,Switzerland,midfielder,2.634,2.5,0.0,5
Zeki Amdouni,1067168,Switzerland,forward,5.45,-2.5,0.0,3
Amine Gouiri,844437,Algeria,forward,5.266666666666667,-2.5,0.0,3
Eray Cömert,705484,Switzerland,defender,0.0,0.0,0.0,0
Samir Chergui,1039219,Algeria,defender,0.0,0.0,0.0,0
Zineddine Belaïd,1118823,Algeria,defender,0.0,0.0,0.0,0
Mohamed Tougai,1131925,Algeria,defender,0.0,0.0,0.0,0
Aurèle Amenda,1257648,Switzerland,defender,0.0,0.0,0.0,0
Achref Abada,1362385,Algeria,defender,0.0,0.0,0.0,0
Djibril Sow,707970,Switzerland,midfielder,0.0,0.0,0.0,0
Miro Muheim,759817,Switzerland,midfielder,0.0,0.0,0.0,0
Ardon Jashari,1163219,Switzerland,midfielder,0.0,0.0,0.0,0
Yacine Titraoui,1288907,Algeria,midfielder,0.0,0.0,0.0,0
Christian Fassnacht,618774,Switzerland,forward,0.0,0.0,0.0,0
Cedric Itten,726956,Switzerland,forward,0.0,0.0,0.0,0
Farès Ghedjemis,1523327,Algeria,forward,0.0,0.0,0.0,0
Switzerland Keepers,6717,Switzerland,goalkeeper,14.26,18.0,0.0,32
Algeria Keepers,6317,Algeria,goalkeeper,12.4,6.0,0.0,18
