player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Granit Xhaka,207236,Switzerland,midfielder,41.135999999999996,11.0,0.0,52
Rubén Vargas,860752,Switzerland,forward,37.84166666666667,9.5,0.0,47
Manuel Akanji,521318,Switzerland,defender,39.580000000000005,5.0,0.0,45
Remo Freuler,201704,Switzerland,midfielder,25.924,11.0,0.0,37
Johan Manzambi,1520063,Switzerland,midfielder,27.87933333333333,8.5,0.0,36
Michel Aebischer,792756,Switzerland,midfielder,26.638666666666666,5.0,0.0,32
Nico Elvedi,517346,Switzerland,defender,26.500000000000004,5.0,0.0,32
Tarik Muharemovic,1250485,Bosnia and Herzegovina,defender,37.78666666666667,-10.0,0.0,28
Breel Embolo,527103,Switzerland,forward,21.608333333333334,6.0,0.0,28
Dan Ndoye,1022649,Switzerland,forward,26.708333333333332,0.0,0.0,27
Silvan Widmer,275034,Switzerland,midfielder,16.892666666666667,9.0,0.0,26
Fabian Rieder,1161211,Switzerland,midfielder,19.74066666666667,5.0,0.0,25
Amar Memic,1300385,Bosnia and Herzegovina,midfielder,22.708000000000002,-1.0,0.0,22
Ricardo Rodríguez,115591,Switzerland,defender,16.130000000000003,5.0,0.0,21
Nikola Katic,725655,Bosnia and Herzegovina,defender,28.970000000000006,-10.0,0.0,19
Ivan Sunjic,541551,Bosnia and Herzegovina,midfielder,16.93866666666667,1.0,0.0,18
Djibril Sow,707970,Switzerland,midfielder,8.755333333333333,8.5,0.0,17
Edin Dzeko,15403,Bosnia and Herzegovina,forward,15.224999999999998,0.0,0.0,15
Benjamin Tahirovic,1415104,Bosnia and Herzegovina,midfielder,10.12,5.0,0.0,15
Sead Kolasinac,304345,Bosnia and Herzegovina,defender,24.98,-10.0,0.0,15
Kerim Alajbegovic,1684401,Bosnia and Herzegovina,midfielder,15.174666666666665,-1.0,0.0,14
Ermedin Demirovic,840241,Bosnia and Herzegovina,forward,11.633333333333333,0.0,0.0,12
Amar Dedic,958010,Bosnia and Herzegovina,defender,20.64,-10.0,0.0,11
Cedric Itten,726956,Switzerland,forward,5.075,3.5,0.0,9
Esmir Bajraktarevic,1346860,Bosnia and Herzegovina,forward,7.366666666666667,0.5,0.0,8
Jovo Lukic,1174844,Bosnia and Herzegovina,forward,6.741666666666667,0.5,0.0,7
Ivan Basic,1179875,Bosnia and Herzegovina,midfielder,10.538,-3.5,0.0,7
Amir Hadziahmetovic,639558,Bosnia and Herzegovina,midfielder,5.049333333333334,0.5,0.0,6
Luca Jaquez,1270002,Switzerland,defender,5.053333333333334,0.0,0.0,5
Stjepan Radeljic,653982,Bosnia and Herzegovina,defender,0.0,0.0,0.0,0
Eray Cömert,705484,Switzerland,defender,0.0,0.0,0.0,0
Dennis Hadzikadunic,797797,Bosnia and Herzegovina,defender,0.0,0.0,0.0,0
Nihad Mujakic,857436,Bosnia and Herzegovina,defender,0.0,0.0,0.0,0
Aurèle Amenda,1257648,Switzerland,defender,0.0,0.0,0.0,0
Arjan Malic,1515122,Bosnia and Herzegovina,defender,0.0,0.0,0.0,0
Denis Zakaria,598355,Switzerland,midfielder,0.0,0.0,0.0,0
Dzenis Burnic,660148,Bosnia and Herzegovina,midfielder,0.0,0.0,0.0,0
Armin Gigovic,1057426,Bosnia and Herzegovina,midfielder,0.0,0.0,0.0,0
Ardon Jashari,1163219,Switzerland,midfielder,0.0,0.0,0.0,0
Ermin Mahmic,1528815,Bosnia and Herzegovina,midfielder,0.0,0.0,0.0,0
Haris Tabakovic,388903,Bosnia and Herzegovina,forward,0.0,0.0,0.0,0
Christian Fassnacht,618774,Switzerland,forward,0.0,0.0,0.0,0
Noah Okafor,915797,Switzerland,forward,0.0,0.0,0.0,0
Zeki Amdouni,1067168,Switzerland,forward,0.0,0.0,0.0,0
Samed Bazdar,1284492,Bosnia and Herzegovina,forward,0.0,0.0,0.0,0
Switzerland Keepers,6717,Switzerland,goalkeeper,16.84,12.0,0.0,29
Bosnia and Herzegovina Keepers,10106,Bosnia and Herzegovina,goalkeeper,16.86,-6.0,0.0,11
