player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Nathan Saliba,1216798,Canada,midfielder,43.294,3.0,0.0,46
Breel Embolo,527103,Switzerland,forward,39.69166666666667,6.0,0.0,46
Nico Elvedi,517346,Switzerland,defender,39.32,5.0,0.0,44
Johan Manzambi,1520063,Switzerland,midfielder,35.92333333333334,7.0,0.0,43
Ricardo Rodríguez,115591,Switzerland,defender,36.550000000000004,5.0,0.0,42
Manuel Akanji,521318,Switzerland,defender,27.71,5.0,0.0,33
Alistair Johnston,1055426,Canada,defender,30.550000000000004,0.0,0.0,31
Remo Freuler,201704,Switzerland,midfielder,23.336,7.0,0.0,30
Luca Jaquez,1270002,Switzerland,defender,20.006666666666668,10.0,0.0,30
Promise David,1252132,Canada,forward,29.275000000000002,0.5,0.0,30
Granit Xhaka,207236,Switzerland,midfielder,19.38,7.0,0.0,26
Rubén Vargas,860752,Switzerland,midfielder,17.778666666666666,7.0,0.0,25
Luc De Fougerolles,1399943,Canada,defender,24.620000000000005,0.0,0.0,25
Mathieu Choinière,943428,Canada,midfielder,21.929333333333332,1.0,0.0,23
Djibril Sow,707970,Switzerland,midfielder,13.112666666666668,9.0,0.0,22
Jonathan David,939569,Canada,forward,18.43333333333333,3.0,0.0,21
Stephen Eustaquio,816223,Canada,midfielder,13.824666666666667,4.5,0.0,18
Liam Millar,932308,Canada,forward,16.916666666666668,0.5,0.0,17
Derek Cornelius,847629,Canada,defender,17.21,0.0,0.0,17
Tajon Buchanan,1026135,Canada,midfielder,13.696666666666667,1.0,0.0,15
Tani Oluwaseyi,1338740,Canada,forward,12.333333333333332,0.5,0.0,13
Jacob Shaffelburg,1023943,Canada,forward,15.299999999999999,-2.5,0.0,13
Ali Ahmed,1359536,Canada,forward,12.325,0.0,0.0,12
Cyle Larin,544312,Canada,forward,11.15,0.0,0.0,11
Michel Aebischer,792756,Switzerland,midfielder,9.493333333333334,0.5,0.0,10
Richie Laryea,729506,Canada,defender,8.306666666666667,0.0,0.0,8
Christian Fassnacht,618774,Switzerland,forward,8.799999999999999,-2.5,0.0,6
Dan Ndoye,1022649,Switzerland,forward,7.7749999999999995,-2.5,0.0,5
Cedric Itten,726956,Switzerland,forward,7.141666666666667,-2.5,0.0,5
Silvan Widmer,275034,Switzerland,midfielder,1.9373333333333327,0.5,0.0,2
Eray Cömert,705484,Switzerland,defender,0.0,0.0,0.0,0
Alphonso Davies,751202,Canada,defender,0.0,0.0,0.0,0
Joel Waterman,1100258,Canada,defender,0.0,0.0,0.0,0
Aurèle Amenda,1257648,Switzerland,defender,0.0,0.0,0.0,0
Moïse Bombito,1440009,Canada,defender,0.0,0.0,0.0,0
Niko Sigur,1494508,Canada,defender,0.0,0.0,0.0,0
Jonathan Osorio,432605,Canada,midfielder,0.0,0.0,0.0,0
Denis Zakaria,598355,Switzerland,midfielder,0.0,0.0,0.0,0
Fabian Rieder,1161211,Switzerland,midfielder,0.0,0.0,0.0,0
Ardon Jashari,1163219,Switzerland,midfielder,0.0,0.0,0.0,0
Noah Okafor,915797,Switzerland,forward,0.0,0.0,0.0,0
Zeki Amdouni,1067168,Switzerland,forward,0.0,0.0,0.0,0
Jayden Nelson,1082106,Canada,forward,0.0,0.0,0.0,0
Canada Keepers,5810,Canada,goalkeeper,14.240000000000002,6.0,0.0,20
Switzerland Keepers,6717,Switzerland,goalkeeper,36.400000000000006,12.0,0.0,48
