player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Davinson Sánchez,643533,Colombia,defender,41.30000000000001,10.0,-4.0,47
Nico Elvedi,517346,Switzerland,defender,40.77,10.0,0.0,51
Manuel Akanji,521318,Switzerland,defender,33.21,10.0,-4.0,39
Jhon Lucumí,860913,Colombia,defender,30.516666666666666,10.0,0.0,41
Granit Xhaka,207236,Switzerland,midfielder,34.656000000000006,5.0,4.0,44
Johan Mojica,474673,Colombia,defender,24.05,10.0,0.0,34
Remo Freuler,201704,Switzerland,midfielder,27.128,5.0,0.0,32
Jefferson Lerma,466672,Colombia,midfielder,25.609333333333336,5.0,0.0,31
Jhon Arias,1023030,Colombia,forward,30.525,0.0,0.0,31
Daniel Muñoz,859282,Colombia,midfielder,25.368,5.0,0.0,30
Gustavo Puerta,1331597,Colombia,midfielder,25.0,5.0,0.0,30
Luis Díaz,860914,Colombia,forward,29.025,0.0,4.0,33
Denis Zakaria,598355,Switzerland,defender,18.44,10.0,0.0,28
Dan Ndoye,1022649,Switzerland,forward,27.53333333333333,0.0,0.0,28
Jaminton Campaz,837870,Colombia,forward,24.066666666666663,0.0,4.0,28
Juan Quintero,207617,Colombia,midfielder,18.744,5.0,4.0,28
Miro Muheim,759817,Switzerland,midfielder,18.51533333333333,5.0,0.0,24
James Rodríguez,164684,Colombia,forward,19.625,0.0,0.0,20
Ricardo Rodríguez,115591,Switzerland,defender,8.156666666666666,10.0,0.0,18
Fabian Rieder,1161211,Switzerland,forward,18.116666666666667,0.0,0.0,18
Djibril Sow,707970,Switzerland,midfielder,13.078,5.0,0.0,18
Richard Ríos,1174630,Colombia,midfielder,13.996666666666666,2.5,0.0,16
Silvan Widmer,275034,Switzerland,midfielder,12.674,2.5,0.0,15
Breel Embolo,527103,Switzerland,forward,13.433333333333334,0.0,0.0,13
Ardon Jashari,1163219,Switzerland,midfielder,7.142,5.0,0.0,12
Rubén Vargas,860752,Switzerland,forward,14.4,-2.5,4.0,16
Juan Hernández,852071,Colombia,forward,11.241666666666667,-2.5,-4.0,5
Yerry Mina,496042,Colombia,defender,3.3633333333333333,5.0,0.0,8
Zeki Amdouni,1067168,Switzerland,forward,9.775,-2.5,4.0,11
Luis Suárez,792303,Colombia,forward,6.808333333333334,0.0,0.0,7
Cedric Itten,726956,Switzerland,forward,8.691666666666665,-2.5,4.0,10
Santiago Arias,207642,Colombia,defender,0.0,0.0,0.0,0
Eray Cömert,705484,Switzerland,defender,0.0,0.0,0.0,0
Willer Ditta,965205,Colombia,defender,0.0,0.0,0.0,0
Aurèle Amenda,1257648,Switzerland,defender,0.0,0.0,0.0,0
Deiver Machado,578756,Colombia,midfielder,0.0,0.0,0.0,0
Juan Portilla,1281230,Colombia,midfielder,0.0,0.0,0.0,0
Kevin Castaño,1434853,Colombia,midfielder,0.0,0.0,0.0,0
Jhon Córdoba,291425,Colombia,forward,0.0,0.0,0.0,0
Christian Fassnacht,618774,Switzerland,forward,0.0,0.0,0.0,0
Jorge Carrascal,784834,Colombia,forward,0.0,0.0,0.0,0
Noah Okafor,915797,Switzerland,forward,0.0,0.0,0.0,0
Andrés Gómez,1353421,Colombia,forward,0.0,0.0,0.0,0
Switzerland Keepers,6717,Switzerland,goalkeeper,26.14,18.0,6.0,50
Colombia Keepers,8258,Colombia,goalkeeper,15.3,18.0,0.0,33
