player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Kevin Pina,890503,Cape Verde Islands,midfielder,39.91066666666667,5.0,0.0,45
Diney Borges,496648,Cape Verde Islands,defender,44.07000000000001,0.0,0.0,44
Agustín Canobbio,840212,Uruguay,midfielder,37.501999999999995,5.0,0.0,43
Maxi Araújo,1031656,Uruguay,midfielder,37.30800000000001,5.0,0.0,42
Rodrigo Bentancur,620618,Uruguay,midfielder,36.57,5.0,0.0,42
Roberto Lopes,230134,Cape Verde Islands,defender,40.43,0.0,0.0,40
Ryan Mendes,172615,Cape Verde Islands,forward,33.75,6.0,0.0,40
Sidny Lopes Cabral,1441786,Cape Verde Islands,defender,32.38,0.0,0.0,32
Federico Valverde,743533,Uruguay,midfielder,21.18,5.0,0.0,26
Mathías Olivera,729093,Uruguay,defender,25.820000000000004,0.0,0.0,26
Hélio Varela,1524518,Cape Verde Islands,forward,21.799999999999997,0.5,0.0,22
Laros Duarte,665167,Cape Verde Islands,midfielder,19.665333333333333,2.5,0.0,22
Jamiro Monteiro,680905,Cape Verde Islands,midfielder,17.130666666666666,5.0,0.0,22
Federico Viñas,1032811,Uruguay,forward,15.275,6.0,0.0,21
Steven Moreira,444000,Cape Verde Islands,defender,20.970000000000006,0.0,0.0,21
Sebastián Cáceres,1020026,Uruguay,defender,20.66,0.0,0.0,21
Guillermo Varela,465614,Uruguay,defender,20.35,0.0,0.0,20
Deroy Duarte,798069,Cape Verde Islands,midfielder,15.161999999999999,4.5,0.0,20
Garry Rodrigues,302912,Cape Verde Islands,forward,15.016666666666667,3.0,0.0,18
Manuel Ugarte,1035614,Uruguay,midfielder,12.797333333333334,5.0,0.0,18
Telmo Arcanjo,1165477,Cape Verde Islands,forward,13.091666666666665,3.0,0.0,16
Nuno da Costa,671326,Cape Verde Islands,forward,13.041666666666668,0.5,0.0,14
Juan Sanabria,1053963,Uruguay,defender,13.5,0.0,0.0,14
Gilson Benchimol,1241302,Cape Verde Islands,forward,10.016666666666666,3.0,0.0,13
Darwin Núñez,950561,Uruguay,forward,15.141666666666666,-2.5,0.0,13
Yannick Semedo,1205410,Cape Verde Islands,midfielder,9.693333333333333,2.5,0.0,12
Nicolás de la Cruz,751198,Uruguay,midfielder,6.908666666666666,2.5,0.0,9
Brian Rodríguez,941660,Uruguay,forward,11.058333333333334,-2.5,0.0,9
Stopira,164062,Cape Verde Islands,defender,0.0,0.0,0.0,0
José Giménez,474589,Uruguay,defender,0.0,0.0,0.0,0
Matías Viña,840184,Uruguay,defender,0.0,0.0,0.0,0
Santiago Bueno,848034,Uruguay,defender,0.0,0.0,0.0,0
Joaquín Piquerez,861661,Uruguay,defender,0.0,0.0,0.0,0
Logan Costa,922877,Cape Verde Islands,defender,0.0,0.0,0.0,0
Kelvin Pires,1175733,Cape Verde Islands,defender,0.0,0.0,0.0,0
Wagner Pina,1460591,Cape Verde Islands,defender,0.0,0.0,0.0,0
Emiliano Martínez,1137909,Uruguay,midfielder,0.0,0.0,0.0,0
João Paulo,1241301,Cape Verde Islands,midfielder,0.0,0.0,0.0,0
Rodrigo Aguirre,401095,Uruguay,forward,0.0,0.0,0.0,0
Jovane Cabral,785716,Cape Verde Islands,forward,0.0,0.0,0.0,0
Willy Semedo,873832,Cape Verde Islands,forward,0.0,0.0,0.0,0
Rodrigo Zalazar,1070776,Uruguay,forward,0.0,0.0,0.0,0
Facundo Pellistri,1073402,Uruguay,forward,0.0,0.0,0.0,0
Dailon Livramento,1309634,Cape Verde Islands,forward,0.0,0.0,0.0,0
Uruguay Keepers,5796,Uruguay,goalkeeper,12.360000000000001,6.0,0.0,18
Cape Verde Islands Keepers,5888,Cape Verde Islands,goalkeeper,6.68,6.0,0.0,13
