player_name,player_id,team_name,position,stats_score,endowment_score,shootout_score,final_score
Aymeric Laporte,411617,Spain,defender,46.28,10.0,0.0,56
Marcos Llorente,602563,Spain,defender,38.510000000000005,10.0,0.0,49
Mathías Olivera,729093,Uruguay,defender,34.72,5.0,0.0,40
Pau Cubarsí,1532137,Spain,defender,26.299999999999997,10.0,0.0,36
Rodri,675088,Spain,midfielder,29.035999999999998,7.0,0.0,36
Álex Baena,942372,Spain,forward,32.06666666666667,3.0,0.0,35
Juan Sanabria,1053963,Uruguay,defender,29.62333333333333,5.0,0.0,35
Rodrigo Bentancur,620618,Uruguay,midfielder,28.110000000000003,3.0,0.0,31
Pedri,1083323,Spain,midfielder,23.421999999999997,7.0,0.0,30
Lamine Yamal,1467236,Spain,forward,23.050000000000004,3.0,0.0,26
Marc Cucurella,873289,Spain,defender,15.34,10.0,0.0,25
Manuel Ugarte,1035614,Uruguay,midfielder,19.456666666666663,3.0,0.0,22
Maxi Araújo,1031656,Uruguay,defender,17.07,5.0,0.0,22
Guillermo Varela,465614,Uruguay,defender,16.689999999999998,5.0,0.0,22
Mikel Merino,574645,Spain,midfielder,13.986,7.0,0.0,21
Nicolás de la Cruz,751198,Uruguay,midfielder,15.549333333333337,5.0,0.0,21
Sebastián Cáceres,1020026,Uruguay,defender,11.25,5.0,0.0,16
Darwin Núñez,950561,Uruguay,forward,15.674999999999999,0.0,0.0,16
Federico Valverde,743533,Uruguay,midfielder,10.690000000000001,3.0,0.0,14
Fabián Ruiz,605654,Spain,midfielder,11.158000000000001,2.5,0.0,14
Mikel Oyarzabal,678234,Spain,forward,8.558333333333334,3.0,0.0,12
Dani Olmo,614834,Spain,midfielder,9.026,2.5,0.0,12
Federico Viñas,1032811,Uruguay,forward,13.299999999999999,-2.5,0.0,11
Ferran Torres,881771,Spain,forward,11.0,-2.5,0.0,8
Nico Williams,1202110,Spain,forward,7.825,-2.5,0.0,5
Yéremi Pino,1047676,Spain,midfielder,2.308,2.5,0.0,5
Brian Rodríguez,941660,Uruguay,forward,6.708333333333333,-2.5,0.0,4
Agustín Canobbio,840212,Uruguay,forward,3.583333333333333,0.0,0.0,4
José Giménez,474589,Uruguay,defender,0.0,0.0,0.0,0
Matías Viña,840184,Uruguay,defender,0.0,0.0,0.0,0
Santiago Bueno,848034,Uruguay,defender,0.0,0.0,0.0,0
Joaquín Piquerez,861661,Uruguay,defender,0.0,0.0,0.0,0
Ronald Araujo,921253,Uruguay,defender,0.0,0.0,0.0,0
Eric García,940573,Spain,defender,0.0,0.0,0.0,0
Pedro Porro,941573,Spain,defender,0.0,0.0,0.0,0
Marc Pubill,1323897,Spain,defender,0.0,0.0,0.0,0
Alejandro Grimaldo,288406,Spain,midfielder,0.0,0.0,0.0,0
Giorgian De Arrascaeta,438647,Uruguay,midfielder,0.0,0.0,0.0,0
Martín Zubimendi,1031325,Spain,midfielder,0.0,0.0,0.0,0
Emiliano Martínez,1137909,Uruguay,midfielder,0.0,0.0,0.0,0
Gavi,1279040,Spain,midfielder,0.0,0.0,0.0,0
Rodrigo Aguirre,401095,Uruguay,forward,0.0,0.0,0.0,0
Borja Iglesias,609505,Spain,forward,0.0,0.0,0.0,0
Rodrigo Zalazar,1070776,Uruguay,forward,0.0,0.0,0.0,0
Facundo Pellistri,1073402,Uruguay,forward,0.0,0.0,0.0,0
Víctor Muñoz,1553105,Spain,forward,0.0,0.0,0.0,0
Uruguay Keepers,5796,Uruguay,goalkeeper,4.72,12.0,0.0,17
Spain Keepers,6720,Spain,goalkeeper,16.46,18.0,0.0,34
