player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
30981,Lionel Messi,6706,Argentina,3,forward,53.75833333333334,2.3,4.0,60.05833333333334,120.0,3,2,9.0,69.05833333333334
847983,Lisandro Martínez,6706,Argentina,1,defender,54.6,1.8,4.0,60.4,120.0,3,2,0.0,60.4
831489,Alexis Mac Allister,6706,Argentina,2,midfielder,36.28,1.9,4.0,42.18,120.0,3,2,7.0,49.18
789066,Cristian Romero,6706,Argentina,1,defender,32.62,3.0,4.0,39.62,120.0,3,2,0.0,39.62
496648,Diney Borges,5888,Cape Verde Islands,1,defender,36.89,3.0,4.0,43.89,120.0,2,3,-5.0,38.89
1137705,Enzo Fernández,6706,Argentina,2,midfielder,27.918,-0.30000000000000027,4.0,31.618,120.0,3,2,7.0,38.617999999999995
798069,Deroy Duarte,5888,Cape Verde Islands,2,midfielder,27.716,3.0,3.3333333333333335,34.04933333333334,100.0,1,2,3.0,37.04933333333334
890503,Kevin Pina,5888,Cape Verde Islands,2,midfielder,24.3,3.0,3.3333333333333335,30.633333333333333,100.0,1,2,3.0,33.63333333333333
237606,Leandro Paredes,6706,Argentina,2,midfielder,24.486,3.0,1.2,28.686,36.0,2,1,4.5,33.186
1441786,Sidny Lopes Cabral,5888,Cape Verde Islands,1,defender,32.36,1.8,4.0,38.16,120.0,2,3,-5.0,33.16
324578,Rodrigo De Paul,6706,Argentina,2,midfielder,22.398000000000003,1.9,2.8,27.098000000000003,84.0,1,1,5.0,32.098
1205410,Yannick Semedo,5888,Cape Verde Islands,2,midfielder,23.492,3.0,0.6666666666666666,27.15866666666667,20.0,1,1,2.5,29.65866666666667
812652,Facundo Medina,6706,Argentina,1,defender,18.250000000000004,3.0,2.8666666666666667,24.11666666666667,85.0,1,1,5.0,29.11666666666667
841672,Nicolás González,6706,Argentina,2,midfielder,18.104,1.9,1.8666666666666667,21.870666666666665,57.0,2,1,7.0,28.870666666666665
172615,Ryan Mendes,5888,Cape Verde Islands,3,forward,20.708333333333332,2.3,2.6666666666666665,25.675,80.0,1,1,3.0,28.675
230134,Roberto Lopes,5888,Cape Verde Islands,1,defender,26.209999999999997,3.0,4.0,33.209999999999994,120.0,2,3,-5.0,28.209999999999994
974753,Julián Álvarez,6706,Argentina,3,forward,15.616666666666667,4.1,1.9,21.616666666666667,57.0,2,1,6.0,27.616666666666667
195750,Nicolás Tagliafico,6706,Argentina,1,defender,19.37,3.0,1.1333333333333333,23.503333333333334,35.0,2,1,0.0,23.503333333333334
785716,Jovane Cabral,5888,Cape Verde Islands,3,forward,13.85,2.3,2.6666666666666665,18.816666666666666,80.0,1,1,3.0,21.816666666666666
680905,Jamiro Monteiro,5888,Cape Verde Islands,2,midfielder,14.264000000000001,1.9,1.7666666666666666,17.930666666666667,53.0,1,2,3.0,20.930666666666667
955271,Thiago Almada,6706,Argentina,2,midfielder,11.129999999999999,1.9,2.1333333333333333,15.163333333333332,63.0,1,1,5.0,20.163333333333334
444000,Steven Moreira,5888,Cape Verde Islands,1,defender,16.78,3.0,4.0,23.78,120.0,2,3,-5.0,18.78
1524518,Hélio Varela,5888,Cape Verde Islands,3,forward,10.866666666666665,5.0,1.3333333333333333,17.2,40.0,1,2,0.5,17.7
665167,Laros Duarte,5888,Cape Verde Islands,2,midfielder,6.880000000000001,3.0,2.2333333333333334,12.113333333333333,67.0,1,1,5.0,17.113333333333333
726345,Nahuel Molina,6706,Argentina,1,defender,8.92,3.0,3.466666666666667,15.386666666666667,104.0,2,2,0.0,15.386666666666667
1309634,Dailon Livramento,5888,Cape Verde Islands,3,forward,4.608333333333333,5.0,1.7666666666666666,11.375,53.0,1,2,3.0,14.375
873832,Willy Semedo,5888,Cape Verde Islands,3,forward,7.733333333333334,3.2,1.3333333333333333,12.266666666666667,40.0,1,2,0.5,12.766666666666667
671326,Nuno da Costa,5888,Cape Verde Islands,3,forward,0.28333333333333344,5.0,2.2333333333333334,7.516666666666667,67.0,1,1,3.0,10.516666666666666
690230,Lautaro Martínez,6706,Argentina,3,forward,0.6916666666666664,4.1,2.1,6.891666666666666,63.0,1,1,3.0,9.891666666666666
1241302,Gilson Benchimol,5888,Cape Verde Islands,3,forward,3.4166666666666665,5.0,0.6666666666666666,9.083333333333332,20.0,1,1,0.5,9.583333333333332
687008,Gonzalo Montiel,6706,Argentina,1,defender,0.89,3.0,0.5333333333333333,4.423333333333334,16.0,1,0,5.0,9.423333333333334
164062,Stopira,5888,Cape Verde Islands,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
174321,Nicolás Otamendi,6706,Argentina,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
785411,Marcos Senesi,6706,Argentina,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
922877,Logan Costa,5888,Cape Verde Islands,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1175733,Kelvin Pires,5888,Cape Verde Islands,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1460591,Wagner Pina,5888,Cape Verde Islands,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
604126,Giovani Lo Celso,6706,Argentina,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
693599,Exequiel Palacios,6706,Argentina,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1226147,Giuliano Simeone,6706,Argentina,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1241301,João Paulo,5888,Cape Verde Islands,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1272440,Valentín Barco,6706,Argentina,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1347574,Nico Paz,6706,Argentina,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
302912,Garry Rodrigues,5888,Cape Verde Islands,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1165477,Telmo Arcanjo,5888,Cape Verde Islands,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1216079,José López,6706,Argentina,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
