player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
465960,Youri Tielemans,8263,Belgium,2,midfielder,46.256,3.0,4.0,53.256,120.0,3,2,7.0,60.256
771294,Ismaïla Sarr,6395,Senegal,3,forward,39.04166666666667,4.1,4.0,47.14166666666667,120.0,2,3,6.0,53.14166666666667
445873,Brandon Mechele,8263,Belgium,1,defender,37.74,3.0,4.0,44.74,120.0,3,2,0.0,44.74
181276,Romelu Lukaku,8263,Belgium,3,forward,27.291666666666668,5.0,2.5,34.79166666666667,74.0,3,1,9.0,43.79166666666667
465750,Timothy Castagne,8263,Belgium,1,defender,37.14,1.8,4.0,42.94,120.0,3,2,0.0,42.94
872396,Pathé Ciss,6395,Senegal,2,midfielder,32.641999999999996,3.0,4.0,39.641999999999996,120.0,2,3,3.0,42.641999999999996
318615,Leandro Trossard,8263,Belgium,2,midfielder,30.695999999999998,3.0,3.6333333333333333,37.32933333333333,109.0,2,2,5.0,42.32933333333333
1285866,Habib Diarra,6395,Senegal,2,midfielder,27.396,3.0,2.433333333333333,32.82933333333333,73.0,2,0,9.0,41.82933333333333
303339,Sadio Mané,6395,Senegal,3,forward,25.45,4.1,3.1333333333333333,32.68333333333333,93.0,2,2,6.0,38.68333333333333
277771,Thomas Meunier,8263,Belgium,1,defender,28.32,3.0,1.4,32.72,42.0,3,0,5.0,37.72
592102,Moussa Niakhaté,6395,Senegal,1,defender,34.08,3.0,4.0,41.08,120.0,2,3,-5.0,36.08
1173250,Arthur Theate,8263,Belgium,1,defender,27.890000000000004,3.0,4.0,34.89,120.0,3,2,0.0,34.89
965764,Iliman Ndiaye,6395,Senegal,3,forward,20.633333333333333,4.1,2.433333333333333,27.166666666666668,73.0,2,0,6.0,33.16666666666667
688876,Dodi Lukébakio,8263,Belgium,3,forward,14.716666666666665,5.0,2.1333333333333333,21.849999999999998,64.0,3,0,9.0,30.849999999999998
863869,Nicolas Raskin,8263,Belgium,2,midfielder,13.068000000000001,3.0,2.1333333333333333,18.201333333333334,64.0,3,0,11.0,29.201333333333334
837061,Krépin Diatta,6395,Senegal,1,defender,29.430000000000003,0.6000000000000001,4.0,34.03,120.0,2,3,-5.0,29.03
179410,Idrissa Gana Gueye,6395,Senegal,2,midfielder,15.466000000000001,3.0,3.2,21.666,95.0,2,2,5.0,26.666
1342754,Diego Moreira,8263,Belgium,2,midfielder,9.35,1.9,1.9,13.15,57.0,3,0,11.0,24.15
906945,Ismail Jakobs,6395,Senegal,1,defender,16.830000000000002,3.0,3.1333333333333333,22.963333333333335,93.0,2,2,0.0,22.963333333333335
1593857,Ibrahim Mbaye,6395,Senegal,3,forward,13.941666666666666,4.1,1.5666666666666667,19.60833333333333,47.0,0,3,0.0,19.60833333333333
844544,Pape Gueye,6395,Senegal,2,midfielder,4.248000000000001,3.0,2.2,9.448,66.0,2,0,9.0,18.448
1134871,Maxim De Cuyper,8263,Belgium,1,defender,11.68,3.0,2.6,17.28,78.0,0,2,0.0,17.28
169200,Kevin De Bruyne,8263,Belgium,2,midfielder,11.364,3.0,1.8666666666666667,16.230666666666668,56.0,0,2,1.0,17.230666666666668
203666,Hans Vanaken,8263,Belgium,2,midfielder,7.6560000000000015,1.9,2.1,11.656,63.0,0,2,1.0,12.656
1185748,Amadou Onana,8263,Belgium,2,midfielder,4.314000000000001,3.0,0.36666666666666664,7.680666666666667,11.0,1,0,4.5,12.180666666666667
1451265,Malick Diouf,6395,Senegal,1,defender,8.040000000000001,3.0,0.8666666666666667,11.906666666666668,27.0,0,1,0.0,11.906666666666668
942368,Jérémy Doku,8263,Belgium,3,forward,4.991666666666666,5.0,1.8666666666666667,11.858333333333334,56.0,0,2,0.0,11.858333333333334
