player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1343750,Renato Veiga,8361,Portugal,1,defender,39.17000000000001,3.0,3.0,45.17000000000001,90.0,0,0,10.0,55.17000000000001
164684,James Rodríguez,8258,Colombia,3,forward,43.108333333333334,5.0,2.533333333333333,50.641666666666666,76.0,0,0,0.0,50.641666666666666
207642,Santiago Arias,8258,Colombia,1,defender,30.300000000000004,3.0,2.9,36.2,87.0,0,0,10.0,46.2
1023030,Jhon Arias,8258,Colombia,2,midfielder,37.998,-0.30000000000000027,2.533333333333333,40.23133333333333,76.0,0,0,5.0,45.23133333333333
614006,Rúben Dias,8361,Portugal,1,defender,28.82,3.0,3.0,34.82,90.0,0,0,10.0,44.82
643533,Davinson Sánchez,8258,Colombia,1,defender,26.640000000000004,1.8,3.0,31.440000000000005,90.0,0,0,10.0,41.440000000000005
578756,Deiver Machado,8258,Colombia,1,defender,17.03,3.0,3.0,23.03,90.0,0,0,10.0,33.03
860913,Jhon Lucumí,8258,Colombia,1,defender,15.850000000000001,3.0,3.0,21.85,90.0,0,0,10.0,31.85
1061249,Vitinha,8361,Portugal,2,midfielder,21.316000000000003,3.0,2.3333333333333335,26.649333333333335,70.0,0,0,5.0,31.649333333333335
1331597,Gustavo Puerta,8258,Colombia,2,midfielder,18.258,1.9,3.0,23.157999999999998,90.0,0,0,5.0,28.157999999999998
422685,Bruno Fernandes,8361,Portugal,2,midfielder,16.206,3.0,3.0,22.206,90.0,0,0,5.0,27.206
1158945,Nuno Mendes,8361,Portugal,1,defender,10.71,0.6000000000000001,2.966666666666667,14.276666666666667,90.0,0,0,10.0,24.276666666666667
751550,Diogo Dalot,8361,Portugal,1,defender,12.58,3.0,1.5,17.08,44.0,0,0,5.0,22.08
466672,Jefferson Lerma,8258,Colombia,2,midfielder,11.602,3.0,2.0,16.602,60.0,0,0,5.0,21.602
361757,João Cancelo,8361,Portugal,1,defender,8.0,1.8,1.5,11.3,46.0,0,0,10.0,21.3
843040,Pedro Neto,8361,Portugal,3,forward,11.6,5.0,3.0,19.6,90.0,0,0,0.0,19.6
1342757,João Neves,8361,Portugal,2,midfielder,12.24,0.7999999999999998,1.5,14.54,44.0,0,0,2.5,17.04
860914,Luis Díaz,8258,Colombia,3,forward,9.025,4.1,3.0,16.125,90.0,0,0,0.0,16.125
794427,Joao Félix,8361,Portugal,3,forward,8.750000000000002,5.0,2.3333333333333335,16.083333333333336,70.0,0,0,0.0,16.083333333333336
848844,Rafael Leão,8361,Portugal,3,forward,12.599999999999998,4.1,0.6666666666666666,17.366666666666664,20.0,0,0,-2.5,14.866666666666664
1130583,Samú,8361,Portugal,2,midfielder,7.884000000000001,3.0,0.6666666666666666,11.550666666666666,20.0,0,0,2.5,14.050666666666666
534684,Rúben Neves,8361,Portugal,2,midfielder,3.926,3.0,1.5,8.426,46.0,0,0,5.0,13.426
