player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
194165,Harry Kane,8491,England,3,forward,44.608333333333334,4.1,3.0,51.708333333333336,90.0,4,2,12.0,63.708333333333336
163670,Ivan Perisic,10155,Croatia,3,forward,41.46666666666667,5.0,3.0,49.46666666666667,90.0,2,4,6.0,55.46666666666667
1089691,Elliot Anderson,8491,England,2,midfielder,36.508,3.0,3.0,42.508,90.0,4,2,9.0,51.508
654096,Declan Rice,8491,England,2,midfielder,33.227999999999994,1.9,2.4,37.52799999999999,72.0,3,2,7.0,44.52799999999999
1077894,Jude Bellingham,8491,England,2,midfielder,31.561999999999998,1.9,2.6666666666666665,36.12866666666666,79.0,3,2,7.0,43.12866666666666
1215064,Martin Baturina,10155,Croatia,3,forward,28.641666666666666,5.0,2.6,36.24166666666667,78.0,2,3,6.0,42.24166666666667
1084981,Noni Madueke,8491,England,3,forward,20.858333333333334,5.0,2.4,28.258333333333333,72.0,3,2,9.0,37.25833333333333
709796,Petar Musa,10155,Croatia,3,forward,21.375,5.0,2.2,28.575,66.0,2,3,6.0,34.575
1382000,Petar Sucic,10155,Croatia,2,midfielder,19.17,0.7999999999999998,3.0,22.970000000000002,90.0,2,4,1.0,23.970000000000002
961995,Bukayo Saka,8491,England,3,forward,16.958333333333332,5.0,0.6,22.558333333333334,18.0,1,0,0.5,23.058333333333334
1300526,Nico O'Reilly,8491,England,1,defender,17.02,1.8,3.0,21.82,90.0,4,2,0.0,21.82
1186228,Josip Sutalo,10155,Croatia,1,defender,24.990000000000002,3.0,3.0,30.990000000000002,90.0,2,4,-10.0,20.990000000000002
906937,Anthony Gordon,8491,England,3,forward,2.45,5.0,2.4,9.85,72.0,3,2,9.0,18.85
446266,Mario Pasalic,10155,Croatia,2,midfielder,10.223999999999998,3.0,2.6,15.823999999999998,78.0,2,3,3.0,18.823999999999998
807729,Reece James,8491,England,1,defender,12.82,3.0,3.0,18.82,90.0,4,2,0.0,18.82
883080,Morgan Rogers,8491,England,2,midfielder,10.45,3.0,0.6,14.049999999999999,18.0,1,0,4.5,18.549999999999997
263653,John Stones,8491,England,1,defender,12.16,3.0,2.9,18.06,87.0,4,2,0.0,18.06
1413996,Luka Vuskovic,10155,Croatia,1,defender,17.169999999999998,3.0,2.2,22.369999999999997,66.0,2,3,-5.0,17.369999999999997
31097,Luka Modric,10155,Croatia,2,midfielder,8.708,3.0,1.9333333333333333,13.641333333333334,58.0,2,3,3.0,16.641333333333336
696365,Marcus Rashford,8491,England,3,forward,10.45,5.0,0.6,16.05,18.0,1,0,0.5,16.55
239219,Mateo Kovacic,10155,Croatia,2,midfielder,11.77,3.0,1.0666666666666667,15.836666666666666,32.0,0,1,0.5,16.336666666666666
950824,Josip Stanisic,10155,Croatia,1,defender,18.32,3.0,3.0,24.32,90.0,2,4,-10.0,14.32
710159,Ezri Konsa,8491,England,1,defender,8.190000000000001,3.0,3.0,14.190000000000001,90.0,4,2,0.0,14.190000000000001
