player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
737066,Erling Haaland,8492,Norway,3,forward,43.99166666666667,5.0,3.0,51.99166666666667,90.0,4,1,12.0,63.99166666666667
659272,Julian Ryerson,8492,Norway,2,midfielder,29.541999999999998,1.9,3.0,34.44199999999999,90.0,4,1,11.0,45.44199999999999
552718,Kristoffer Ajer,8492,Norway,1,defender,33.57,1.8,3.0,38.37,90.0,4,1,5.0,43.37
935550,Torbjørn Heggem,8492,Norway,1,defender,25.7,3.0,3.0,31.7,90.0,4,1,5.0,36.7
534670,Martin Ødegaard,8492,Norway,2,midfielder,21.704,1.9,2.7,26.304,81.0,3,1,9.0,35.304
540963,Sander Berge,8492,Norway,2,midfielder,18.922,1.9,3.0,23.822,90.0,4,1,11.0,34.822
858340,Amir Al-Ammari,5819,Iraq,2,midfielder,26.394,1.9,3.0,31.293999999999997,90.0,1,4,-1.0,30.293999999999997
674332,Ayman Hussein,5819,Iraq,3,forward,18.775,5.0,3.0,26.775,90.0,1,4,3.0,29.775
1049679,David Møller Wolfe,8492,Norway,1,defender,17.82,3.0,2.433333333333333,23.253333333333334,73.0,2,1,5.0,28.253333333333334
1199113,Merchas Doski,5819,Iraq,1,defender,30.92,1.8,3.0,35.72,90.0,1,4,-10.0,25.72
310768,Fredrik Aursnes,8492,Norway,2,midfielder,12.238000000000003,3.0,2.433333333333333,17.671333333333337,73.0,2,1,7.0,24.671333333333337
740944,Leo Østigard,8492,Norway,1,defender,15.71,3.0,0.5666666666666667,19.276666666666667,17.0,2,0,5.0,24.276666666666667
1478238,Ali Jasim,5819,Iraq,3,forward,13.558333333333334,5.0,2.433333333333333,20.991666666666667,73.0,1,2,3.0,23.991666666666667
1642820,Zaid Ismael,5819,Iraq,2,midfielder,16.802000000000003,1.9,1.9666666666666666,20.668666666666667,59.0,1,2,3.0,23.668666666666667
1113688,Ali Al Hamadi,5819,Iraq,3,forward,13.05,5.0,1.9666666666666666,20.016666666666666,59.0,1,2,3.0,23.016666666666666
1248482,Antonio Nusa,8492,Norway,3,forward,10.416666666666666,4.1,2.433333333333333,16.95,73.0,2,1,6.0,22.95
942834,Ibrahim Bayesh,5819,Iraq,2,midfielder,12.990000000000002,3.0,2.6,18.590000000000003,78.0,1,3,1.0,19.590000000000003
440330,Alexander Sørloth,8492,Norway,3,forward,3.175,4.1,2.433333333333333,9.708333333333332,73.0,2,1,6.0,15.708333333333332
921921,Kristian Thorstvedt,8492,Norway,2,midfielder,6.390000000000001,1.9,0.5666666666666667,8.856666666666667,17.0,2,0,6.5,15.356666666666667
1113790,Oscar Bobb,8492,Norway,3,forward,4.0,5.0,0.5666666666666667,9.566666666666666,17.0,2,0,3.5,13.066666666666666
1092563,Hussein Ali,5819,Iraq,1,defender,7.37,3.0,2.433333333333333,12.803333333333335,73.0,1,2,0.0,12.803333333333335
1606279,Akam Hashem,5819,Iraq,1,defender,16.22,3.0,3.0,22.22,90.0,1,4,-10.0,12.219999999999999
530635,Patrick Berg,8492,Norway,2,midfielder,3.63,3.0,0.3,6.93,9.0,1,0,4.5,11.43
1228558,Andreas Schjelderup,8492,Norway,3,forward,2.083333333333333,5.0,0.5666666666666667,7.6499999999999995,17.0,2,0,3.5,11.149999999999999
1138592,Zidane Iqbal,5819,Iraq,2,midfielder,7.888,3.0,1.0333333333333332,11.921333333333333,31.0,0,2,-1.5,10.421333333333333
1162514,Marko Lawk Farji,5819,Iraq,3,forward,3.7166666666666677,5.0,1.0333333333333332,9.750000000000002,31.0,0,2,-2.5,7.250000000000002
1554123,Mustafa Saadoun,5819,Iraq,1,defender,6.61,3.0,0.5666666666666667,10.176666666666666,17.0,0,2,-5.0,5.176666666666666
1224691,Ahmed Qasem,5819,Iraq,2,midfielder,2.908,1.9,0.5666666666666667,5.374666666666666,17.0,0,2,-1.5,3.8746666666666663
926484,Mohanad Ali,5819,Iraq,3,forward,0.04166666666666666,5.0,0.4,5.441666666666667,12.0,0,1,-2.5,2.9416666666666673
1420369,Zaid Tahseen,5819,Iraq,1,defender,5.74,3.0,3.0,11.74,90.0,1,4,-10.0,1.7400000000000002
502481,Rebin Sulaka,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
630228,Fredrik André Bjørkan,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1110550,Henrik Falchener,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1127585,Sondre Klingen Langås,8492,Norway,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1333336,Manaf Younis,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1642810,Ahmed Maknzi,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
320139,Frans Putros,5819,Iraq,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
439148,Morten Thorsby,8492,Norway,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
