player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
729093,Mathías Olivera,5796,Uruguay,1,defender,41.21000000000001,3.0,3.0,47.21000000000001,90.0,1,1,5.0,52.21000000000001
848600,Abdulelah Al Amri,7795,Saudi Arabia,1,defender,35.95,3.0,3.0,41.95,90.0,1,1,5.0,46.95
1031656,Maxi Araújo,5796,Uruguay,1,defender,38.62,-0.5999999999999996,2.7,40.72,81.0,1,1,5.0,45.72
465614,Guillermo Varela,5796,Uruguay,1,defender,31.369999999999997,3.0,3.0,37.37,90.0,1,1,5.0,42.37
866373,Mohamed Kanno,7795,Saudi Arabia,2,midfielder,29.042000000000005,3.0,3.0,35.042,90.0,1,1,5.0,40.042
620618,Rodrigo Bentancur,5796,Uruguay,2,midfielder,25.052000000000003,3.0,3.0,31.052000000000003,90.0,1,1,5.0,36.05200000000001
1020026,Sebastián Cáceres,5796,Uruguay,1,defender,17.900000000000002,3.0,3.0,23.900000000000002,90.0,1,1,5.0,28.900000000000002
1138003,Moteb Al-Harbi,7795,Saudi Arabia,1,defender,17.529999999999998,3.0,2.966666666666667,23.496666666666663,90.0,1,1,5.0,28.496666666666663
1002617,Saud Abdulhamid,7795,Saudi Arabia,2,midfielder,16.936,3.0,2.966666666666667,22.90266666666667,90.0,1,1,5.0,27.90266666666667
751198,Nicolás de la Cruz,5796,Uruguay,2,midfielder,19.631999999999998,3.0,0.6,23.232,18.0,1,0,4.5,27.732
743533,Federico Valverde,5796,Uruguay,2,midfielder,16.788000000000004,0.7999999999999998,3.0,20.588000000000005,90.0,1,1,5.0,25.588000000000005
1035614,Manuel Ugarte,5796,Uruguay,2,midfielder,16.468,3.0,2.4,21.868,72.0,0,1,3.0,24.868
1032811,Federico Viñas,5796,Uruguay,3,forward,12.983333333333334,5.0,2.966666666666667,20.950000000000003,90.0,1,1,3.0,23.950000000000003
