player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
844544,Pape Gueye,6395,Senegal,2,midfielder,55.372,3.0,1.1,59.472,34.0,4,0,10.5,69.97200000000001
965764,Iliman Ndiaye,6395,Senegal,3,forward,39.775,5.0,1.1,45.875,34.0,4,0,9.5,55.375
771294,Ismaïla Sarr,6395,Senegal,3,forward,34.80833333333333,5.0,2.7,42.50833333333333,81.0,4,0,12.0,54.50833333333333
179410,Idrissa Gana Gueye,6395,Senegal,2,midfielder,32.344,3.0,3.0,38.344,90.0,5,0,15.0,53.344
1436305,Lamine Camara,6395,Senegal,2,midfielder,33.653999999999996,3.0,1.9,38.553999999999995,56.0,1,0,7.0,45.553999999999995
303339,Sadio Mané,6395,Senegal,3,forward,17.016666666666666,3.2,3.0,23.216666666666665,90.0,5,0,15.0,38.21666666666667
837061,Krépin Diatta,6395,Senegal,1,defender,21.74,3.0,3.0,27.74,90.0,5,0,10.0,37.739999999999995
588626,Abdoulaye Seck,6395,Senegal,1,defender,19.78,3.0,1.9333333333333333,24.713333333333335,58.0,2,0,10.0,34.71333333333334
1285866,Habib Diarra,6395,Senegal,2,midfielder,20.704,3.0,1.9,25.604,56.0,1,0,7.0,32.604
906945,Ismail Jakobs,6395,Senegal,1,defender,15.529999999999998,1.8,3.0,20.33,90.0,5,0,10.0,30.33
1197347,Nicolas Jackson,6395,Senegal,3,forward,13.816666666666666,5.0,1.1,19.916666666666668,34.0,4,0,9.5,29.416666666666668
320139,Frans Putros,5819,Iraq,2,midfielder,25.459999999999997,3.0,3.0,31.459999999999997,90.0,0,5,-5.0,26.459999999999997
592102,Moussa Niakhaté,6395,Senegal,1,defender,8.810000000000002,3.0,3.0,14.810000000000002,90.0,5,0,10.0,24.810000000000002
872396,Pathé Ciss,6395,Senegal,2,midfielder,8.062000000000001,3.0,1.0666666666666667,12.128666666666668,32.0,3,0,8.5,20.628666666666668
1113688,Ali Al Hamadi,5819,Iraq,3,forward,14.041666666666666,4.1,1.9333333333333333,20.075,57.0,0,2,0.0,20.075
1593857,Ibrahim Mbaye,6395,Senegal,3,forward,7.258333333333334,4.1,1.9,13.258333333333335,56.0,1,0,3.0,16.258333333333333
942834,Ibrahim Bayesh,5819,Iraq,2,midfielder,16.029999999999998,1.9,3.0,20.929999999999996,90.0,0,5,-5.0,15.929999999999996
1138592,Zidane Iqbal,5819,Iraq,2,midfielder,10.453999999999999,3.0,2.2333333333333334,15.687333333333331,67.0,0,3,-1.0,14.687333333333331
1333336,Manaf Younis,5819,Iraq,1,defender,18.79,3.0,2.466666666666667,24.256666666666668,74.0,0,4,-10.0,14.256666666666668
1434889,Assane Diao,6395,Senegal,3,forward,5.766666666666667,5.0,0.3,11.066666666666666,9.0,1,0,0.5,11.566666666666666
1132572,Ali Yousif,5819,Iraq,3,forward,7.441666666666666,5.0,1.0666666666666667,13.508333333333333,33.0,0,3,-2.5,11.008333333333333
858340,Amir Al-Ammari,5819,Iraq,2,midfielder,9.648,1.9,3.0,14.548,90.0,0,5,-5.0,9.548
941579,Kevin Yakob,5819,Iraq,2,midfielder,5.956,3.0,0.7666666666666666,9.722666666666665,23.0,0,2,-1.5,8.222666666666665
1199113,Merchas Doski,5819,Iraq,1,defender,17.23,1.8,3.0,22.03,90.0,0,5,-15.0,7.030000000000001
1478238,Ali Jasim,5819,Iraq,2,midfielder,1.3460000000000005,1.9,1.9333333333333333,5.179333333333334,57.0,0,2,1.0,6.179333333333334
1642810,Ahmed Maknzi,5819,Iraq,1,defender,11.870000000000001,1.8,1.0666666666666667,14.736666666666668,33.0,0,3,-10.0,4.736666666666668
1606279,Akam Hashem,5819,Iraq,1,defender,11.110000000000001,3.0,3.0,17.11,90.0,0,5,-15.0,2.1099999999999994
1224691,Ahmed Qasem,5819,Iraq,3,forward,-0.25,4.1,0.5333333333333333,4.383333333333333,16.0,0,1,-2.5,1.8833333333333329
502481,Rebin Sulaka,5819,Iraq,1,defender,-3.36,3.0,0.43333333333333335,0.07333333333333347,90.0,0,5,-15.0,0.0
210428,Kalidou Koulibaly,6395,Senegal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1092563,Hussein Ali,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1254147,Antoine Mendy,6395,Senegal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1420369,Zaid Tahseen,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1426170,Mamadou Sarr,6395,Senegal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1451265,Malick Diouf,6395,Senegal,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1554123,Mustafa Saadoun,5819,Iraq,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1042511,Aimar Sher,5819,Iraq,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1107280,Pape Sarr,6395,Senegal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1642820,Zaid Ismael,5819,Iraq,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1798782,Bara Ndiaye,6395,Senegal,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
674332,Ayman Hussein,5819,Iraq,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
819972,Cherif Ndiaye,6395,Senegal,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
926484,Mohanad Ali,5819,Iraq,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1162514,Marko Lawk Farji,5819,Iraq,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1230848,Bamba Dieng,6395,Senegal,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1235623,Youssef Amyn,5819,Iraq,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
