player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
701154,Kylian Mbappé,6723,France,3,forward,64.19166666666666,5.0,2.8333333333333335,72.02499999999999,85.0,3,0,9.0,81.02499999999999
1029063,Michael Olise,6723,France,2,midfielder,53.792,3.0,2.8333333333333335,59.62533333333334,85.0,3,0,11.0,70.62533333333334
1297165,Bradley Barcola,6723,France,2,midfielder,29.454,1.9,3.0,34.354,90.0,3,0,11.0,45.354
692984,Ousmane Dembélé,6723,France,2,midfielder,27.259999999999994,3.0,2.5,32.75999999999999,75.0,3,0,11.0,43.75999999999999
352879,Adrien Rabiot,6723,France,2,midfielder,27.038,1.9,3.0,31.938,90.0,3,0,11.0,42.938
914458,Aurélien Tchouaméni,6723,France,2,midfielder,24.951999999999995,1.9,3.0,29.851999999999993,90.0,3,0,11.0,40.85199999999999
955406,William Saliba,6723,France,1,defender,21.51,3.0,3.0,27.51,90.0,3,0,10.0,37.510000000000005
210111,Lucas Digne,6723,France,1,defender,21.31,3.0,2.6,26.91,78.0,3,0,10.0,36.91
658554,Dayot Upamecano,6723,France,1,defender,16.55,3.0,3.0,22.55,90.0,3,0,10.0,32.55
705450,Jules Koundé,6723,France,1,defender,15.209999999999999,3.0,2.5,20.71,75.0,3,0,10.0,30.71
919848,Gustaf Lagerbielke,8520,Sweden,1,defender,24.580000000000002,3.0,3.0,30.580000000000002,90.0,0,3,-5.0,25.580000000000002
664500,Viktor Gyökeres,8520,Sweden,3,forward,14.783333333333331,5.0,3.0,22.78333333333333,90.0,0,3,0.0,22.78333333333333
1386775,Lucas Bergvall,8520,Sweden,2,midfielder,13.102,3.0,2.2,18.302,65.0,0,2,1.0,19.302
1209228,Daniel Svensson,8520,Sweden,2,midfielder,16.3,0.7999999999999998,2.7333333333333334,19.833333333333336,82.0,0,3,-1.0,18.833333333333336
258269,Victor Nilsson Lindelöf,8520,Sweden,1,defender,16.2,1.8,3.0,21.0,90.0,0,3,-5.0,16.0
724371,Theo Hernández,6723,France,1,defender,7.51,3.0,0.4,10.91,12.0,0,0,5.0,15.91
1272349,Elliot Stroud,8520,Sweden,2,midfielder,10.778,1.9,2.2,14.878,65.0,0,2,1.0,15.878
690107,Alexander Isak,8520,Sweden,3,forward,7.441666666666666,5.0,2.966666666666667,15.408333333333333,89.0,0,3,0.0,15.408333333333333
1168311,Yasin Ayari,8520,Sweden,2,midfielder,10.44,3.0,2.7333333333333334,16.173333333333332,82.0,0,3,-1.0,15.173333333333332
1197250,Malo Gusto,6723,France,1,defender,6.620000000000001,3.0,0.5,10.120000000000001,15.0,0,0,5.0,15.120000000000001
647900,Mattias Svanberg,8520,Sweden,2,midfielder,8.474,3.0,0.26666666666666666,11.740666666666668,8.0,0,0,2.5,14.240666666666668
1050166,Anthony Elanga,8520,Sweden,2,midfielder,8.906,1.9,3.0,13.806000000000001,90.0,0,3,-1.0,12.806000000000001
744494,Gabriel Gudmundsson,8520,Sweden,1,defender,11.59,3.0,3.0,17.59,90.0,0,3,-5.0,12.59
1339208,Désiré Doué,6723,France,3,forward,8.666666666666668,5.0,0.5,14.166666666666668,15.0,0,0,-2.5,11.666666666666668
1338361,Besfort Zeneli,8520,Sweden,2,midfielder,6.877999999999999,3.0,0.8,10.678,25.0,0,1,0.5,11.178
931605,Benjamin Nygren,8520,Sweden,2,midfielder,5.23,3.0,0.26666666666666666,8.496666666666668,8.0,0,0,2.5,10.996666666666668
