player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1077894,Jude Bellingham,8491,England,2,midfielder,52.888000000000005,0.7999999999999998,2.3666666666666667,56.05466666666667,71.0,2,0,9.0,65.05466666666666
1300526,Nico O'Reilly,8491,England,1,defender,29.180000000000003,3.0,3.0,35.18000000000001,90.0,2,0,10.0,45.18000000000001
710159,Ezri Konsa,8491,England,1,defender,26.79,3.0,3.0,32.79,90.0,2,0,10.0,42.79
1089691,Elliot Anderson,8491,England,2,midfielder,27.082,0.7999999999999998,2.8,30.682000000000002,84.0,2,0,9.0,39.682
844425,Marc Guéhi,8491,England,1,defender,22.12,3.0,3.0,28.12,90.0,2,0,10.0,38.120000000000005
643638,Fidel Escobar,5922,Panama,1,defender,28.000000000000004,3.0,3.0,34.0,90.0,0,2,0.0,34.0
194165,Harry Kane,8491,England,3,forward,18.225,5.0,2.8,26.025000000000002,84.0,2,0,6.0,32.025000000000006
1107620,Jarell Quansah,8491,England,1,defender,15.74,3.0,2.1,20.840000000000003,63.0,1,0,10.0,30.840000000000003
961995,Bukayo Saka,8491,England,3,forward,21.34166666666667,3.2,2.1,26.64166666666667,63.0,1,0,3.0,29.64166666666667
696365,Marcus Rashford,8491,England,3,forward,15.016666666666666,3.2,3.0,21.216666666666665,90.0,2,0,6.0,27.216666666666665
727101,Cristian Martínez,5922,Panama,2,midfielder,19.78,3.0,3.0,25.78,90.0,0,2,1.0,26.78
1223132,José Córdoba,5922,Panama,1,defender,21.83,1.8,3.0,26.63,90.0,0,2,0.0,26.63
883080,Morgan Rogers,8491,England,2,midfielder,11.59,3.0,3.0,17.59,90.0,2,0,9.0,26.59
688449,Andrés Andrade,5922,Panama,1,defender,19.650000000000002,3.0,3.0,25.650000000000002,90.0,0,2,0.0,25.650000000000002
1017520,Carlos Harvey,5922,Panama,2,midfielder,18.384,0.7999999999999998,2.933333333333333,22.117333333333335,88.0,0,2,1.0,23.117333333333335
1084981,Noni Madueke,8491,England,3,forward,14.458333333333332,5.0,0.9,20.35833333333333,27.0,1,0,0.5,20.85833333333333
643635,Amir Murillo,5922,Panama,1,defender,14.48,1.8,3.0,19.28,90.0,0,2,0.0,19.28
924235,Jorge Gutiérrez,5922,Panama,1,defender,13.129999999999999,1.8,2.933333333333333,17.863333333333333,88.0,0,2,0.0,17.863333333333333
940333,José Luis Rodriguez,5922,Panama,3,forward,10.166666666666666,5.0,2.3666666666666667,17.53333333333333,71.0,0,2,0.0,17.53333333333333
894803,Djed Spence,8491,England,1,defender,6.010000000000001,3.0,0.9,9.910000000000002,27.0,1,0,5.0,14.910000000000002
1054138,Tomás Rodríguez,5922,Panama,3,forward,6.616666666666667,5.0,1.5,13.116666666666667,46.0,0,0,0.0,13.116666666666667
156008,Jordan Henderson,8491,England,2,midfielder,5.638000000000001,3.0,0.2,8.838000000000001,6.0,0,0,2.5,11.338000000000001
526710,Yoel Bárcenas,5922,Panama,2,midfielder,3.5420000000000003,1.9,2.3666666666666667,7.808666666666667,71.0,0,2,1.0,8.808666666666667
503710,Éric Davis,5922,Panama,2,midfielder,2.602,3.0,0.06666666666666667,5.668666666666667,2.0,0,0,2.5,8.168666666666667
818975,Eberechi Eze,8491,England,2,midfielder,-0.8320000000000001,3.0,0.6333333333333333,2.8013333333333335,19.0,0,0,2.5,5.301333333333334
1404414,Azarías Londoño,5922,Panama,3,forward,1.9333333333333333,5.0,0.6333333333333333,7.566666666666666,19.0,0,0,-2.5,5.066666666666666
940334,José Fajardo,5922,Panama,3,forward,0.3500000000000001,4.1,1.5,5.949999999999999,44.0,0,2,-2.5,3.4499999999999993
540088,Ollie Watkins,8491,England,3,forward,0.16666666666666666,5.0,0.2,5.366666666666667,6.0,0,0,-2.5,2.866666666666667
183088,Alberto Quintero,5922,Panama,3,forward,0.0,5.0,0.06666666666666667,5.066666666666666,2.0,0,0,-2.5,2.5666666666666664
574077,Ismael Díaz,5922,Panama,3,forward,0.28333333333333366,3.2,0.6333333333333333,4.116666666666667,19.0,0,0,-2.5,1.6166666666666671
188058,Daniel Burn,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
263653,John Stones,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
501847,Roderick Miller,5922,Panama,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
688448,Jiovany Ramos,5922,Panama,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
793907,Trevoh Chalobah,8491,England,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
888966,César Blackman,5922,Panama,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1454648,Edgardo Fariña,5922,Panama,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
308131,Aníbal Godoy,5922,Panama,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
643682,Adalberto Carrasquilla,5922,Panama,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
654096,Declan Rice,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1137803,César Yanis,5922,Panama,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1292810,Kobbie Mainoo,8491,England,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
312159,Cecilio Waterman,5922,Panama,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
408987,Ivan Toney,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
906937,Anthony Gordon,8491,England,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
