player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1316930,Jordan Bos,6716,Australia,1,defender,45.20000000000001,-0.5999999999999996,3.0,47.60000000000001,90.0,0,0,10.0,57.60000000000001
1241957,Matías Galarza,6724,Paraguay,2,midfielder,33.582,1.9,2.966666666666667,38.44866666666667,90.0,0,0,5.0,43.44866666666667
1318686,Alessandro Circati,6716,Australia,1,defender,26.34,1.8,3.0,31.14,90.0,0,0,10.0,41.14
1686118,Lucas Herrington,6716,Australia,1,defender,22.88,3.0,3.0,28.88,90.0,0,0,10.0,38.879999999999995
529625,Andrés Cubas,6724,Paraguay,2,midfielder,26.674000000000003,3.0,3.0,32.67400000000001,90.0,0,0,5.0,37.67400000000001
671518,Harry Souttar,6716,Australia,1,defender,21.1,3.0,3.0,27.1,90.0,0,0,10.0,37.1
497352,Gustavo Velázquez,6724,Paraguay,1,defender,17.66,3.0,3.0,23.66,90.0,0,0,10.0,33.66
274392,Gustavo Gómez,6724,Paraguay,1,defender,17.11,3.0,3.0,23.11,90.0,0,0,10.0,33.11
751998,Omar Alderete,6724,Paraguay,1,defender,15.66,3.0,2.8,21.46,84.0,0,0,10.0,31.46
785377,Aiden O'Neill,6716,Australia,2,midfielder,20.99,1.9,3.0,25.889999999999997,90.0,0,0,5.0,30.889999999999997
1354561,Diego Gómez,6724,Paraguay,2,midfielder,19.072,1.9,2.966666666666667,23.938666666666663,90.0,0,0,5.0,28.938666666666663
1133495,Juan Cáceres,6724,Paraguay,1,defender,14.98,0.6000000000000001,3.0,18.58,90.0,0,0,10.0,28.58
1736527,Alexandro Maidana,6724,Paraguay,1,defender,10.110000000000003,3.0,1.5,14.610000000000003,46.0,0,0,10.0,24.610000000000003
369742,Jackson Irvine,6716,Australia,2,midfielder,13.250000000000004,3.0,2.8,19.050000000000004,84.0,0,0,5.0,24.050000000000004
885870,Connor Metcalfe,6716,Australia,2,midfielder,12.566000000000003,3.0,3.0,18.566000000000003,90.0,0,0,5.0,23.566000000000003
1308909,Cristian Volpato,6716,Australia,3,forward,20.941666666666663,0.5,1.9333333333333333,23.374999999999996,58.0,0,0,0.0,23.374999999999996
192735,Aziz Behich,6716,Australia,1,defender,7.640000000000002,1.8,3.0,12.440000000000003,90.0,0,0,10.0,22.440000000000005
1059490,Mauricio,6724,Paraguay,2,midfielder,9.874,3.0,1.5,14.374,44.0,0,0,2.5,16.874000000000002
1327214,Nestory Irankunda,6716,Australia,2,midfielder,3.26,3.0,2.8,9.059999999999999,84.0,0,0,5.0,14.059999999999999
425711,Gabriel Ávalos,6724,Paraguay,3,forward,6.2749999999999995,4.1,2.2333333333333334,12.608333333333334,67.0,0,0,0.0,12.608333333333334
675762,Ajdin Hrustic,6716,Australia,2,midfielder,5.4719999999999995,3.0,1.0666666666666667,9.538666666666666,32.0,0,0,2.5,12.038666666666666
1320444,Álex Arce,6724,Paraguay,3,forward,6.175,5.0,0.7666666666666666,11.941666666666666,23.0,0,0,-2.5,9.441666666666666
860890,José Canale,6724,Paraguay,1,defender,0.44000000000000006,3.0,0.2,3.64,6.0,0,0,5.0,8.64
1527363,Paul Okon-Engstler,6716,Australia,2,midfielder,1.08,3.0,0.2,4.28,6.0,0,0,2.5,6.78
1073742,Julio Enciso,6724,Paraguay,2,midfielder,0.07999999999999918,-1.4000000000000004,3.0,1.6799999999999988,90.0,0,0,5.0,6.679999999999999
1220549,Tete Yengi,6716,Australia,3,forward,3.3666666666666667,5.0,0.2,8.566666666666666,6.0,0,0,-2.5,6.066666666666666
307438,Fabián Balbuena,6724,Paraguay,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
416124,Milos Degenek,6716,Australia,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
418799,Jason Geria,6716,Australia,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
466214,Júnior Alonso,6724,Paraguay,1,defender,1.02,3.0,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
564842,Cameron Burgess,6716,Australia,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
600850,Alejandro Romero,6724,Paraguay,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
970544,Cameron Devlin,6716,Australia,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1075065,Braian Ojeda,6724,Paraguay,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1101030,Kai Trewin,6716,Australia,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1252913,Damián Bobadilla,6724,Paraguay,2,midfielder,0.154,3.0,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
421328,Awer Mabil,6716,Australia,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
474448,Antonio Sanabria,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1033279,Isidro Pitta,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1132069,Mohamed Touré,6716,Australia,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1132960,Ramón Sosa,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1250885,Nishan Velupillay,6716,Australia,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1347933,Gustavo Caballero,6724,Paraguay,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
