player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
941573,Pedro Porro,6720,Spain,1,defender,47.980000000000004,3.0,3.0,53.980000000000004,90.0,3,0,10.0,63.980000000000004
675088,Rodri,6720,Spain,2,midfielder,39.32,3.0,3.0,45.32,90.0,3,0,11.0,56.32
678234,Mikel Oyarzabal,6720,Spain,3,forward,38.05833333333334,5.0,3.0,46.05833333333334,90.0,3,0,9.0,55.05833333333334
411617,Aymeric Laporte,6720,Spain,1,defender,38.53,3.0,2.966666666666667,44.49666666666667,90.0,3,0,10.0,54.49666666666667
1532137,Pau Cubarsí,6720,Spain,1,defender,32.1,3.0,3.0,38.1,90.0,3,0,10.0,48.1
873289,Marc Cucurella,6720,Spain,1,defender,31.4,1.8,3.0,36.199999999999996,90.0,3,0,10.0,46.199999999999996
1467236,Lamine Yamal,6720,Spain,3,forward,33.99166666666666,2.3,2.8333333333333335,39.12499999999999,85.0,2,0,6.0,45.12499999999999
942372,Álex Baena,6720,Spain,2,midfielder,27.74,3.0,2.3666666666666667,33.10666666666666,71.0,2,0,9.0,42.10666666666666
1083323,Pedri,6720,Spain,2,midfielder,18.729999999999997,1.9,2.966666666666667,23.596666666666664,90.0,3,0,11.0,34.596666666666664
614834,Dani Olmo,6720,Spain,2,midfielder,18.79,1.9,2.3666666666666667,23.056666666666665,71.0,2,0,9.0,32.056666666666665
557325,Stefan Posch,8255,Austria,1,defender,18.8,1.8,2.8333333333333335,23.433333333333334,85.0,0,2,0.0,23.433333333333334
754126,Kevin Danso,8255,Austria,1,defender,20.300000000000004,3.0,3.0,26.300000000000004,90.0,0,3,-5.0,21.300000000000004
526827,Konrad Laimer,8255,Austria,1,defender,19.209999999999997,1.8,3.0,24.009999999999998,90.0,0,3,-5.0,19.009999999999998
215151,Marcel Sabitzer,8255,Austria,2,midfielder,11.352,3.0,3.0,17.352,90.0,0,3,-1.0,16.352
749488,Romano Schmid,8255,Austria,2,midfielder,6.5600000000000005,3.0,2.0,11.56,60.0,0,1,3.0,14.56
1024672,Nicolas Seiwald,8255,Austria,2,midfielder,6.9540000000000015,3.0,1.5,11.454,46.0,0,1,3.0,14.454
1327149,Paul Wanner,8255,Austria,2,midfielder,10.395999999999999,1.9,3.0,15.296,90.0,0,3,-1.0,14.296
121633,David Alaba,8255,Austria,1,defender,12.8,3.0,3.0,18.8,90.0,0,3,-5.0,13.8
617044,Florian Grillitsch,8255,Austria,2,midfielder,11.082,1.9,1.5,14.482000000000001,44.0,0,2,-1.5,12.982000000000001
574645,Mikel Merino,6720,Spain,2,midfielder,2.004,3.0,0.6333333333333333,5.637333333333332,19.0,1,0,4.5,10.137333333333332
1279040,Gavi,6720,Spain,2,midfielder,3.362,1.9,0.16666666666666666,5.428666666666667,5.0,1,0,4.5,9.928666666666668
198316,Michael Gregoritsch,8255,Austria,3,forward,1.6666666666666665,5.0,2.0,8.666666666666666,60.0,0,1,0.0,8.666666666666666
620027,Xaver Schlager,8255,Austria,2,midfielder,4.546,-1.4000000000000004,1.5,4.646,46.0,0,1,3.0,7.646
881771,Ferran Torres,6720,Spain,3,forward,0.15000000000000002,4.1,0.6333333333333333,4.883333333333333,19.0,1,0,0.5,5.383333333333333
110148,Marko Arnautovic,8255,Austria,3,forward,1.25,5.0,1.0,7.25,30.0,0,2,-2.5,4.75
1027194,Alexander Prass,8255,Austria,2,midfielder,0.9239999999999999,3.0,0.16666666666666666,4.0906666666666665,5.0,0,1,0.5,4.5906666666666665
858198,Sasa Kalajdzic,8255,Austria,3,forward,0.5083333333333333,5.0,1.0,6.508333333333333,30.0,0,2,-2.5,4.008333333333333
1089685,Carney Chukwuemeka,8255,Austria,2,midfielder,-0.8260000000000001,3.0,1.5,3.674,44.0,0,2,-1.5,2.174
602563,Marcos Llorente,6720,Spain,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
643724,Philipp Lienhart,8255,Austria,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
767789,Marco Friedl,8255,Austria,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
940573,Eric García,6720,Spain,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
951921,Michael Svoboda,8255,Austria,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1073980,David Affengruber,8255,Austria,1,defender,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1323897,Marc Pubill,6720,Spain,1,defender,0.22,3.0,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
288406,Alejandro Grimaldo,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
423812,Phillipp Mwene,8255,Austria,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
461357,Alessandro Schöpf,8255,Austria,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
605654,Fabián Ruiz,6720,Spain,2,midfielder,0.46199999999999997,3.0,0.03333333333333333,0.0,0.0,0,0,0.0,0.0
861668,Dejan Ljubicic,8255,Austria,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1031325,Martín Zubimendi,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1047676,Yéremi Pino,6720,Spain,2,midfielder,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
609505,Borja Iglesias,6720,Spain,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1073498,Patrick Wimmer,8255,Austria,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1202110,Nico Williams,6720,Spain,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1553105,Víctor Muñoz,6720,Spain,3,forward,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
