player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
678234,Mikel Oyarzabal,6720,Spain,3,forward,49.766666666666666,4.1,1.5,55.36666666666667,46.0,3,0,9.0,64.36666666666667
941573,Pedro Porro,6720,Spain,1,defender,41.01,3.0,3.0,47.01,90.0,4,0,10.0,57.01
675088,Rodri,6720,Spain,2,midfielder,36.842,1.9,3.0,41.742,90.0,4,0,13.0,54.742
411617,Aymeric Laporte,6720,Spain,1,defender,37.03,3.0,3.0,43.03,90.0,4,0,10.0,53.03
1467236,Lamine Yamal,6720,Spain,3,forward,35.958333333333336,5.0,1.5,42.458333333333336,46.0,3,0,9.0,51.458333333333336
1532137,Pau Cubarsí,6720,Spain,1,defender,28.26,3.0,3.0,34.260000000000005,90.0,4,0,10.0,44.260000000000005
1083323,Pedri,6720,Spain,2,midfielder,21.182,1.9,2.3333333333333335,25.41533333333333,70.0,4,0,13.0,38.41533333333333
614834,Dani Olmo,6720,Spain,2,midfielder,19.508000000000003,3.0,2.033333333333333,24.541333333333334,61.0,4,0,13.0,37.541333333333334
942372,Álex Baena,6720,Spain,3,forward,15.60833333333333,4.1,2.033333333333333,21.74166666666666,61.0,4,0,12.0,33.74166666666666
873289,Marc Cucurella,6720,Spain,1,defender,16.34,3.0,3.0,22.34,90.0,4,0,10.0,32.34
307753,Salem Al-Dawsari,7795,Saudi Arabia,3,forward,18.95,2.3,3.0,24.25,90.0,0,4,0.0,24.25
640284,Ali Lajami,7795,Saudi Arabia,1,defender,25.810000000000002,3.0,3.0,31.810000000000002,90.0,0,4,-10.0,21.810000000000002
1002617,Saud Abdulhamid,7795,Saudi Arabia,2,midfielder,16.573999999999998,3.0,3.0,22.573999999999998,90.0,0,4,-3.0,19.573999999999998
848612,Nasser Al-Dawsari,7795,Saudi Arabia,2,midfielder,16.768,1.9,2.966666666666667,21.634666666666668,90.0,0,4,-3.0,18.634666666666668
