player_id,player_name,team_id,team_name,usual_playing_position_id,role,stat_points_weighted,stat_points_dispossessed_formula,stat_points_minutes,stat_points_total,minutes_played_derived,goals_for_while_on_field,goals_against_while_on_field,endowed_points,total_points
1133495,Juan Cáceres,6724,Paraguay,1,defender,49.879999999999995,3.0,2.7,55.58,81.0,1,0,10.0,65.58
1073742,Julio Enciso,6724,Paraguay,3,forward,49.983333333333334,5.0,2.966666666666667,57.95,90.0,1,0,3.0,60.95
291399,Abdülkerim Bardakci,6595,Turkey,1,defender,45.58000000000001,3.0,2.8666666666666667,51.44666666666668,86.0,0,1,5.0,56.44666666666668
274392,Gustavo Gómez,6724,Paraguay,1,defender,31.810000000000002,3.0,3.0,37.81,90.0,1,0,10.0,47.81
823078,Merih Demiral,6595,Turkey,1,defender,35.35,3.0,3.0,41.35,90.0,0,1,5.0,46.35
751998,Omar Alderete,6724,Paraguay,1,defender,26.09,3.0,3.0,32.09,90.0,1,0,10.0,42.09
304733,Hakan Çalhanoglu,6595,Turkey,2,midfielder,31.753999999999998,3.0,3.0,37.754,90.0,0,1,3.0,40.754
904098,Mert Müldür,6595,Turkey,1,defender,28.280000000000005,3.0,3.0,34.28,90.0,0,1,5.0,39.28
1183589,Ismail Yüksek,6595,Turkey,2,midfielder,31.638,0.7999999999999998,2.0,34.438,60.0,0,1,3.0,37.438
1241957,Matías Galarza,6724,Paraguay,2,midfielder,23.360000000000003,1.9,2.966666666666667,28.226666666666667,90.0,1,0,7.0,35.22666666666667
1412132,Kenan Yildiz,6595,Turkey,2,midfielder,28.798,-1.4000000000000004,3.0,30.397999999999996,90.0,0,1,3.0,33.397999999999996
1354561,Diego Gómez,6724,Paraguay,2,midfielder,22.204000000000004,-0.30000000000000027,2.2333333333333334,24.137333333333338,67.0,1,0,7.0,31.137333333333338
1253890,Arda Güler,6595,Turkey,2,midfielder,24.112000000000002,0.7999999999999998,3.0,27.912000000000003,90.0,0,1,3.0,30.912000000000003
529625,Andrés Cubas,6724,Paraguay,2,midfielder,18.712000000000003,1.9,3.0,23.612000000000002,90.0,1,0,7.0,30.612000000000002
774448,Ferdi Kadioglu,6595,Turkey,1,defender,15.7,1.8,2.3333333333333335,19.833333333333332,71.0,0,1,5.0,24.833333333333332
466214,Júnior Alonso,6724,Paraguay,1,defender,7.65,3.0,3.0,13.65,90.0,1,0,10.0,23.65
1367924,Can Uzun,6595,Turkey,2,midfielder,15.440000000000001,3.0,1.0,19.44,30.0,0,0,2.5,21.94
442277,Miguel Almirón,6724,Paraguay,3,forward,9.258333333333335,5.0,1.5,15.758333333333335,90.0,1,0,3.0,18.758333333333333
1041660,Eren Elmali,6595,Turkey,1,defender,6.49,3.0,0.6666666666666666,10.156666666666666,19.0,0,0,5.0,15.156666666666666
890232,Baris Alper Yilmaz,6595,Turkey,3,forward,10.825,5.0,1.5,17.325,44.0,0,0,-2.5,14.825
497352,Gustavo Velázquez,6724,Paraguay,1,defender,5.12,3.0,0.7666666666666666,8.886666666666667,23.0,0,0,5.0,13.886666666666667
